Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Name Adopted,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Salvia verticillata,accepted,128689,Salvia verticillata,Salvia verticillata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,verticillata
Perovskia atriplicifolia,unaccepted,941713,Salvia yangii,Salvia yangii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,yangii
Saxifraga granulata,accepted,124135,Saxifraga granulata,Saxifraga granulata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Saxifrageae,Saxifraga,granulata
Scabiosa ochroleuca,accepted,168481,Scabiosa ochroleuca,Scabiosa ochroleuca,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Dipsacoideae,,Scabiosa,ochroleuca
Chionodoxa forbesii,unaccepted,68357,Scilla forbesii,Scilla forbesii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,Hyacintheae,Scilla,forbesii
Chionodoxa luciliae,unaccepted,244100,Scilla luciliae,Scilla luciliae,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,Hyacintheae,Scilla,luciliae
Scilla siberica,accepted,862704,Scilla siberica,Scilla siberica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,Hyacintheae,Scilla,siberica
Sedum hispanicum,accepted,168738,Sedum hispanicum,Sedum hispanicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,hispanicum
Jovibarba globifera,unaccepted,909393,Sempervivum globiferum,Sempervivum globiferum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Semperviveae,Sempervivum,globiferum
Senecio x albescens,accepted,53207,Senecio,Senecio,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,
Senecio inaequidens,accepted,55607,Senecio inaequidens,Senecio inaequidens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,inaequidens
Senecio leucanthemifolius subsp. vernalis,unaccepted,336378,Senecio vernalis,Senecio vernalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,vernalis
Setaria verticilliformis,unaccepted,79069,Setaria verticillata,Setaria verticillata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Paniceae,Setaria,verticillata
Silene chalcedonica,accepted,406034,Silene chalcedonica,Silene chalcedonica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,chalcedonica
Silene conoidea,accepted,79105,Silene conoidea,Silene conoidea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,conoidea
Silene pendula,accepted,79117,Silene pendula,Silene pendula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,pendula
Solanum carolinense,accepted,52899,Solanum carolinense,Solanum carolinense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,carolinense
Lycopersicon esculentum,unaccepted,51737,Solanum lycopersicum,Solanum lycopersicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,lycopersicum
Solanum tuberosum,accepted,53858,Solanum tuberosum,Solanum tuberosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,tuberosum
Soldanella montana,accepted,169090,Soldanella montana,Soldanella montana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Primulaceae,Primuloideae,Primuleae,Soldanella,montana
Sorbaria sorbifolia,accepted,169144,Sorbaria sorbifolia,Sorbaria sorbifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Sorbarieae,Sorbaria,sorbifolia
Sorghum halepense,accepted,58387,Sorghum halepense,Sorghum halepense,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Andropogoneae,Sorghum,halepense
Spartium junceum,accepted,47406,Spartium junceum,Spartium junceum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Spartium,junceum
Spinachia oleracea,unknown,,,Spinacia oleracea,,,,,,,,,,,,,,,,
Spiraea alba,accepted,126823,Spiraea alba,Spiraea alba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Spiraeeae,Spiraea,alba
Spiraea alba var. latifolia,accepted,126819,Spiraea alba latifolia,Spiraea alba latifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Spiraeeae,Spiraea,alba
Spartina pectinata,unaccepted,772984,Sporobolus michauxianus,Sporobolus michauxianus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Zoysieae,Sporobolus,michauxianus
Sporobolus neglectus,accepted,169298,Sporobolus neglectus,Sporobolus neglectus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Zoysieae,Sporobolus,neglectus
Symphyotrichum x columbianum,accepted,1416877,Symphyotrichum,Symphyotrichum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,
Symphyotrichum cordifolium,accepted,153441,Symphyotrichum cordifolium,Symphyotrichum cordifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,cordifolium
Symphyotrichum falcatum var. commutatum,accepted,243148,Symphyotrichum falcatum commutatum,Symphyotrichum falcatum commutatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,falcatum
Symphyotrichum cusickii,unaccepted,1417070,Symphyotrichum foliaceum cusickii,Symphyotrichum foliaceum cusickii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,foliaceum
Symphyotrichum hendersonii,accepted,79300,Symphyotrichum hendersonii,Symphyotrichum hendersonii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,hendersonii
Symphyotrichum laeve var. laeve,accepted,243152,Symphyotrichum laeve laeve,Symphyotrichum laeve laeve,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,laeve
Symphyotrichum lanceolatum subsp. lanceolatum var. lanceolatum,invalid,238759,Symphyotrichum lanceolatum lanceolatum,Symphyotrichum lanceolatum lanceolatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,lanceolatum
Symphyotrichum lanceolatum var. lanceolatum,accepted,238759,Symphyotrichum lanceolatum lanceolatum,Symphyotrichum lanceolatum lanceolatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,lanceolatum
Symphyotrichum lateriflorum,accepted,122249,Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,lateriflorum
Symphyotrichum novae-angliae,accepted,117443,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,novae-angliae
Symphyotrichum novi-belgii,accepted,169474,Symphyotrichum novi-belgii,Symphyotrichum novi-belgii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,novi-belgii
Symphyotrichum praealtum,accepted,169480,Symphyotrichum praealtum,Symphyotrichum praealtum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,praealtum
Symphytum ibericum,accepted,444053,Symphytum ibericum,Symphytum ibericum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Symphytum,ibericum
Tamarix parviflora,accepted,56011,Tamarix parviflora,Tamarix parviflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Tamaricaceae,,,Tamarix,parviflora
Tamarix ramosissima,accepted,56015,Tamarix ramosissima,Tamarix ramosissima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Tamaricaceae,,,Tamarix,ramosissima
Tanecetum balsamita,unknown,,,Tanacetum balsamita,,,,,,,,,,,,,,,,
Taxus baccata,accepted,47553,Taxus baccata,Taxus baccata,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Taxaceae,,,Taxus,baccata
Teucrium scorodonia,accepted,57439,Teucrium scorodonia,Teucrium scorodonia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Ajugoideae,,Teucrium,scorodonia
Thymus serpyllum,accepted,322051,Thymus serpyllum,Thymus serpyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Thymus,serpyllum
Tilia platyphyllos,accepted,169761,Tilia platyphyllos,Tilia platyphyllos,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,,Malvaceae,Tilioideae,,Tilia,platyphyllos
Torilis nodosa,accepted,53304,Torilis nodosa,Torilis nodosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Torilis,nodosa
Trachyspermum ammi,accepted,155843,Trachyspermum ammi,Trachyspermum ammi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Pyramidoptereae,Trachyspermum,ammi
Trifolium fucatum,accepted,53901,Trifolium fucatum,Trifolium fucatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,fucatum
Trifolium resupinatum,accepted,79429,Trifolium resupinatum,Trifolium resupinatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,resupinatum
Trigonella caerulea,accepted,169980,Trigonella caerulea,Trigonella caerulea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trigonella,caerulea
Trigonotis peduncularis,accepted,169982,Trigonotis peduncularis,Trigonotis peduncularis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Trigonotis,peduncularis
Tropaeolum majus,accepted,54329,Tropaeolum majus,Tropaeolum majus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Tropaeolaceae,,,Tropaeolum,majus
Ulmus rubra,accepted,54860,Ulmus rubra,Ulmus rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Ulmaceae,,,Ulmus,rubra
Verbascum chaixii L,accepted,371658,Verbascum chaixii,Verbascum chaixii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Scrophularieae,Verbascum,chaixii
Verbascum lychnitis,accepted,133231,Verbascum lychnitis,Verbascum lychnitis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Scrophularieae,Verbascum,lychnitis
Verbascum nigrum,accepted,56164,Verbascum nigrum,Verbascum nigrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Scrophularieae,Verbascum,nigrum
Verbena bonariensis,accepted,79487,Verbena bonariensis,Verbena bonariensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Verbena,bonariensis
Verbena officinalis,accepted,56163,Verbena officinalis,Verbena officinalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Verbena,officinalis
Verbena urticifolia var. urticifolia,invalid,129278,Verbena urticifolia,Verbena urticifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Verbena,urticifolia
Verbena urticifolia,accepted,129278,Verbena urticifolia,Verbena urticifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Verbena,urticifolia
Veronica agrestis,accepted,56626,Veronica agrestis,Veronica agrestis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Veroniceae,Veronica,agrestis
Veronica austriaca,accepted,738833,Veronica austriaca,Veronica austriaca,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Veroniceae,Veronica,austriaca
Veronica austriaca subsp. vahlii,unaccepted,738840,Veronica orsiniana,Veronica bastardii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Veroniceae,Veronica,orsiniana
Viburnum lantana,accepted,124741,Viburnum lantana,Viburnum lantana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,lantana
Viburnum plicatum,accepted,170203,Viburnum plicatum,Viburnum plicatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,plicatum
Viburnum tinus,accepted,82666,Viburnum tinus,Viburnum tinus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,tinus
Lens culinaris,unaccepted,1375470,Vicia lens,Vicia lens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Vicia,lens
Viola x wittrockiana,accepted,1392361,Viola,Viola,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Violaceae,,,Viola,
Viola riviniana,accepted,61481,Viola riviniana,Viola riviniana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Violaceae,,,Viola,riviniana
Vitis riparia,accepted,119936,Vitis riparia,Vitis riparia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Vitales,,,,Vitaceae,,,Vitis,riparia
Vitis vinifera,accepted,79519,Vitis vinifera,Vitis vinifera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Vitales,,,,Vitaceae,,,Vitis,vinifera
Wisteria chinensis,unknown,,,Wisteria sinensis,,,,,,,,,,,,,,,,
Xanthium spinosum,accepted,58045,Xanthium spinosum,Xanthium spinosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Xanthium,spinosum
Yucca filamentosa,accepted,81605,Yucca filamentosa,Yucca filamentosa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Yucca,filamentosa
