scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observation,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Philine auriformis,,,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Philinidae,Philininae,,Philine,auriformis,NA,,NA,,,NA,new 2018,observed,,,,,NA,2018-03-11,linddealy,iNat:42044026,Notable report,49854,MOL,accepted,49854,Philine auriformis,Philine auriformis
Phoca vitulina richardii,"Linnaeus, 1758","Gray, 1864",Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,Phocoidea,Phocidae,,,Phoca,vitulina,NA,richardii,NA,native,S5 (2006),NA,confirmed,observed,1995-02-24,Andy Lamb,Ocean Wise,,NA,2014-05-20,Andrew Simon,iNat:731418,,41708,MAM,accepted,117766,Phoca vitulina richardii,Phoca vitulina
Phocoena phocoena,"(Linnaeus, 1758)",,harbour porpoise,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinoidea,Phocoenidae,,,Phocoena,phocoena,NA,,NA,native,S3 (2006),NA,confirmed,observed,2001-12-15,Amy Rowley,BCCSN,,NA,2019-03-25,Karen Steve Smith,iNat:21616577,,41440,MAM,accepted,41440,Phocoena phocoena,Phocoena phocoena
Phocoenoides dalli,"(True, 1885)",,Dall’s porpoise,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinoidea,Phocoenidae,,,Phocoenoides,dalli,NA,,NA,native,S4S5 (2006),NA,confirmed,observed,2001-11-19,Amy Rowley,BCCSN,,NA,2022-03-27,Liam Ragan,iNat:123719259,,41446,MAM,accepted,41446,Phocoenoides dalli,Phocoenoides dalli
Pholis clemensi,"Rosenblatt, 1964",,longfin gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Pholidae,Pholinae,,Pholis,clemensi,NA,,NA,native,SNR,NA,confirmed,observed,1994-10-07,Andy Lamb,PMLS,,NA,2023-09-10,"Dave ""Zeuss"" Cochrane",iNat:182740581,,67405,FIS,accepted,67405,Pholis clemensi,Pholis clemensi
Pholis laeta,"(Cope, 1873)",,crescent gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Pholidae,Pholinae,,Pholis,laeta,NA,,NA,native,SNR,NA,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.6,NA,2013-07-07,Karolle Wall,iNat:4032541,,67362,FIS,accepted,67362,Pholis laeta,Pholis laeta
Pholis ornata,"(Girard, 1854)",,saddleback gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Pholidae,Pholinae,,Pholis,ornata,NA,,NA,native,SNR,NA,new 2022,observed,,,,,NA,2022-05-16,Andrew Simon,iNat:117406386,,62605,FIS,accepted,62605,Pholis ornata,Pholis ornata
Phoronis ijimai,"Oka, 1897",,white colonial Phoronid,Animalia,Phoronida,,,,,,,,,Phoronidae,,,Phoronis,ijimai,NA,,NA,native,unlisted,NA,confirmed,observed,2008-04-27,Andy Lamb,PMLS,,NA,2013-06-26,Karolle Wall,iNat:4014973,,372139,WOR,accepted,372139,Phoronis ijimai,Phoronis ijimai
Photis brevipes,"Shoemaker, 1942",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Photoidea,Photidae,,,Photis,brevipes,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,,RBCM,976-01146-002,1898291753,,,,,295828,ART,accepted,295828,Photis brevipes,Photis brevipes
Phyllaplysia taylori,"Dall, 1900",,zebra leafslug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Aplysiida,,Aplysioidea,Aplysiidae,,,Phyllaplysia,taylori,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2015-05-18,Karolle Wall,iNat:97172674,,49864,MOL,accepted,49864,Phyllaplysia taylori,Phyllaplysia taylori
Phyllochaetopterus prolifica,"Potts, 1914",,prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,,Phyllochaetopterus,prolifica,NA,,NA,native,unlisted,NA,reported,unobserved,2006-11-11,Andy Lamb,PMLS,,NA,,,,,467241,WOR,accepted,467241,Phyllochaetopterus prolifica,Phyllochaetopterus prolifica
Phyllochaetopterus sp.,,,three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,,Phyllochaetopterus,,NA,,NA,,,NA,reported,unobserved,2007-10-14,Andy Lamb,PMLS,,NA,,,,misspelled Phyllochaeopterus claparedii,374226,WOR,accepted,374226,Phyllochaetopterus,Phyllochaetopterus
Phyllolithodes papillosus,"J.F. Brandt, 1848",,heart crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Phyllolithodes,papillosus,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2022-07-31,"Dave ""Zeuss"" Cochrane",iNat:128939769,,424896,ART,accepted,424896,Phyllolithodes papillosus,Phyllolithodes papillosus
Phytichthys chirus,"(Jordan & Gilbert, 1880)",,ribbon prickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Stichaeidae,Xiphisterinae,,Phytichthys,chirus,NA,,NA,native,SNR,NA,reported,unobserved,1960-12-22,Donald E. McAllister & M. O. Yesaki,CMN,CMNFI 1960-0499C.2,NA,,,,,228101,FIS,accepted,228101,Phytichthys chirus,Phytichthys chirus
Pisaster brevispinus,"(Stimpson, 1857)",,giant pink star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Pisaster,brevispinus,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2006-05-28,Karolle Wall,iNat:97205559,,49539,ECH,accepted,49539,Pisaster brevispinus,Pisaster brevispinus
Pisaster ochraceus,"(Brandt, 1835)",,ochre star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Pisaster,ochraceus,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2009-07-08,Shera Street,iNat:2635155,,49699,ECH,accepted,49699,Pisaster ochraceus,Pisaster ochraceus
Pista elongata,"Moore, 1909",,basket-top spaghetti worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,Terebellidae,Terebellinae,,Pista,elongata,NA,,NA,native,unlisted,NA,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,NA,,,,,338339,WOR,accepted,338339,Pista elongata,Pista elongata
Placetron wosnessenskii,"Schalfeew, 1892",,scaled crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Placetron,wosnessenskii,NA,,NA,native,unlisted,NA,reported,unobserved,1999-07-31,Charlie Gibbs,PMLS,,NA,,,,,459657,ART,accepted,459657,Placetron wosnessenskii,Placetron wosnessenskii
Placiphorella rufa,"Berry, 1917",,red veiled-chiton,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Mopaliidae,Mopaliinae,,Placiphorella,rufa,NA,,NA,native,unlisted,NA,reported,unobserved,2006-11-18,Andy Lamb,PMLS,,NA,,,,,547332,MOL,accepted,547332,Placiphorella rufa,Placiphorella rufa
Placiphorella velata,"(M.S. Carpenter, Dall, 1879)",,veiled-chiton,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Mopaliidae,Mopaliinae,,Placiphorella,velata,NA,,NA,native,unlisted,NA,reported,unobserved,2011-11-18,Andy Lamb,PMLS,,NA,,,,,55354,MOL,accepted,55354,Placiphorella velata,Placiphorella velata
Planorbella trivolvis,"(Say, 1817)",,marsh ramshorn,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Hygrophila,,,Lymnaeoidea,Planorbidae,Planorbinae,Helisomatini,Planorbella,trivolvis,NA,,NA,native,SU (2015),NA,new 2016,observed,,,,,NA,2016-08-14,Andrew Simon,iNat:3890687,,150985,MOL,accepted,150985,Planorbella trivolvis,Planorbella trivolvis
Platichthys stellatus,"(Pallas, 1787)",,starry flounder,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,Pleuronectidae,Pleuronectinae,,Platichthys,stellatus,NA,,NA,native,SNR,NA,confirmed,observed,1982-06-09,J. M. Ellis,CMN,CMNFI 1985-0088.2,NA,2020-08-02,pacificwhitesideddolphin,iNat:55397670,,83170,FIS,accepted,83170,Platichthys stellatus,Platichthys stellatus
Platynereis bicanaliculata,"(Baird, 1863)",,algae-dwelling sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Platynereis,bicanaliculata,NA,,NA,native,unlisted,NA,new 2019,observed,,,,,NA,2019-05-04,Emily Adamczyk,iNat:24749850,,129876,WOR,accepted,129876,Platynereis bicanaliculata,Platynereis bicanaliculata
Pleraplysilla sp.,,,slippery white sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dictyoceratida,,,Dysideidae,,,Pleraplysilla,,NA,,NA,,,NA,reported,unobserved,2006-09-29,Andy Lamb,PMLS,,NA,,,,undescribed species,623055,POR,accepted,623055,Pleraplysilla,Pleraplysilla
Pleurobrachia bachei,"A. Agassiz, 1860",,sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Pleurobrachiidae,,,Pleurobrachia,bachei,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2011-05-17,Karolle Wall,iNat:4028653,,117705,CNI,accepted,117705,Pleurobrachia bachei,Pleurobrachia bachei
Pleuronichthys coenosus,"Girard, 1854",,C-O sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,Pleuronectidae,Pleuronichthyinae,,Pleuronichthys,coenosus,NA,,NA,native,SNR,NA,confirmed,observed,1994-02-27,Andy Lamb,PMLS,,NA,2013-06-22,Karolle Wall,iNat:4015105,,228393,FIS,accepted,228393,Pleuronichthys coenosus,Pleuronichthys coenosus
Plumularia setacea,"(Linnaeus, 1758)",,glassy plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,,Plumularia,setacea,NA,,NA,native,unlisted,NA,reported,unobserved,1913-06-06,,RBCM,976-00936-001,NA,,,,,209141,CNI,accepted,209141,Plumularia setacea,Plumularia setacea
Plumularia sp.,,,delicate plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,,Plumularia,,NA,,NA,,,NA,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,NA,,,,,60609,CNI,accepted,60609,Plumularia,Plumularia
Podocerus cristatus,"Thomson, 1879",,nudibranch-mimicking amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Podoceridae,,,Podocerus,cristatus,NA,,NA,native,unlisted,NA,new 2022,observed,,,,,NA,2022-02-24,Andrew Simon,iNat:107423003,,60636,ART,accepted,60636,Podocerus cristatus,Podocerus cristatus
Pododesmus macrochisma,"(Deshayes, 1839)",,green false-jingle,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Anomioidea,Anomiidae,,,Pododesmus,macrochisma,NA,,NA,native,unlisted,NA,confirmed,observed,1986-04-08,,RBCM,986-00191-016,NA,2016-04-06,Karolle Wall,iNat:4052032,,68652,MOL,accepted,68652,Pododesmus macrochisma,Pododesmus macrochisma
Podothecus accipenserinus,"(Tilesius, 1813)",,sturgeon poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Agonidae,Agoninae,,Podothecus,accipenserinus,NA,,NA,native,SNR,NA,confirmed,observed,1995-02-23,Charlie Gibbs,PMLS,,NA,2023-09-03,"Dave ""Zeuss"" Cochrane",iNat:181672660,,228455,FIS,accepted,228455,Podothecus accipenserinus,Podothecus accipenserinus
Polymastia pachymastia,"Laubenfels, 1932",,aggregated nipple sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Polymastiida,,,Polymastiidae,,,Polymastia,pachymastia,NA,,NA,native,unlisted,NA,confirmed,observed,1994-10-07,Andy Lamb,PMLS,,NA,2016-02-07,Peter Luckham,iNat:2763468,,117717,POR,accepted,117717,Polymastia pachymastia,Polymastia pachymastia
Polyorchis penicillatus,"(Eschscholtz, 1829)",,red-eye medusa,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,,Polyorchis,penicillatus,NA,,NA,native,unlisted,NA,confirmed,observed,2009-04-04,Andy Lamb,PMLS,,NA,2006-06-11,Karolle Wall,iNat:97205565,,51640,CNI,accepted,51640,Polyorchis penicillatus,Polyorchis penicillatus
Porichthys notatus,"Girard, 1854",,plainfin midshipman,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Batrachoidiformes,,,Batrachoididae,Porichthyinae,,Porichthys,notatus,NA,,NA,native,SNR,NA,confirmed,observed,1995-02-23,Andy Lamb,PMLS,,NA,2007-06-04,Karolle Wall,iNat:97172662,,60021,FIS,accepted,60021,Porichthys notatus,Porichthys notatus
Primavelans insculpta,"(Hincks, 1883)",,fluted bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Schizoporelloidea,Pacificincolidae,,,Primavelans,insculpta,NA,,NA,native,unlisted,NA,confirmed,observed,1995-02-26,Charlie Gibbs,PMLS,,NA,2008-11-09,Neil McDaniel,iNat:97569173,reported as Hippodiplosia insculpta,429861,LOP,accepted,429861,Primavelans insculpta,Primavelans insculpta
Protula pacifica,"Pixell, 1912",,white-crown calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Protula,pacifica,NA,,NA,native,unlisted,NA,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,NA,,,,,538108,WOR,accepted,538108,Protula pacifica,Protula pacifica
Pseudochitinopoma occidentalis,"(Bush, 1905)",,western calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Pseudochitinopoma,occidentalis,NA,,NA,native,unlisted,NA,reported,unobserved,2006-03-05,Andy Lamb,PMLS,,NA,,,,,538107,WOR,accepted,538107,Pseudochitinopoma occidentalis,Pseudochitinopoma occidentalis
Pseudopotamilla occelata,"Moore, 1905",,feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Pseudopotamilla,occelata,NA,,NA,native,unlisted,NA,reported,unobserved,1986-09-30,,RBCM,1986-09-30,1898311898,,,,,485471,WOR,accepted,485471,Pseudopotamilla occelata,Pseudopotamilla occelata
Psolidium bidiscum,"Lambert, 1996",,pale creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,,Psolidium,bidiscum,NA,,NA,native,unlisted,NA,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,NA,,,,,873892,ECH,accepted,873892,Psolidium bidiscum,Psolidium bidiscum
Psolus chitonoides,"Clark, 1901",,creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,,Psolus,chitonoides,NA,,NA,native,unlisted,NA,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,NA,2008-05-22,Jackson W.F. Chu,iNat:116334843,,473064,ECH,accepted,473064,Psolus chitonoides,Psolus chitonoides
Psolus squamatus,"(O.F. Müller, 1776)",,white creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,,Psolus,squamatus,NA,,NA,native,unlisted,NA,reported,unobserved,2008-10-09,Andy Lamb,PMLS,,NA,,,,,293149,ECH,accepted,293149,Psolus squamatus,Psolus squamatus
Psychrolutes sigalutes,"(Jordan & Starks, 1895)",,soft sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Psychrolutinae,,Psychrolutes,sigalutes,NA,,NA,native,SNR,NA,new 2011,observed,,,,,NA,2011-09-22,Karolle Wall,iNat:4051923,,229295,FIS,accepted,229295,Psychrolutes sigalutes,Psychrolutes sigalutes
Pteraster tesselatus,"Ives, 1888",,slime star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Velatida,,,Pterasteridae,,,Pteraster,tesselatus,NA,,NA,native,unlisted,NA,confirmed,observed,1971-08-21,Andy Lamb,PMLS,,NA,2009-10-03,Jackson W.F. Chu,iNat:61341024,,194701,ECH,accepted,194701,Pteraster tesselatus,Pteraster tesselatus
Ptilichthys goodei,"Bean, 1881",,quillfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Ptilichthyidae,,,Ptilichthys,goodei,NA,,NA,native,SNR,NA,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,NA,,,,,229394,FIS,accepted,229394,Ptilichthys goodei,Ptilichthys goodei
Ptilosarcus gurneyi,"(Gray, 1860)",,orange sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Scleralcyonacea,,Pennatuloidea,Pennatulidae,,,Ptilosarcus,gurneyi,NA,,NA,native,unlisted,NA,confirmed,observed,1923-06-18,,RBCM,976-01146-015,1898281934,2013-10-13,Peter Luckham,iNat:2976007,,448320,CNI,accepted,448320,Ptilosarcus gurneyi,Ptilosarcus gurneyi
Pugettia gracilis,"Dana, 1851",,graceful kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Epialtinae,,Pugettia,gracilis,NA,,NA,native,unlisted,NA,confirmed,observed,,,RBCM,986-00191-004,NA,2013-10-13,Peter Luckham,iNat:2976672,,130344,ART,accepted,130344,Pugettia gracilis,Pugettia gracilis
Pugettia producta,"(Randall, 1840)",,northern kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Epialtinae,,Pugettia,producta,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2016-02-07,Peter Luckham,iNat:2763431,,49723,ART,accepted,49723,Pugettia producta,Pugettia producta
Puncturella cucullata,"(Gould, 1846)",,hooded puncturella,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,Zeidorinae,,Puncturella,cucullata,NA,,NA,native,unlisted,NA,reported,unobserved,1986-09-30,,RBCM,986-00197-038,NA,,,,,904312,MOL,accepted,904312,Puncturella cucullata,Puncturella cucullata
Pycnoclavella stanleyi,"Berrill & Abbott, 1949",,yellow social ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Clavelinidae,,,Pycnoclavella,stanleyi,NA,,NA,native,unlisted,NA,confirmed,observed,1993-08-16,Andy Lamb,PMLS,,NA,2008-11-09,Neil McDaniel,iNat:182381990,,424274,TUN,accepted,424274,Pycnoclavella stanleyi,Pycnoclavella stanleyi
Pycnopodia helianthoides,"(Brandt, 1835)",,sunflower star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,Pycnopodiinae,,Pycnopodia,helianthoides,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2976203,,47673,ECH,accepted,47673,Pycnopodia helianthoides,Pycnopodia helianthoides
Pyura haustor,"(Stimpson, 1864)",,warty tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,Pyura,haustor,NA,,NA,native,unlisted,NA,reported,unobserved,1969-02-22,Andy Lamb,PMLS,,NA,,,,,333504,TUN,accepted,333504,Pyura haustor,Pyura haustor
Pyura mirabilis,"(Drasche, 1884)",,Aladdin's lamp tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,Pyura,mirabilis,NA,,NA,native,unlisted,NA,reported,unobserved,2013-10-23,Andy Lamb,PMLS,,NA,,,,,552416,TUN,accepted,552416,Pyura mirabilis,Pyura mirabilis
Rhabdocalyptus dawsoni,"(Lambe, 1893)",,boot sponge,Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Lyssacinosida,,,Rossellidae,,,Rhabdocalyptus,dawsoni,NA,,NA,native,unlisted,NA,confirmed,observed,2008-05-22,Jackson W.F. Chu,Chu (2010),,NA,2007-10-23,Jackson W.F. Chu,iNat:59908562,,459736,POR,accepted,751673,Rhabdocalyptus dawsoni,Desmacella austini
Rhabdus rectius,"(Carpenter, 1864)",,straight tuskshell,Animalia,Mollusca,,,Scaphopoda,,,Dentaliida,,,Rhabdidae,,,Rhabdus,rectius,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,976-01146-005,1898302624,,,,,957345,MOL,accepted,957345,Rhabdus rectius,Rhabdus rectius
Rhamphocottus richardsonii,"Günther, 1874",,grunt sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Rhamphocottidae,,,Rhamphocottus,richardsonii,NA,,NA,native,SNR,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2010-07-14,Karolle Wall,iNat:4052031,,51881,FIS,accepted,51881,Rhamphocottus richardsonii,Rhamphocottus richardsonii
Rhinogobiops nicholsii,"(Bean, 1882)",,blackeye goby,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiiformes,,,Gobiidae,Gobiinae,,Rhinogobiops,nicholsii,NA,,NA,native,SNR,NA,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2976016,,132521,FIS,accepted,132521,Rhinogobiops nicholsii,Rhinogobiops nicholsii
Rhinolithodes wosnessenskii,"J.F. Brandt, 1848",,rhinoceros crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Rhinolithodes,wosnessenskii,NA,,NA,native,unlisted,NA,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,NA,,,,,459660,ART,accepted,459660,Rhinolithodes wosnessenskii,Rhinolithodes wosnessenskii
Rhizocaulus verticillatus,"(Linnaeus, 1758)",,horse-tail hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,Rhizocaulus,verticillatus,NA,,NA,native,unlisted,NA,reported,unobserved,2008-03-22,Andy Lamb,PMLS,,NA,,,,,127158,CNI,accepted,127158,Rhizocaulus verticillatus,Rhizocaulus verticillatus
Rictaxis punctocaelatus,"(Carpenter, 1864)",,bubble snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,,,Acteonoidea,Acteonidae,,,Rictaxis,punctocaelatus,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03322,1898323409,,,,,49779,MOL,accepted,49779,Rictaxis punctocaelatus,Rictaxis punctocaelatus
Ronquilus jordani,"(Gilbert, 1889)",,northern ronquil,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Bathymasteridae,,,Ronquilus,jordani,NA,,NA,native,SNR,NA,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,NA,,,,,230312,FIS,accepted,230312,Ronquilus jordani,Ronquilus jordani
Rossia pacifica,"Berry, 1911",,stubby squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Sepiida,Sepiolina,Sepioloidea,Sepiolidae,Rossiinae,,Rossia,pacifica,NA,,NA,native,unlisted,NA,reported,unobserved,1994-02-27,Charlie Gibbs,PMLS,,NA,,,,,151358,MOL,accepted,151358,Rossia pacifica,Rossia pacifica
Rostanga pulchra,"MacFarland, 1905",,red sponge nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Rostanga,pulchra,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2014-04-08,Karin Fletcher,iNat:68751957,,47473,MOL,accepted,47473,Rostanga pulchra,Rostanga pulchra
Ruditapes philippinarum,"(Adams & Reeve, 1850)",,Japanese littleneck,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,Tapetinae,,Ruditapes,philippinarum,NA,,NA,non-native,unlisted,NA,new 2016,observed,,,,,NA,2016-08-21,Tyrel Froese,iNat:4004964,,343269,MOL,accepted,343269,Ruditapes philippinarum,Ruditapes philippinarum
Sagittoidea,,,arrow worm,Animalia,Chaetognatha,,,Sagittoidea,,,,,,,,,,,NA,,NA,,,NA,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,,NA,,,,,246116,WOR,accepted,246116,Sagittoidea,Sagittoidea
Salmacina tribranchiata,"(Moore, 1923)",,three-branch calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Salmacina,tribranchiata,NA,,NA,native,unlisted,NA,reported,unobserved,2006-11-18,Andy Lamb,PMLS,,NA,,,,,194972,WOR,accepted,194972,Salmacina tribranchiata,Salmacina tribranchiata
Sarsia sp.,,,thimble jellyfishes,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,,Sarsia,,NA,,NA,,,NA,reported,unobserved,2009-04-13,Andy Lamb,PMLS,,NA,,,,,51653,CNI,accepted,51653,Sarsia,Sarsia
Sarsia tubulosa,"(M. Sars, 1835)",,clapper hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,,Sarsia,tubulosa,NA,,NA,native,unlisted,NA,confirmed,observed,1913-06-06,,RBCM,976-00141-001,NA,2011-05-18,Karolle Wall,iNat:4028771,,448319,CNI,accepted,448319,Sarsia tubulosa,Sarsia tubulosa
Saxidomus gigantea,"(Deshayes, 1839)",,Washington butter clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,Callocardiinae,,Saxidomus,gigantea,NA,,NA,native,unlisted,NA,confirmed,observed,2006-06-23,Andy Lamb,PMLS,,NA,2016-08-17,Andrew Simon,iNat:3910100,,130233,MOL,accepted,130233,Saxidomus gigantea,Saxidomus gigantea
