"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","firstObserved","Observer","iNatObsID","notes","ID","statsCode","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","recordCount"
"Haliclona (Haliclona) sp.2",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1994-09-10","Andy Lamb","PMLS","",,,,,,,,"2016-03-27","Andy Lamb","PMLS","",33
"Haliotis kamtschatkana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",45
"Hallaxa chani",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2009-11-15","","iNaturalist","",,,,,,,,"2009-11-15","","iNaturalist","",1
"Halocynthia aurantium",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1973-06-14","Philip Lambert","RBCM","973-00137-008",,,,,,,,"2016-07-24","Andy Lamb","PMLS","",50
"Halocynthia igaboja",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-02-26","Charlie Gibbs","PMLS","",,,,,,,,"2018-06-19","Andy Lamb","PMLS","",47
"Halosydna brevisetosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-06-04","","iNaturalist","",8
"Hamigera sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2011-04-23","Andy Lamb","PMLS","",21
"Haminoea vesicula",,,,,,,,,,,,,,,,,,,,,,,,,"new 2018","observed","2018-05-30","","iNaturalist","",,,,,,,,"2023-08-26","","iNaturalist","",29
"Hapalogaster mertensii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2017-03-18","Andy Lamb","PMLS","",10
"Harmothoe fragilis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2012-10-06","Andy Lamb","PMLS","",,,,,,,,"2012-10-06","Andy Lamb","PMLS","",1
"Hemigrapsus nudus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1948-06-05","","RBCM","976-01171-005",,,,,,,,"2023-08-06","","iNaturalist","",53
"Hemigrapsus oregonensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2015-06-19","","iNaturalist","",,,,,,,,"2023-08-25","","iNaturalist","",80
"Hemilepidotus hemilepidotus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2015-05-16","","iNaturalist","",22
"Henricia aspera aspera",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"1999-10-02","Andy Lamb","PMLS","",27
"Henricia leviuscula complex",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-21","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",201
"Henricia pumila",,,,,,,,,,,,,,,,,,,,,,,,,"new 2023","observed","2023-06-14","","iNaturalist","",,,,,,,,"2023-06-14","","iNaturalist","",1
"Henricia sanguinolenta",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-10-10","Andy Lamb","PMLS","",,,,,,,,"2023-06-24","","iNaturalist","",2
"Heptacarpus brevirostris",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1976-06-19","O'Clair, Rita M.","CMN","CMNC 2004-3237",,,,,,,,"2023-04-04","","iNaturalist","",6
"Heptacarpus kincaidi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1996-09-28","Charlie Gibbs","PMLS","",,,,,,,,"2023-04-04","","iNaturalist","",23
"Heptacarpus sitchensis",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-05-26","","iNaturalist","",,,,,,,,"2022-03-01","","iNaturalist","",2
"Heptacarpus stylus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2006-03-05","Andy Lamb","PMLS","",,,,,,,,"2023-04-04","","iNaturalist","",6
"Heptacarpus tridens",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1999-10-02","Andy Lamb","PMLS","",,,,,,,,"2013-10-23","Andy Lamb","PMLS","",3
"Hermissenda crassicornis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-05-28","","iNaturalist","",66
"Heterochone calyx",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-10-03","","iNaturalist","",,,,,,,,"2012-06-01","Jackson W.F. Chu","Chu & Leys (2012)","CHU&LEYS2012:1",3
"Heteropora alaskensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-07-19","Andy Lamb","PMLS","",,,,,,,,"2010-11-12","Andy Lamb","PMLS","",7
"Heteropora pacifica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",89
"Hexagrammos decagrammus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",238
"Hexagrammos stelleri",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1982-06-08","Genereux, K.D.","CMN","CMNFI 1985-0087.2",,,,,,,,"2023-08-06","","iNaturalist","",20
"Hiatella arctica",,,,,,,,,,,,,,,,,,,,,,,,,"new 2023","observed","2023-06-04","","iNaturalist","",,,,,,,,"2023-06-04","","iNaturalist","",1
"Hippasteria phrygiana",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"1971-08-21","Andy Lamb","PMLS","",1
"Hippolyte clarki",,,,,,,,,,,,,,,,,,,,,,,,,"new 2022","observed","2022-05-16","","iNaturalist","",,,,,,,,"2022-05-16","","iNaturalist","",1
"Homaxinella amphispicula",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1999-05-04","Andy Lamb","PMLS","",,,,,,,,"2010-11-12","Andy Lamb","PMLS","",13
"Humilaria kennerleyi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00318-002",,,,,,,,"2016-02-27","Andy Lamb","PMLS","",34
"Hyas lyratus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-05-13","Dan Quayle","RBCM","982-00207-001",,,,,,,,"1961-05-13","Dan Quayle","RBCM","982-00207-001",1
"Hydractinia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-03-22","Andy Lamb","PMLS","",,,,,,,,"2008-04-27","Andy Lamb","PMLS","",2
"Hydrallmania franciscana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2006-06-30","Andy Lamb","PMLS","",,,,,,,,"2006-11-11","Andy Lamb","PMLS","",2
"Hydrolagus colliei",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2021-05-16","","iNaturalist","",23
"Icelinus tenuis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"1971-08-21","Andy Lamb","PMLS","",1
"Iophon lamella",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"1973-09-20","Andy Lamb","PMLS","",1
"Ismaila belciki",,,,,,,,,,,,,,,,,,,,,,,,,"new 2022","observed","2022-08-16","","iNaturalist","",,,,,,,,"2022-08-16","","iNaturalist","",1
"Isodictya rigida",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1960-12-22","W. Clemens","RBCM","981-00064-001",,,,,,,,"2008-08-23","Andy Lamb","PMLS","",4
"Jordania zonope",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",192
"Kaburakia excelsa",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-07-24","Andy Lamb","PMLS","",,,,,,,,"2019-05-04","","iNaturalist","",3
"Katharina tunicata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",20
"Keenaea centifilosa",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00327",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03303",2
"Keenocardium blandum",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-017",,,,,,,,"1959-12-11","Dan Quayle","RBCM","989-00278-017",1
"Kellia suborbicularis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2006-06-30","Andy Lamb","PMLS","",,,,,,,,"2010-04-18","Andy Lamb","PMLS","",2
"Lacuna variegata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-02-08","Andy Lamb","PMLS","",,,,,,,,"2009-02-08","Andy Lamb","PMLS","",1
"Lacuna vincta",,,,,,,,,,,,,,,,,,,,,,,,,"new 2023","observed","2023-06-17","","iNaturalist","",,,,,,,,"2023-06-17","","iNaturalist","",1
"Lafoea dumosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2013-10-23","Andy Lamb","PMLS","",24
"Lagenorhynchus obliquidens",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2013-10-30","","BCCSN","85702",,,,,,,,"2015-02-07","","BCCSN","96090",2
"Lebbeus eludus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-05-30","Andy Lamb","PMLS","",,,,,,,,"2009-05-30","Andy Lamb","PMLS","",1
"Lebbeus grandimanus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1996-09-28","Charlie Gibbs","PMLS","",,,,,,,,"2010-07-17","Andy Lamb","PMLS","",4
"Lebbeus mundus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2008-02-16","Andy Lamb","PMLS","",,,,,,,,"2008-02-16","Andy Lamb","PMLS","",1
"Lepeophtheirus sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2008-02-03","Andy Lamb","PMLS","",,,,,,,,"2008-02-03","Andy Lamb","PMLS","",1
"Lepeta concentrica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2007-10-14","Andy Lamb","PMLS","",,,,,,,,"2018-06-19","Andy Lamb","PMLS","",5
"Lepidochitona sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1893-06-01","Charles Newcombe","RBCM","991-00066-001",,,,,,,,"1893-06-01","Charles Newcombe","RBCM","991-00066-001",1
"Lepidopsetta bilineata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-05-27","","iNaturalist","",14
"Lepidozona interstincta",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1986-09-30","","RBCM","986-00197-069",,,,,,,,"2016-02-07","Andy Lamb","PMLS","",5
"Lepidozona mertensii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1986-04-08","","RBCM","986-00191-036",,,,,,,,"2023-09-09","","iNaturalist","",119
"Leptasterias hexactis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2023-05-27","","iNaturalist","",5
"Leptocottus armatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1982-06-08","Genereux, K.D.","CMN","CMNFI 1985-0087.3",,,,,,,,"2023-06-27","","iNaturalist","",6
"Leptosynapta transgressor",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2013-10-20","Andy Lamb","PMLS","",,,,,,,,"2013-10-20","Andy Lamb","PMLS","",1
"Leucandra heathi",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"1994-09-10","Andy Lamb","PMLS","",2
"Leucilla nuttingi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2023-09-04","","iNaturalist","",31
"Leuckartiara longicalcar",,,,,,,,,,,,,,,,,,,,,,,,,"new 2020","observed","2020-05-09","","iNaturalist","",,,,,,,,"2023-06-04","","iNaturalist","",3
"Leucosolenia eleanor",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2006-06-23","Andy Lamb","PMLS","",,,,,,,,"2023-05-28","","iNaturalist","",14
"Leucosolenia nautilia",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-09-10","Andy Lamb","PMLS","",,,,,,,,"2023-07-16","","iNaturalist","",13
"Leukoma staminea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2007-10-14","Andy Lamb","PMLS","",,,,,,,,"2023-05-27","","iNaturalist","",26
"Limacia cockerelli",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2016-02-07","Andy Lamb","PMLS","",15
"Limacina helicina",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-04-04","Andy Lamb","PMLS","",,,,,,,,"2009-04-04","Andy Lamb","PMLS","",1
"Limnodriloides victoriensis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1979-07-05","Randy Baker","RBCM","991-00598-002",,,,,,,,"1979-07-05","Randy Baker","RBCM","991-00598-002",9
"Liparis dennyi",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1995-02-23","Charlie Gibbs","PMLS","",,,,,,,,"1995-02-23","Charlie Gibbs","PMLS","",1
"Liparis pulchellus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1995-02-23","Charlie Gibbs","PMLS","",,,,,,,,"2013-10-20","Andy Lamb","PMLS","",4
"Lirabuccinum dirum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",31
"Littorina scutulata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2015-03-04","","iNaturalist","",,,,,,,,"2023-06-17","","iNaturalist","",20
"Littorina sitkana",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-02-23","","iNaturalist","",,,,,,,,"2023-05-27","","iNaturalist","",6
"Lontra canadensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2006-09-04","","iNaturalist","",,,,,,,,"2023-08-19","","iNaturalist","",58
"Lophopanopeus bellus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2007-10-21","Andy Lamb","PMLS","",,,,,,,,"2023-06-04","","iNaturalist","",15
"Lottia digitalis",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-09-01","","iNaturalist","",,,,,,,,"2023-05-27","","iNaturalist","",10
"Lottia pelta",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-04-10","","iNaturalist","",,,,,,,,"2023-06-04","","iNaturalist","",9
"Lottia persona",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2014-06-24","","iNaturalist","",,,,,,,,"2023-06-02","","iNaturalist","",19
"Lottia scutum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2006-06-30","Andy Lamb","PMLS","",,,,,,,,"2023-05-27","","iNaturalist","",28
"Luidia foliolata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1959-12-11","Dan Quayle","RBCM","977-00454-001",,,,,,,,"2023-07-30","","iNaturalist","",19
"Lumpenus sagitta",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-05-29","","iNaturalist","",,,,,,,,"2021-09-05","","iNaturalist","",3
"Lyonsia bracteata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-009",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03305",3
"Lyopsetta exilis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2007-10-23","","iNaturalist","",,,,,,,,"2008-05-24","Jackson W.F. Chu","Chu & Leys (2010)","",9
"Macoma brota",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-08-17","","iNaturalist","",,,,,,,,"2016-08-17","","iNaturalist","",1
"Macoma calcarea",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03307",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03307",2
"Macoma carlottensis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-018",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03308",3
"Macoma nasuta",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-11-14","Andy Lamb","PMLS","",,,,,,,,"2023-02-08","","iNaturalist","",4
"Macoma obliqua",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-002",,,,,,,,"1959-12-11","Dan Quayle","RBCM","989-00278-002",1
"Magallana gigas",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-08-17","","iNaturalist","",,,,,,,,"2023-06-27","","iNaturalist","",67
"Margarites pupillus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-02-08","Andy Lamb","PMLS","",,,,,,,,"2023-05-22","","iNaturalist","",7
"Marsenina rhombica",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","unobserved","2016-02-07","Andy Lamb","PMLS","",,,,,,,,"2016-02-07","Andy Lamb","PMLS","",1
"Marsenina stearnsii",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-04-07","","iNaturalist","",,,,,,,,"2016-04-07","","iNaturalist","",1
"Mediaster aequalis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2023-07-09","","iNaturalist","",161
"Megalorchestia pugettensis",,,,,,,,,,,,,,,,,,,,,,,,,"new 2018","observed","2018-08-01","","iNaturalist","",,,,,,,,"2022-06-24","","iNaturalist","",3
"Megaptera novaeangliae",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2004-05-28","","BCCSN","8765",,,,,,,,"2023-09-24","","iNaturalist","",105
"Megayoldia thraciaeformis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1942-06-01","Dan Quayle","RBCM","991-00500-001",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03312",3
"Melanella micans",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03323-001",,,,,,,,"2006-06-30","Andy Lamb","PMLS","",2
"Melanochlamys diomedea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1975-06-17","Philip Lambert","RBCM","975-00224-004",,,,,,,,"2018-05-29","","iNaturalist","",3
"Melibe leonina",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-10-07","Andy Lamb","PMLS","",,,,,,,,"2023-04-29","","iNaturalist","",15
"Melicertum octocostatum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2009-04-13","Andy Lamb","PMLS","",,,,,,,,"2013-05-17","Andy Lamb","PMLS","",2
"Membranipora villosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2023-06-17","","iNaturalist","",47
"Mesocentrotus franciscanus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",254
"Metacaprella kennerlyi",,,,,,,,,,,,,,,,,,,,,,,,,"new 2023","observed","2023-06-04","","iNaturalist","",,,,,,,,"2023-06-19","","iNaturalist","",4
"Metacarcinus gracilis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-06-14","Philip Lambert","RBCM","973-00137-019",,,,,,,,"2023-06-18","","iNaturalist","",24
"Metacarcinus magister",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1996-05-29","Charlie Gibbs","PMLS","",,,,,,,,"2023-08-25","","iNaturalist","",26
"Metacrangon munita",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1928-07-18","","RBCM","015-00224-001",,,,,,,,"1963-06-17","Dan Quayle","RBCM","015-00100-001",2
"Metandrocarpa taylori",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",78
"Metridium farcimen",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-21","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",226
"Metridium senile",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-08-26","","iNaturalist","",56
"Micrura verrilli",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2006-09-28","Andy Lamb","PMLS","",,,,,,,,"2006-09-28","Andy Lamb","PMLS","",1
"Mitrella gausapata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03328",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03328",1
"Mitrocoma cellularia",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1928-07-19","Fisheries Research Board of Canada, Nanaimo","CMN","CMNI 2012-0102",,,,,,,,"2023-06-17","","iNaturalist","",27
"Mitrocomella polydiademata",,,,,,,,,,,,,,,,,,,,,,,,,"new 2021","observed","2021-04-18","","iNaturalist","",,,,,,,,"2021-04-18","","iNaturalist","",1
"Modiolus modiolus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2005-12-10","Andy Lamb","PMLS","",,,,,,,,"2005-12-10","Andy Lamb","PMLS","",1
"Modiolus rectus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-015",,,,,,,,"1959-12-11","Dan Quayle","RBCM","989-00278-015",1
"Molgula pacifica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2010-07-17","Andy Lamb","PMLS","",3
"Mopalia ciliata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1999-07-31","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-04","","iNaturalist","",9
"Mopalia hindsii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1999-07-31","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-04","","iNaturalist","",38
"Mopalia lignosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1986-09-30","","RBCM","986-00197-070",,,,,,,,"2023-06-14","","iNaturalist","",30
"Mopalia muscosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-10-10","Andy Lamb","PMLS","",,,,,,,,"2023-07-30","","iNaturalist","",32
"Mopalia phorminx",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","unobserved","2019-03-17","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",1
"Mopalia sinuata",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","unobserved","2019-03-17","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",1
"Mopalia spectabilis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1999-05-04","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",17
"Mopalia swanii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1986-09-30","","RBCM","986-00197-071",,,,,,,,"2022-11-26","","iNaturalist","",20
"Mopalia vespertina",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-04-20","Ian McTaggart-Cowan","RBCM","988-00095-001",,,,,,,,"2023-09-10","","iNaturalist","",36
"Muggiaea sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2009-04-11","Andy Lamb","PMLS","",,,,,,,,"2009-07-04","Andy Lamb","PMLS","",3
"Munida quadrispina",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-05-21","Jackson W.F. Chu","Chu & Leys (2010)","",,,,,,,,"2009-10-03","Jackson W.F. Chu","Chu & Leys (2010)","",327
"Musculus discors",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00346",,,,,,,,"1958-09-05","Ian McTaggart-Cowan","RBCM","979-00346",1
"Musculus niger",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00347",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03317-001",3
"Mya arenaria",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-08-17","","iNaturalist","",,,,,,,,"2019-05-05","","iNaturalist","",3
"Mya truncata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-04-27","Andy Lamb","PMLS","",,,,,,,,"2016-07-24","Andy Lamb","PMLS","",5
"Mycale (Aegogropila) adhaerens",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1999-07-31","Charlie Gibbs","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",62
"Myosotella myosotis",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-09-01","","iNaturalist","",,,,,,,,"2022-06-26","","iNaturalist","",2
"Myoxocephalus polyacanthocephalus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1982-06-08","Genereux, K.D.","CMN","CMNFI 1985-0087.4",,,,,,,,"2021-07-23","","iNaturalist","",4
"Mytilimeria nuttalli",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2018-06-19","Andy Lamb","PMLS","",43
"Mytilus edulis complex",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-07-16","","iNaturalist","",82
"Myxicola sp.A",,,,,,,,,,,,,,,,,,,,,,,,,"new 2018","unobserved","2018-06-19","Andy Lamb","PMLS","",,,,,,,,"2019-03-11","Andy Lamb","PMLS","",2
"Myxicola sp.B",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-14","","iNaturalist","",131
