Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Usnea hirta,(L.) Weber ex F.H. Wigg.,,bristly beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,hirta,,,,native,S4 (2010),,new 2016,observed,,,,,,2016-07-26,Andrew Simon,iNat:3767180,,182679,LIC,accepted,182679,Usnea hirta,Usnea hirta
Usnea intermedia,Jatta,,exploding beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,intermedia,,,,native,S3S4 (2018),,confirmed,observed,2010-01,Terry McIntosh,UBC,L51043,,2016-10-23,Andrew Simon,iNat:7679904,Usnea rigida reported by Terry Taylor (2008-04-05); Usnea quasirigida reported by Kent Brothers; both in doubt,202002,LIC,accepted,202002,Usnea intermedia,Usnea intermedia
Usnea longissima,Ach.,,Methuselah’s beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,longissima,,,,native,S4 (2010),,new 2017,observed,,,,,,2017-03-13,Sarah Tweedale & Andrew Simon,iNat:5308251,,122681,LIC,accepted,122681,Usnea longissima,Usnea longissima
Usnea pacificana,Halonen,,Pacific beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,pacificana,,,,native,S3S4 (2010),,new 2015,observed,,,,,,2015-11-21,Andrew Simon,iNat:39129331,,233326,LIC,accepted,233326,Usnea pacificana,Usnea pacificana
Usnea perplexans,Stirt.,,embossed beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,perplexans,,,,native,S5 (2018),,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2019-01-27,Andrew Simon,iNat:19922714,reported as Usnea substerilis; iNat has adopted U. perplexans for some perplexing reason...,597121,LIC,accepted,597121,Usnea perplexans,Usnea perplexans
Usnea silesiaca,Motyka,,Neptune’s beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,silesiaca,,,,native,S4 (2018),,new 2017,observed,,,,,,2017-03-09,Andrew Simon,iNat:5381712,,532730,LIC,accepted,532730,Usnea silesiaca,Usnea silesiaca
Usnea subfloridana,Stirt.,,boreal beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,subfloridana,,,,native,S4 (2018),,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-04-23,Andrew Simon,iNat:3029003,,182682,LIC,accepted,182682,Usnea subfloridana,Usnea subfloridana
Usnea wasmuthii,Räsänen,,beard lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,wasmuthii,,,,native,unlisted,,new 2015,observed,,,,,,2015-10-01,Andrew Simon,iNat:33818262,,233348,LIC,accepted,233348,Usnea wasmuthii,Usnea wasmuthii
Vulpicida canadensis,(Räsänen) J.-E. Mattsson & M. J. Lai,,brown-eyed sunshine,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Vulpicida,canadensis,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-02-15,Andrew Simon,iNat:9875767,,54317,LIC,accepted,54317,Vulpicida canadensis,Vulpicida canadensis
Xanthoparmelia mougeotii,(Schaer.) Hale,,powdered rockfrog,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Xanthoparmelia,mougeotii,,,,native,S3S4 (2018),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35892,,2022-04-30,Andrew Simon,iNat:114122199,,233712,LIC,accepted,233712,Xanthoparmelia mougeotii,Xanthoparmelia mougeotii
Xanthoparmelia sp.,,,questionable rockfrog,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Xanthoparmelia,,,,,native,SU (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36188,,2014-02-11,lhurteau,iNat:16788085,,60724,LIC,accepted,60724,Xanthoparmelia,Xanthoparmelia
Xanthoparmelia verruculifera,"(Nyl.) O. Blanco, A. Crespo, Elix, D. Hawksw. & Lumbsch",,carbuncular toad,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Xanthoparmelia,verruculifera,,,,native,S3S4 (2018),,confirmed,observed,1974-05-24,Willa J. Noble,UBC,L35895,,2015-08-05,Andrew Simon,iNat:2599862,reported as Neofuscelia verruculifera,117849,LIC,accepted,117849,Xanthoparmelia verruculifera,Xanthoparmelia verruculifera
Micarea micrococca,(Körber) W. Gams ex Coppins,,shadow dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Pilocarpaceae,,,Micarea,micrococca,,,,native,unlisted,,new 2015,observed,,,,,,2015-11-05,Andrew Simon,iNat:21057023,,463518,LIC,accepted,463518,Micarea micrococca,Micarea micrococca
Micarea peliocarpa,(Anzi) Coppins,,shadow dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Pilocarpaceae,,,Micarea,peliocarpa,,,,native,unlisted,,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L20474,,2019-04-29,Andrew Simon,iNat:24768231,,225038,LIC,accepted,225038,Micarea peliocarpa,Micarea peliocarpa
Psora globifera,(Ach.) A. Massal.,,globe pennies,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Psoraceae,,,Psora,globifera,,,,native,S4 (2020),,new 2021,observed,,,,,,2021-05-03,Andrew Simon,iNat:83031036,,123509,LIC,accepted,123509,Psora globifera,Psora globifera
Bacidia rubella,(Hoffm.) A. Massal.,,frosty-rimmed dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Bacidia,rubella,,,,native,unlisted,,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L48879,,,,,,205562,LIC,accepted,205562,Bacidia rubella,Bacidia rubella
Cliostomum griffithii,(Sm.) Coppins,,multicolored dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Cliostomum,griffithii,,,,native,unlisted,,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L14330,,2016-10-16,Andrew Simon,iNat:21055694,,217200,LIC,accepted,217200,Cliostomum griffithii,Cliostomum griffithii
Japewia tornoensis,(Nyl.) Tønsberg,,hidden dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Japewia,tornoensis,,,,native,unlisted,,reported,unobserved,1974-05-24,Willa J. Noble,UBC,L10949,,,,,,222464,LIC,accepted,222464,Japewia tornoensis,Japewia tornoensis
Lecania dudleyi,Herre,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Lecania,dudleyi,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L20697,,2020-06-10,Andrew Simon,iNat:49193134,,222792,LIC,accepted,222792,Lecania dudleyi,Lecania dudleyi
Ramalina cf obtusata,(Arnold) Bitter,,hooded ribbon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,obtusata,,,,native,S4 (2010),,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,229770,LIC,accepted,229770,Ramalina obtusata,Ramalina obtusata
Ramalina dilacerata,(Hoffm.) Hoffm.,,punctured ribbon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,dilacerata,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L10960,,2017-03-18,Andrew Simon,iNat:5392752,,182732,LIC,accepted,182732,Ramalina dilacerata,Ramalina dilacerata
Ramalina farinacea,(L.) Ach.,,farinose cartilage lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,farinacea,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36198,,2016-05-14,Lauren Magner & Andrew Simon,iNat:3296811,,54758,LIC,accepted,54758,Ramalina farinacea,Ramalina farinacea
Ramalina menziesii,Taylor.,,canopy fishnet,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,menziesii,,,,native,S3S4 (2010),,new 2017,observed,,,,,,2017-03-18,Andrew Simon,iNat:5392773,,49578,LIC,accepted,49578,Ramalina menziesii,Ramalina menziesii
Ramalina neopacifica ined.,Hampton-Miller & T. Sprib.,,ribbon lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,neopacifica,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L10956,,,,,Whaler Bay,,LIC,unknown,,,
Ramalina sp.2 sensu Goward 1999,,,maritime bush,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,,,,,native,unlisted,,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36184,,,,,,48325,LIC,unknown,,,Ramalina
Ramalina subleptocarpha,Rundel & Bowler,,continuous ribbon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Ramalina,subleptocarpha,,,,native,S3S4 (2018),,new 2020,observed,,,,,,2023-08-28,Heather Magusin,iNat:170070136,,203077,LIC,accepted,203077,Ramalina subleptocarpha,Ramalina subleptocarpha
Waynea californica,Moberg,,knobbed scale,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Waynea,californica,,,,native,unlisted,,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,194116,LIC,accepted,194116,Waynea californica,Waynea californica
Ramboldia gowardiana,(T. Sprib. & M. Hauck) Kalb,,button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramboldiaceae,,,Ramboldia,gowardiana,,,,native,unlisted,,reported,unobserved,1974-05-28,Willa J. Noble,UBC,L37595,,,,,,229804,LIC,accepted,229804,Ramboldia gowardiana,Ramboldia gowardiana
Scoliciosporum umbrinum,(Ach.) Arnold,,umber dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Scoliciosporaceae,,,Scoliciosporum,umbrinum,,,,native,unlisted,,reported,unobserved,1974-06-01,Willa J. Noble,UBC,L36202,,,,,,230644,LIC,accepted,230644,Scoliciosporum umbrinum,Scoliciosporum umbrinum
Sphaerophorus tuckermanii,Räsänen.,,Tuckerman’s coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,,Sphaerophorus,tuckermanii,,,,native,S4S5 (2018),,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L35934,,2016-11-03,Andrew Simon,iNat:4491326,Previously misapplied: Sphaerophorus globiferus (L.) DC. var. gracilis Müll. Arg. = Sphaerophorus globosus (Hudson),123231,LIC,accepted,123231,Sphaerophorus tuckermanii,Sphaerophorus tuckermanii
Sphaerophorus venerabilis,"Wedin, Högnabba & Goward",,ancient coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,,Sphaerophorus,venerabilis,,,,native,S4 (2010),,confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,L8146,,2016-04-01,Andrew Simon,iNat:2865613,,155226,LIC,accepted,155226,Sphaerophorus venerabilis,Sphaerophorus venerabilis
Lepraria finkii,(B. de Lesd.) R.C. Harris,,dust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Lepraria,finkii,,,,native,unlisted,,new 2017,observed,,,,,,2017-03-14,Andrew Simon,iNat:5309680,,463344,LIC,accepted,463344,Lepraria finkii,Lepraria finkii
Lepraria incana,(L.) Ach.,,dust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Lepraria,incana,,,,native,unlisted,,reported,unobserved,2009-05-16,Kent Brothers,VMS,,,,,,,223257,LIC,accepted,223257,Lepraria incana,Lepraria incana
Lepraria nivalis,J.R. Laundon.,,snowy dust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Lepraria,nivalis,,,,native,unlisted,,new 2017,observed,,,,,,2017-04-20,Andrew Simon,iNat:5886446,,223259,LIC,accepted,223259,Lepraria nivalis,Lepraria nivalis
Lepraria subalbicans,(Th. Fr.) Lendemer & Hodkinson,,dust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Lepraria,subalbicans,,,,native,unlisted,,new 2017,observed,,,,,,2017-03-25,Andrew Simon,iNat:22642562,,463357,LIC,accepted,463357,Lepraria subalbicans,Lepraria subalbicans
Stereocaulon intermedium,(Savicz) H. Magn.,,Pacific foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,intermedium,,,,native,S4 (2010),,new 2018,observed,,,,,,2018-03-09,Andrew Simon,iNat:10163396,confirm specimens,231701,LIC,accepted,231701,Stereocaulon intermedium,Stereocaulon intermedium
Stereocaulon tomentosum,Fr.,,eyed foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,tomentosum,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-03-18,Andrew Simon,iNat:10306306,confirm specimens,155227,LIC,accepted,179804,Stereocaulon tomentosum,Stereocaulon sterile
Mycoblastus affinis,(Schaer.) T. Schauer,,white heart lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Tephromelataceae,,,Mycoblastus,affinis,,,,native,unlisted,,new 2017,observed,,,,,,2017-10-26,Andrew Simon,iNat:8594091,,182698,LIC,accepted,182698,Mycoblastus affinis,Mycoblastus affinis
Tephromela atra,(Hudson) Ach.,,black-eye lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Tephromelataceae,,,Tephromela,atra,,,,native,unlisted,,confirmed,observed,1974-04-21,Willa J. Noble,UBC,L12431,,2016-09-09,Andrew Simon,iNat:4092285,,232383,LIC,accepted,232383,Tephromela atra,Tephromela atra
Bryobilimbia hypnorum,"(Lib.) Fryday, Printzen & S. Ekman",,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,,Bryobilimbia,hypnorum,,,,native,unlisted,,reported,unobserved,1974-04-21,Willa J. Noble,UBC,L35661,,,,,reported as Mycobilimbia hypnorum,462498,LIC,accepted,462498,Bryobilimbia hypnorum,Bryobilimbia hypnorum
Lecidea albofuscescens,Nyl.,,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,,Lecidea,albofuscescens,,,,native,unlisted,,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,222979,LIC,accepted,222979,Lecidea albofuscescens,Lecidea albofuscescens
Lecidea fuscoatra,(L.) Ach.,,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,,Lecidea,fuscoatra,,,,native,unlisted,,new 2017,observed,,,,,,2017-05-19,Andrew Simon,iNat:22643567,,154105,LIC,accepted,154105,Lecidea fuscoatra,Lecidea fuscoatra
Lecidea mannii,Tuck.,,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,,Lecidea,mannii,,,,native,unlisted,,reported,unobserved,1974-05-28,Willa J. Noble,UBC,L35896,,,,,,223050,LIC,accepted,223050,Lecidea mannii,Lecidea mannii
Porpidia crustulata,(Ach.) Hertel & Knoph,,concentric boulder lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,,Porpidia,crustulata,,,,native,unlisted,,new 2016,observed,,,,,,2016-10-04,Andrew Simon,iNat:4282648,,182467,LIC,accepted,182467,Porpidia crustulata,Porpidia crustulata
Porpidia soredizodes,(Lamy ex. Nyl.) J. R. Laundon.,,boulder lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,,Porpidia,soredizodes,,,,native,unlisted,,reported,unobserved,1974-06-01,Willa J. Noble,UBC,L20706,,,,,"Alnus rubra thicket, disturbed right of way; hydroline Montague Rd.",228670,LIC,accepted,228670,Porpidia soredizodes,Porpidia soredizodes
Ephebe lanata,(L.) Vain.,,waterside rockshag,Fungi,Ascomycota,Pezizomycotina,,Lichinomycetes,,,Lichinales,,,Lichinaceae,,,Ephebe,lanata,,,,native,S4 (2019),,confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,L3830,,2022-06-12,Andrew Simon,iNat:121538547,,219260,LIC,accepted,219260,Ephebe lanata,Ephebe lanata
Diploschistes muscorum,(Scop.) R. Sant.,,crater lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,,Diploschistes,muscorum,,,,native,S5 (2020),,new 2022,observed,,,,,,2022-04-30,Andrew Simon,iNat:114122091,,124441,LIC,accepted,124441,Diploschistes muscorum,Diploschistes muscorum
Diploschistes scruposus,(Schreber) Norman,,crater lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,,Diploschistes,scruposus,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10946,,2015-09-27,Andrew Simon,iNat:2632562,,117945,LIC,accepted,117945,Diploschistes scruposus,Diploschistes scruposus
Graphis scripta,(L.) Ach.,,common script lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,,Graphis,scripta,,,,native,unlisted,,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L10984,,2017-02-16,Andrew Simon,iNat:5122044,,117987,LIC,accepted,117987,Graphis scripta,Graphis scripta
Thelotrema lepadinum,(Ach.) Ach.,,bark barnacles,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,,Thelotrema,lepadinum,,,,native,unlisted,,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L12449,,2018-01-14,Andrew Simon,iNat:9479483,,129667,LIC,accepted,129667,Thelotrema lepadinum,Thelotrema lepadinum
Phlyctis argena,(Ach.) Flot.,,whitewash lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Phlyctidaceae,,,Phlyctis,argena,,,,native,unlisted,,new 2016,observed,,,,,,2016-10-20,Andrew Simon,iNat:4425644,,182631,LIC,accepted,182631,Phlyctis argena,Phlyctis argena
Blennothallia fecunda,"(Degel.) Otálora, P. M. Jørg. & Wedin",,seaside tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Blennothallia,fecunda,,,,native,S3S4 (2019),,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L10380,,2020-04-10,Andrew Simon,iNat:41881726,reported as Collema fecundum,462484,LIC,accepted,462484,Blennothallia fecunda,Blennothallia fecunda
Collema coniophilum,Goward,,crumpled tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Collema,coniophilum,,,,native,S2 (2019),1-T (2017),new 2021,observed,,,,,,2021-05-03,Andrew Simon,iNat:102201908,,463176,LIC,accepted,217414,Collema coniophilum,Lathagrium auriforme
Collema furfuraceum,(Arnold) Du Rietz.,,effervescent tarpaper lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Collema,furfuraceum,,,,native,S3S4 (2010),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L14329,,2016-10-16,Andrew Simon,iNat:4381558,,117947,LIC,accepted,117947,Collema furfuraceum,Collema furfuraceum
Collema nigrescens,(Hudson) DC.,,blistered jelly lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Collema,nigrescens,,,,native,S4 (2010),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L14342,,2016-11-03,Andrew Simon,iNat:4491315,,217428,LIC,accepted,217428,Collema nigrescens,Collema nigrescens
Collema subflaccidum,Degel.,,wilted tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Collema,subflaccidum,,,,native,S4 (2010),,confirmed,observed,2010-01-26,Terry McIntosh,UBC,L51101,,2016-12-04,Andrew Simon,iNat:4715745,reported as Collema flaccidum by Terry McIntosh but as Collema subflaccidum by Curtis Björk,182552,LIC,accepted,182552,Collema subflaccidum,Collema subflaccidum
Enchylium tenax,(Sw.) Gray,,tarred tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Enchylium,tenax,,,,native,SU (2019),,new 2021,observed,,,,,,2021-05-03,Andrew Simon,iNat:83031003,,462865,LIC,accepted,462865,Enchylium tenax,Enchylium tenax
Lathagrium cristatum,"(L.) Otálora, P.M. Jørg. & Wedin.",,fingered tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Lathagrium,cristatum,,,,native,S3S4 (2019),,new 2021,observed,,,,,,2021-05-03,Andrew Simon,iNat:83031022,,463177,LIC,accepted,463177,Lathagrium cristatum,Lathagrium cristatum
Lathagrium fuscovirens,"(With.) Otálora, P.M. Jørg. & Wedin",,cellulitic tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Lathagrium,fuscovirens,,,,native,S5 (2019),,new 2020,observed,,,,,,2020-11-10,Kevin Toomer,iNat:64809569,,463179,LIC,accepted,463179,Lathagrium fuscovirens,Lathagrium fuscovirens
Leptogium pseudofurfuraceum,P.M. Jørg. & Wallace,,concentric vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Leptogium,pseudofurfuraceum,,,,native,S4 (2019),,new 2017,observed,,,,,,2017-03-30,Andrew Simon,iNat:5516443,,223476,LIC,accepted,223476,Leptogium pseudofurfuraceum,Leptogium pseudofurfuraceum
Leptogium saturninum s.lat.,(Dickson) Nyl.,,midnight vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Leptogium,saturninum,,,,native,S5 (2018),,new 2021,observed,,,,,,2021-10-09,Eva Ullström,iNat:98115381,,223480,LIC,accepted,223480,Leptogium saturninum,Leptogium saturninum
Scytinium cf turgidum,"(Ach.) Otálora, P.M. Jørg. & Wedin",,turgid vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,turgidum,,,,native,unlisted,,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,reported as Leptogium cf turgidum,532320,LIC,accepted,532320,Scytinium turgidum,Scytinium turgidum
Scytinium gelatinosum,"(With.) Otálora, P.M. Jørg. & Wedin",,ageing vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,gelatinosum,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-03-25,Andrew Simon,iNat:5483258,reported as Leptogium gelatinosum,526716,LIC,accepted,526716,Scytinium gelatinosum,Scytinium gelatinosum
Scytinium lichenoides,"(L.) Otálora, P.M. Jørg. & Wedin",,tattered vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,lichenoides,,,,native,S5 (2018),,confirmed,observed,1974-04-21,Willa J. Noble,UBC,L35659,,2016-10-23,Andrew Simon,iNat:4425700,reported as Leptogium lichenoides,526717,LIC,accepted,526717,Scytinium lichenoides,Scytinium lichenoides
Scytinium palmatum,(Huds.) Gray,,horned vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,palmatum,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L37602,,2015-10-08,Lauren Magner & Andrew Simon,iNat:2647353,reported as Leptogium palmatum,532308,LIC,accepted,532308,Scytinium palmatum,Scytinium palmatum
