"","period","cell_id","record_count"
"625","1890-1990",657,92
"626","1890-1990",658,1
"627","1890-1990",661,16
"628","1890-1990",756,1
"629","1890-1990",774,77
"630","1890-1990",775,1
"631","1890-1990",871,1
"632","1890-1990",882,1
"633","1890-1990",883,1
"634","1890-1990",941,90
"635","1890-1990",985,4
"636","1890-1990",995,1
"637","1890-1990",1041,1
"638","1890-1990",1107,43
"639","1890-1990",1146,1
"640","1890-1990",1159,1
"641","1890-1990",1213,1
"642","1890-1990",1214,2
"643","1890-1990",1219,14
"644","1890-1990",1259,6
"645","1890-1990",1261,1
"646","1890-1990",1262,6
"647","1890-1990",1263,19
"648","1890-1990",1264,4
"649","1890-1990",1275,2
"650","1890-1990",1278,1
"651","1890-1990",1331,33
"652","1890-1990",1366,1
"653","1890-1990",1375,3
"654","1890-1990",1376,4
"655","1890-1990",1378,1
"656","1890-1990",1386,14
"657","1890-1990",1387,2
"658","1890-1990",1389,1
"659","1890-1990",1392,1
"660","1890-1990",1395,2
"661","1890-1990",1488,36
"662","1890-1990",1492,1
"663","1890-1990",1496,2
"664","1890-1990",1499,1
"665","1890-1990",1501,5
"666","1890-1990",1502,1
"667","1890-1990",1599,21
"668","1890-1990",1602,1
"669","1890-1990",1603,3
"670","1890-1990",1613,6
"671","1890-1990",1658,1
"672","1890-1990",1664,2
"673","1890-1990",1711,1
"674","1890-1990",1712,4
"675","1890-1990",1714,1
"676","1890-1990",1720,6
"677","1890-1990",1721,13
"678","1890-1990",1768,1
"679","1890-1990",1826,14
"680","1890-1990",1831,1
"681","1890-1990",1880,1
"682","1890-1990",1883,1
"683","1890-1990",1991,4
"684","1890-1990",1992,3
"685","1890-1990",1993,1
"686","1890-1990",1996,2
"687","1890-1990",1998,1
"688","1890-1990",2103,1
"689","1890-1990",2104,4
"690","1890-1990",2214,1
"691","1890-1990",2215,27
"692","1890-1990",2216,2
"693","1890-1990",2217,2
"694","1890-1990",2328,4
"695","1890-1990",2436,1
"696","1890-1990",2437,1
"697","1890-1990",2549,1
"698","1890-1990",2550,4
"699","1890-1990",2555,1
"700","1890-1990",2560,1
"701","1890-1990",2587,4
"702","1890-1990",2605,1
"703","1890-1990",2827,2
"704","1890-1990",2828,1
"705","1890-1990",3026,1
"706","1890-1990",3140,1
"707","1890-1990",3158,5
"708","1890-1990",3161,6
"709","1890-1990",3253,1
"710","1890-1990",3270,2
"711","1890-1990",3273,1
"712","1890-1990",3310,1
"713","1890-1990",3311,3
"714","1890-1990",3322,1
"715","1890-1990",3324,1
"716","1890-1990",3326,4
"717","1890-1990",3329,4
"718","1890-1990",3330,3
"719","1890-1990",3382,1
"720","1890-1990",3421,3
"721","1890-1990",3424,1
"722","1890-1990",3427,1
"723","1890-1990",3432,4
"724","1890-1990",3438,1
"725","1890-1990",3440,1
"726","1890-1990",3445,7
"727","1890-1990",3498,19
"728","1890-1990",3541,1
"729","1890-1990",3543,1
"730","1890-1990",3544,1
"731","1890-1990",3553,1
"732","1890-1990",3607,2
"733","1890-1990",3662,1
"734","1890-1990",3666,3
"735","1890-1990",3669,8
"736","1890-1990",3765,1
"737","1890-1990",3769,1
"738","1890-1990",3824,3
"739","1890-1990",3880,1
"740","1890-1990",3882,1
"741","1890-1990",3889,1
"742","1890-1990",3941,1
"743","1890-1990",3983,5
"744","1890-1990",3990,1
"745","1890-1990",3992,1
"746","1890-1990",3996,1
"747","1890-1990",3998,3
"748","1890-1990",4004,8
"749","1890-1990",4005,7
"750","1890-1990",4049,4
"751","1890-1990",4051,4
"752","1890-1990",4055,2
"753","1890-1990",4056,7
"754","1890-1990",4057,1
"755","1890-1990",4060,6
"756","1890-1990",4111,3
"757","1890-1990",4112,1
"758","1890-1990",4160,1
"759","1890-1990",4161,8
"760","1890-1990",4163,1
"761","1890-1990",4167,2
"762","1890-1990",4168,30
"763","1890-1990",4172,1
"764","1890-1990",4269,2
"765","1890-1990",4274,2
"766","1890-1990",4279,1
"767","1890-1990",4280,2
"768","1890-1990",4281,33
"769","1890-1990",4336,1
"770","1890-1990",4387,3
"771","1890-1990",4390,1
"772","1890-1990",4392,5
"773","1890-2000",368,3
"774","1890-2000",369,1
"775","1890-2000",479,1
"776","1890-2000",480,53
"777","1890-2000",482,1
"778","1890-2000",488,21
"779","1890-2000",489,29
"780","1890-2000",536,1
"781","1890-2000",541,8
"782","1890-2000",542,117
"783","1890-2000",544,4
"784","1890-2000",545,4
"785","1890-2000",546,109
"786","1890-2000",547,1
"787","1890-2000",549,1
"788","1890-2000",590,2
"789","1890-2000",597,1
"790","1890-2000",653,1
"791","1890-2000",654,3
"792","1890-2000",656,6
"793","1890-2000",657,92
"794","1890-2000",658,1
"795","1890-2000",661,16
"796","1890-2000",756,1
"797","1890-2000",774,77
"798","1890-2000",775,1
"799","1890-2000",871,1
"800","1890-2000",882,1
"801","1890-2000",883,1
"802","1890-2000",941,90
"803","1890-2000",985,4
"804","1890-2000",992,2
"805","1890-2000",995,1
"806","1890-2000",1041,1
"807","1890-2000",1107,43
"808","1890-2000",1146,1
"809","1890-2000",1159,1
"810","1890-2000",1213,1
"811","1890-2000",1214,2
"812","1890-2000",1219,14
"813","1890-2000",1259,6
"814","1890-2000",1261,1
"815","1890-2000",1262,6
"816","1890-2000",1263,19
"817","1890-2000",1264,4
"818","1890-2000",1275,2
"819","1890-2000",1278,1
"820","1890-2000",1331,33
"821","1890-2000",1366,1
"822","1890-2000",1375,3
"823","1890-2000",1376,4
"824","1890-2000",1378,1
"825","1890-2000",1386,14
"826","1890-2000",1387,2
"827","1890-2000",1389,1
"828","1890-2000",1392,1
"829","1890-2000",1395,2
"830","1890-2000",1488,36
"831","1890-2000",1490,1
"832","1890-2000",1492,1
"833","1890-2000",1496,2
"834","1890-2000",1499,1
"835","1890-2000",1501,5
"836","1890-2000",1502,1
"837","1890-2000",1599,21
"838","1890-2000",1602,1
"839","1890-2000",1603,5
"840","1890-2000",1613,6
"841","1890-2000",1658,1
"842","1890-2000",1664,2
"843","1890-2000",1711,1
"844","1890-2000",1712,4
"845","1890-2000",1714,1
"846","1890-2000",1720,6
"847","1890-2000",1721,13
"848","1890-2000",1768,2
"849","1890-2000",1826,31
"850","1890-2000",1831,1
"851","1890-2000",1880,1
"852","1890-2000",1883,1
"853","1890-2000",1991,4
"854","1890-2000",1992,3
"855","1890-2000",1993,1
"856","1890-2000",1996,2
"857","1890-2000",1998,1
"858","1890-2000",2102,36
"859","1890-2000",2103,5
"860","1890-2000",2104,4
"861","1890-2000",2158,4
"862","1890-2000",2214,1
"863","1890-2000",2215,27
"864","1890-2000",2216,2
"865","1890-2000",2217,2
"866","1890-2000",2328,4
"867","1890-2000",2436,1
"868","1890-2000",2437,1
"869","1890-2000",2438,3
"870","1890-2000",2439,2
"871","1890-2000",2549,1
"872","1890-2000",2550,4
"873","1890-2000",2555,1
"874","1890-2000",2560,1
"875","1890-2000",2587,4
"876","1890-2000",2605,1
"877","1890-2000",2827,2
"878","1890-2000",2828,1
"879","1890-2000",2994,14
"880","1890-2000",3026,1
"881","1890-2000",3050,2
"882","1890-2000",3140,1
"883","1890-2000",3158,5
"884","1890-2000",3161,6
"885","1890-2000",3253,1
"886","1890-2000",3255,1
"887","1890-2000",3270,2
"888","1890-2000",3273,1
"889","1890-2000",3310,1
"890","1890-2000",3311,3
"891","1890-2000",3322,1
"892","1890-2000",3324,1
