Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Order_std,Reporting_raw_std,Reporting_simple_std,Historical_date_std,First_observed_std,Observer_std,Collector_std,new_year_std,status_std,historical_year,observed_year,contribution_year,Order_label
Lygaeus kalmii,,,small milkweed bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,Lygaeinae,,Lygaeus,kalmii,,,NA,native,,,new 2015,observed,NA,NA,,,,2015-08-28,Andrew Simon,iNat:1930975,,62045,ART,2015,new,Lygaeus kalmii,Hemiptera,new 2015,new,NA,2015-08-28,Andrew Simon,NA,2015,new,NA,2015,2015,True bugs (Hemiptera)
Neacoryphus bicrucis,(Say),,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,Lygaeinae,,Neacoryphus,bicrucis,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,261608,ART,NA,reported,Neacoryphus bicrucis,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Nysius niger,Baker,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,Orsillinae,Nysiini,Nysius,niger,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,453993,ART,NA,reported,Nysius niger,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Nysius tenellus,Barber,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,Orsillinae,Nysiini,Nysius,tenellus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,296406,ART,NA,reported,Nysius tenellus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Platycotis vittata,(Fabricius),,oak tree hopper,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Membracoidea,Membracidae,Membracinae,Hoplophorionini,Platycotis,vittata,,,NA,native,,,confirmed,observed,1982-08-25,Geoffrey G.E. Scudder,SEM,SEM-UBC HOM-0030,,2017-05-13,Scott Gilmore,iNat:6203555,syn. Platycotis quadrivittata,48679,ART,NA,confirmed,Platycotis vittata,Hemiptera,confirmed,confirmed,1982-08-25,2017-05-13,Scott Gilmore,Geoffrey G.E. Scudder,NA,confirmed,1982,2017,2017,True bugs (Hemiptera)
Mesovelia mulsanti,White,,water treader,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Mesovelioidea,Mesoveliidae,,,Mesovelia,mulsanti,,,NA,native,,,reported,unobserved,1984-09-01,Geoffrey G.E. Scudder,SEM,SEM-UBC HET-5809,,NA,NA,,,224954,ART,NA,reported,Mesovelia mulsanti,Hemiptera,reported,reported,1984-09-01,NA,NA,Geoffrey G.E. Scudder,NA,reported,1984,NA,NA,True bugs (Hemiptera)
Asciodema obsoleta,(Fieber),,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Phylini,Asciodema,obsoleta,,,NA,exotic,,,reported,unobserved,1989-06-24,Geoffrey G.E. Scudder,CNCI,AMNH_PBI000 85885,,NA,NA,,,481110,ART,NA,reported,Asciodema obsoleta,Hemiptera,reported,reported,1989-06-24,NA,NA,Geoffrey G.E. Scudder,NA,reported,1989,NA,NA,True bugs (Hemiptera)
Atractotomus cooperi,Stonedahl,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Nasocorini,Atractotomus,cooperi,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1030945,ART,NA,reported,Atractotomus cooperi,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Blepharidopterus angulatus,(Fallén),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Blepharidopterus,angulatus,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,481398,ART,NA,reported,Blepharidopterus angulatus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Blepharidopterus provancheri,(Burque),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Blepharidopterus,provancheri,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,453803,ART,NA,reported,Blepharidopterus provancheri,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Campyloneura virgula,(Herrich-Schaeffer),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Bryocorinae,Dicyphini,Campyloneura,virgula,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,360042,ART,NA,reported,Campyloneura virgula,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Capsus ater,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Capsus,ater,,,NA,,,,new 2023,unobserved,2023-05-27,Karen Needham,Bioblitz 2023,,,NA,NA,,,450660,ART,2023,new,Capsus ater,Hemiptera,new 2023,new,2023-05-27,NA,NA,Karen Needham,2023,new,2023,NA,2023,True bugs (Hemiptera)
Ceratocapsus apicatus,(Van Duzee),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Ceratocapsini,Ceratocapsus,apicatus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,511474,ART,NA,reported,Ceratocapsus apicatus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Ceratocapsus cunealis,Henry,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Ceratocapsini,Ceratocapsus,cunealis,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1095225,ART,NA,reported,Ceratocapsus cunealis,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Ceratocapsus denticulatus,Knight,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Ceratocapsini,Ceratocapsus,denticulatus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1026418,ART,NA,reported,Ceratocapsus denticulatus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Compsidolon salicellum,(Herrich-Schaeffer),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Phylini,Compsidolon,salicellum,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,481115,ART,NA,reported,Compsidolon salicellum,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Deraeocoris brevis,(Uhler),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Deraeocorinae,Deraeocorini,Deraeocoris,brevis,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,453847,ART,NA,reported,Deraeocoris brevis,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Deraeocoris incertus,Knight,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Deraeocorinae,Deraeocorini,Deraeocoris,incertus,,,NA,native,,,reported,unobserved,1973-07-20,Geoffrey G.E. Scudder,SEM,??,,NA,NA,,,498436,ART,NA,reported,Deraeocoris incertus,Hemiptera,reported,reported,1973-07-20,NA,NA,Geoffrey G.E. Scudder,NA,reported,1973,NA,NA,True bugs (Hemiptera)
Deraeocoris rubroclarus,Knight,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Deraeocorinae,Deraeocorini,Deraeocoris,rubroclarus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1021379,ART,NA,reported,Deraeocoris rubroclarus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Deraeocoris sp.,,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Deraeocorinae,Deraeocorini,Deraeocoris,,,,NA,,,,new 2017,observed,NA,NA,,,,2017-05-13,Scott Gilmore,iNat:6223435,,173953,ART,2017,new,Deraeocoris sp.,Hemiptera,new 2017,new,NA,2017-05-13,Scott Gilmore,NA,2017,new,NA,2017,2017,True bugs (Hemiptera)
Dicyphus discrepans,Knight,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Bryocorinae,Dicyphini,Dicyphus,discrepans,,,NA,native,,,confirmed,observed,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,2023-05-27,Jackson W.F. Chu,iNat:164151145,,354555,ART,NA,confirmed,Dicyphus discrepans,Hemiptera,confirmed,confirmed,2019-06-21,2023-05-27,Jackson W.F. Chu,Geoffrey G.E. Scudder,NA,confirmed,2019,2023,2023,True bugs (Hemiptera)
Heterotoma planicornis,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,,Heterotoma,planicornis,,,NA,,,,new 2025,observed,NA,NA,,,,2025-07-22,Kevin Toomer,iNat:300189193,,324676,ART,2025,new,Heterotoma planicornis,Hemiptera,new 2025,new,NA,2025-07-22,Kevin Toomer,NA,2025,new,NA,2025,2025,True bugs (Hemiptera)
Lopidea ampla,Van Duzee,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Lopidea,ampla,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,551347,ART,NA,reported,Lopidea ampla,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Lopus decolor,(Fallén),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Cremnorrhini,Lopus,decolor,,,NA,exotic,,,confirmed,observed,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,2016-07-07,Andrew Simon,iNat:3641743,The sap-sucking Lopus decolor observed feeding on Meadow fescue (Schedonorus pratensis),391877,ART,NA,confirmed,Lopus decolor,Hemiptera,confirmed,confirmed,2019-06-21,2016-07-07,Andrew Simon,Geoffrey G.E. Scudder,NA,confirmed,2019,2016,2016,True bugs (Hemiptera)
Lygus convexicollis,Reuter,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Lygus,convexicollis,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,554236,ART,NA,reported,Lygus convexicollis,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Lygus humeralis,Knight,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Lygus,humeralis,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1029853,ART,NA,reported,Lygus humeralis,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Lygus lineolaris,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Lygus,lineolaris,,,NA,,,,new 2022,observed,NA,NA,,,,2022-07-15,Kevin Toomer,iNat:126384016,,84507,ART,2022,new,Lygus lineolaris,Hemiptera,new 2022,new,NA,2022-07-15,Kevin Toomer,NA,2022,new,NA,2022,2022,True bugs (Hemiptera)
Lygus shulli,Knight,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Lygus,shulli,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,453940,ART,NA,reported,Lygus shulli,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Malacocoris chlorizans,(Panzer),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Malacocoris,chlorizans,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,481040,ART,NA,reported,Malacocoris chlorizans,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Mecomma gilvipes,(Stål),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Mecomma,gilvipes,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,453949,ART,NA,reported,Mecomma gilvipes,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Megaloceroea recticornis,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,,Megaloceroea,recticornis,,,NA,,,,new 2024,observed,NA,NA,,,,2024-06-15,Chris Ratzlaff,iNat:243269478,,366578,ART,2024,new,Megaloceroea recticornis,Hemiptera,new 2024,new,NA,2024-06-15,Chris Ratzlaff,NA,2024,new,NA,2024,2024,True bugs (Hemiptera)
Nonlygus nubilatus,(Knight),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Nonlygus,nubilatus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,480967,ART,NA,reported,Nonlygus nubilatus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Orthocephalus coriaceus,(Fabricius),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Halticini,Orthocephalus,coriaceus,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,522997,ART,NA,reported,Orthocephalus coriaceus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Orthops scutellatus,Uhler,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Orthops,scutellatus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,362169,ART,NA,reported,Orthops scutellatus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Orthotylus albocostatus,"Van Duzee, 1918",,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Orthotylus,albocostatus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,reported as Melanotrichus albocostatus,741018,ART,NA,reported,Orthotylus albocostatus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Orthotylus concolor,"(Kirschbaum, 1856)",,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Orthotylus,concolor,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,reported as Melanotrichus concolor,887633,ART,NA,reported,Orthotylus concolor,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Orthotylus flavosparsus,"(C.Sahlberg, 1841)",,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Orthotylus,flavosparsus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,reported as Melanotrichus flavosparsus,577805,ART,NA,reported,Orthotylus flavosparsus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Orthotylus virescens,"(Douglas & Scott, 1865)",,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Orthotylus,virescens,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,reported as Melanotrichus virescens,887646,ART,NA,reported,Orthotylus virescens,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Paraproba cincta,"Van Duzee, 1917",,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Orthotylinae,Orthotylini,Paraproba,cincta,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1099234,ART,NA,reported,Paraproba cincta,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Phytocoris eurekae,Bliven,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Phytocoris,eurekae,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1029859,ART,NA,reported,Phytocoris eurekae,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Phytocoris inops,Uhler,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Phytocoris,inops,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1026433,ART,NA,reported,Phytocoris inops,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Phytocoris juliae,Stonedahl,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Phytocoris,juliae,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1026961,ART,NA,reported,Phytocoris juliae,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Phytocoris neglectus,Knight,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Phytocoris,neglectus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,454027,ART,NA,reported,Phytocoris neglectus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Phytocoris tiliae,(Fabricius),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Phytocoris,tiliae,,,NA,exotic,,,confirmed,observed,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,2022-09-18,Kevin Toomer,iNat:135701547,,624545,ART,NA,confirmed,Phytocoris tiliae,Hemiptera,confirmed,confirmed,2019-06-21,2022-09-18,Kevin Toomer,Geoffrey G.E. Scudder,NA,confirmed,2019,2022,2022,True bugs (Hemiptera)
Pilophorus perplexus,Douglas & Scott,,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Pilophorini,Pilophorus,perplexus,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,484713,ART,NA,reported,Pilophorus perplexus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Pithanus maerkelii,(Herrich-Schaeffer),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Stenodemini,Pithanus,maerkelii,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,451681,ART,NA,reported,Pithanus maerkelii,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Plagiognathus brunneus,(Provancher),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Phylini,Plagiognathus,brunneus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,454049,ART,NA,reported,Plagiognathus brunneus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Plagiognathus chrysanthemi,(Wolff),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Phylini,Plagiognathus,chrysanthemi,,,NA,exotic,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,349332,ART,NA,reported,Plagiognathus chrysanthemi,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Plagiognathus fuscosus,"(Provancher, 1872)",,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Phylini,Plagiognathus,fuscosus,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,1099259,ART,NA,reported,Plagiognathus fuscosus,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
Psallovius piceicola,(Knight),,plant bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Phylinae,Phylini,Psallovius,piceicola,,,NA,native,,,reported,unobserved,2019-06-21,Geoffrey G.E. Scudder,Checklist of Heteroptera collected on Galiano Island BC,,,NA,NA,,,454079,ART,NA,reported,Psallovius piceicola,Hemiptera,reported,reported,2019-06-21,NA,NA,Geoffrey G.E. Scudder,NA,reported,2019,NA,NA,True bugs (Hemiptera)
