"","Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Origin","Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"528","Carex flava","L.","","yellow sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",85484,"VAS"
"529","Carex hendersonii","L.H. Bailey","","Henderson's sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-05-03","Andrew Simon","http://www.inaturalist.org/observations/3093575","",76048,"VAS"
"530","Carex inops ssp. inops","L.H. Bailey","","long-stoloned sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S4S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-03-22","Andrew Simon","http://www.inaturalist.org/observations/2819492","",76056,"VAS"
"531","Carex laeviculmis","Meinsh","","smooth-stemmed sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","new 2017","observed","","","","",NA,"2017-05-27","Judith Holm","https://www.inaturalist.org/observations/6457046","",76062,"VAS"
"532","Carex lasiocarpa","Ehrh.","","slender sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","confirmed","observed","1975-07-24","Harvey Janszen","RBCM","V083246",1949532180,"2016-05-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3296358","",76063,"VAS"
"533","Carex lenticularis var. limnophila","Michx.","(Holm) Cronquist","Hind's sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S4S5","reported","unobserved","1979-06-28","Harvey Janszen","RBCM","V098003",1949547203,"","","","reported as Carex kelloggiivar.limnophila(V098003); farm field",80516,"VAS"
"534","Carex leporina","L.","","oval sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","reported","unobserved","1966-08-24","B. Turner","BABY","131",NA,"","","","reported as C. tracyi; Retreat Cove; Shore drainage, swampy area with Juncus, grasses, Veronica, Ranuculus, open, flat. H.L. Roemer.",160051,"VAS"
"535","Carex leptalea","Wahlenb.","","bristle-stalked sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","reported","unobserved","1979-07-07","Harvey Janszen","RBCM","V098006",1949546933,"","","","B. Wilson et al. (2008) do not recognize the distinction between subspecies; H. Janszen (2003) lists Carex leptalea ssp. pacifica though the specimen cited here is unresolved. We have deferred to Wilson et al. 2008, who state that this group requires more work, and left the taxon unresolved beyond the species rank.",76069,"VAS"
"536","Carex leptopoda","Mack.","","short-scaled sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","new 2016","observed","","","","",NA,"2016-06-05","Andrew Simon","http://www.inaturalist.org/observations/3404427","Carex deweyana var. deweyana historically (HJ 2001) misapplied to this taxon",76070,"VAS"
"537","Carex livida","(Wahlenb.) Willd.","","pale sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","reported","unobserved","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"","","","",76072,"VAS"
"538","Carex lyngbyei","Hornem.","","Lyngbye's Sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",76076,"VAS"
"539","Carex macrocephala","Willd. ex Spreng","","large-headed sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S4S5","new 2013","observed","","","","",NA,"2013-05-10","Felix Erhard","http://www.inaturalist.org/observations/2583449","",160006,"VAS"
"540","Carex obnupta","L.H. Bailey","","slough sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2015-05-04","Andrew Simon","http://www.inaturalist.org/observations/2567953","",61000,"VAS"
"541","Carex pachystachya","Cham. ex Steud.","","thick-headed sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",76089,"VAS"
"542","Carex pallescens","L.","","pale meadow sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","exotic","SNA","new 2018","observed","","","","",NA,"2018-05-29","Andrew Simon","https://www.inaturalist.org/observations/12944880","",160055,"VAS"
"543","Carex pellita","Muhl. ex Willd.","","woolly sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","new 2017","observed","","","","",NA,"2017-06-16","Andrew Simon","http://inaturalist.ca/observations/6817819","",76091,"VAS"
"544","Carex utriculata","Boott","","beaked sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","reported","unobserved","1979-06-28","Harvey Janszen","RBCM","V098383",1949547645,"","","","",76124,"VAS"
"545","Carex viridula ssp. viridula","Michx.","","Green Sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Cyperaceae","","","Carex","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2018-05-29","Andrew Simon","https://www.inaturalist.org/observations/12944807","",76128,"VAS"
"546","Castilleja attenuata","(A. Gray) T.I. Chuang & Heckard","","narrow-leaved paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Orobanchaceae","","","Castilleja","native","S4","confirmed","observed","1996-05-21","Jennifer L. Penny, Charlotte E. Norris, & Harvey Janszen","RBCM","V186361",1949634759,"2020-04-09","Andrew Simon","https://www.inaturalist.org/observations/41788621","",49341,"VAS"
"547","Castilleja hispida","Benth. ex Hook.","","harsh indian paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Orobanchaceae","","","Castilleja","native","S5","confirmed","observed","1980-05-04","V. J. Krajina","UBC","V243019",NA,"2010-06-14","Shera Street","http://www.inaturalist.org/observations/2635119","",128204,"VAS"
"548","Ceanothus sanguineus","Pursh","","redstem ceanothus","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Rhamnaceae","","","Ceanothus","native","S5","reported","unobserved","1995-05-11","Hans Roemer","RBCM","V186369",1949634644,"","","","""Bodega Ridge; on SW rocky slope” –collection locality details vague; planted?",76197,"VAS"
"549","Centaurea cyanus","L.","","cornflower","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Centaureinae","","Centaurea","exotic","SNA","new 2016","observed","","","","",NA,"2016-06-12","salishsea","http://inaturalist.ca/observations/3445649","",48159,"VAS"
"550","Centaurium erythraea","Rafn","","common centaury","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Gentianales",NA,NA,"Gentianaceae","","","Centaurium","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-06-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2564068","",56236,"VAS"
"551","Centranthus ruber","(L.) DC.","","red valerian","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Dipsacales",NA,NA,"Caprifoliaceae","Valerianoideae","","Centranthus","exotic","SNA","new 2019","observed","","","","",NA,"2019-05-04","Kristian Sigvardsen","https://www.inaturalist.org/observations/24543874","",57283,"VAS"
"552","Cerastium arvense ssp. strictum","L.","(L.) Reiche","matted field chickweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Caryophyllaceae","Alsinoideae","","Cerastium","native","S5","confirmed","observed","1972-05-02","B. Stephens","UBC","V138583",NA,"2013-04-27","Felix Erhard","http://www.inaturalist.org/observations/2588474","",50847,"VAS"
"553","Cerastium fontanum ssp. vulgare","Baumg.","(Hartm.) Greuter & Burdet","mouse-ear chickweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Caryophyllaceae","","","Cerastium","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-06-05","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2563618","Cerastium fontanumssp.triviale reported by HJ (2001)",53307,"VAS"
"554","Cerastium glomeratum","Thuill.","","sticky chickweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Caryophyllaceae","","","Cerastium","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-05-17","Andrew Simon","http://www.inaturalist.org/observations/2621726","",52973,"VAS"
"555","Cerastium pumilum","Curtis","","dwarf mouse-ear","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Caryophyllales",NA,NA,"Caryophyllaceae","Alsinoideae","Alsineae","Cerastium","","","new 2017","observed","","","","",NA,"2017-04-20","Andrew Simon","https://www.inaturalist.org/observations/5885311","",160341,"VAS"
"556","Cerastium tomentosum","L.","","snow-in-summer","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Caryophyllaceae","Alsinoideae","","Cerastium","exotic","SNA","new 2019","observed","","","","",NA,"2019-06-02","Andrew Simon","https://www.inaturalist.org/observations/26288932","",160347,"VAS"
"557","Ceratophyllum echinatum","A. Gray","","spring hornwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ceratophyllales",NA,NA,"Ceratophyllaceae","","","Ceratophyllum","native","S4?","confirmed","observed","1996-05-01","Harvey Janszen, Jenifer Penny & Charlotte Norris","RBCM","V170227",1949618835,"2019-05-04","Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon","https://www.inaturalist.org/observations/24653208","",160354,"VAS"
"558","Chamaenerion angustifolium","(L.) Scop.","","fireweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Myrtales",NA,NA,"Onagraceae","","","Chamaenerion","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-05-31","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2663711","",564969,"VAS"
"559","Chenopodium album","L.","","common lamb's-quarters","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Amaranthaceae","Chenopodioideae","","Chenopodium","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-07-31","Andrew Simon","http://www.inaturalist.org/observations/3786976","",58127,"VAS"
"560","Chimaphila umbellata ssp. umbellata","(L.) W.P.C. Barton","","common pipsissewa","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Ericales",NA,NA,"Ericaceae","Monotropoideae","","Chimaphila","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2011-12-22","T. Abe Lloyd","https://www.inaturalist.org/observations/38191913","",84721,"VAS"
"561","Cichorium intybus","L.","","chicory","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Cichorioideae","","Cichorium","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-07-14","Andrew Simon","http://www.inaturalist.org/observations/3681048","",52913,"VAS"
"562","Cicuta douglasii","(DC.) J.M. Coult. & Rose","","Douglas' water-hemlock","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Apiales",NA,NA,"Apiaceae","","","Cicuta","native","S5","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2016-05-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3296098","",76338,"VAS"
"563","Cinna latifolia","(Trevir.) Griseb.","","nodding wood-reed","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Pooideae","","Cinna","native","S5","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",76340,"VAS"
"564","Circaea alpina","L.","","enchanter’s nightshade","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Myrtales",NA,NA,"Onagraceae","","","Circaea","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-05-04","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2569342","",76342,"VAS"
"565","Circaea alpina ssp. pacifica","L.","(Asch. & Magnus) P.H. Raven","enchanter's-nightshade","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Myrtales",NA,NA,"Onagraceae","","","Circaea","native","S5","confirmed","observed","1980-04-12","Harvey Janszen","ER 128 Inventory","",NA,"2015-05-04","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2561121","",79729,"VAS"
"566","Cirsium arvense","(L.) Scop.","","Canada thistle","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Carduoideae","","Cirsium","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-06-06","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2563918","Cirsium arvense var. horridum also reported; here taken as synonymous",60132,"VAS"
"567","Cirsium brevistylum","Cronquist","","short-styled thistle","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Carduoideae","","Cirsium","native","S5","confirmed","observed","1986-08-16","William J. Crins","UBC","V190908",NA,"2017-05-28","Alexander J. Wright & Andrew Simon","https://www.inaturalist.org/observations/6409663","",52993,"VAS"
"568","Cirsium vulgare","(Savi) Ten.","","bull thistle","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Carduoideae","","Cirsium","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-08-05","Andrew Simon","http://www.inaturalist.org/observations/2599922","",52989,"VAS"
"569","Clarkia amoena var. caurina","(Lehm.) A.Nelson & J.F.Macbr.","(Abrams ex Piper) C.L. Hitchc.","farewell-to-spring","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Myrtales",NA,NA,"Onagraceae","","","Clarkia","native","S3S4","confirmed","observed","2004-07-12","Hans Roemer","RBCM","V192679",1949640990,"2017-05-26","Andrew Simon","https://www.inaturalist.org/observations/6411597","",235283,"VAS"
"570","Clarkia amoena var. lindleyi","(Lehm.) A.Nelson & J.F.Macbr.","(Douglas) C.L. Hitchc.","farewell-to-spring","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Myrtales",NA,NA,"Onagraceae","","","Clarkia","native","S3S4","new 2017","observed","","","","",NA,"2017-05-29","Alexander J. Wright & Andrew Simon","https://www.inaturalist.org/observations/6434828","",235285,"VAS"
"571","Claytonia exigua ssp. exigua","Torr. & A. Gray","","pale springbeauty","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Montiaceae","","","Claytonia","native","S4","new 2016","observed","","","","",NA,"2016-04-12","Marlin Stewart","http://www.inaturalist.org/observations/2954039","",57233,"VAS"
"572","Claytonia exigua ssp. glauca","Torr. & A. Gray","(Torr. & A. Gray) J.M.Mill. & K.L.Chambers","pallid claytonia","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Montiaceae","","","Claytonia","native","S4","new 2017","observed","","","","",NA,"2013-03-22","Ryan Batten","https://www.inaturalist.org/observations/9142506","",57229,"VAS"
"573","Claytonia parviflora","Douglas ex Hook.","","streambank springbeauty","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Montiaceae","","","Claytonia","native","S5","confirmed","observed","","Kent Brothers","VMS Private List","",NA,"2015-02-21","Lauren Magner & Andrew Simon","http://inaturalist.ca/observations/2605634","",58294,"VAS"
"574","Claytonia perfoliata","Donn ex Willd.","","miner's-lettuce","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Montiaceae","","","Claytonia","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2013-04-08","Felix Erhard","http://www.inaturalist.org/observations/2583372","",52994,"VAS"
"575","Claytonia rubra ssp. depressa","(Howell) Tidestr.","(A. Gray) John M. Mill. & K.L. Chambers.","redstem springbeauty","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Montiaceae","","","Claytonia","native","S5","new 2017","observed","","","","",NA,"2017-03-25","Andrew Simon","https://www.inaturalist.org/observations/5472855","",79751,"VAS"
"576","Claytonia rubra ssp. rubra","(Howell) Tidestr.","","redstem springbeauty","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Montiaceae","","","Claytonia","native","S5?","reported","unobserved","1974-04-21","Wilfred B. Schofield","UBC","V156682",NA,"","","","",79752,"VAS"
"577","Claytonia sibirica","L.","","Siberian miner's-lettuce","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Montiaceae","","","Claytonia","native","S5","confirmed","observed","1972-05-02","B. Schwartz","UBC","V139277",NA,"2015-05-04","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2569360","",55767,"VAS"
"578","Clematis vitalba","L.","","traveler's joy","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales",NA,NA,"Ranunculaceae","Ranunculoideae","","Clematis","exotic","SNA","new 2019","observed","","","","",NA,"2019-07-10","Adam Huggins","https://www.inaturalist.org/observations/28650048","",160697,"VAS"
"579","Clinopodium douglasii","(Benth.) Kuntze","","yerba buena","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Lamiaceae","","","Clinopodium","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-03-26","Andrew Simon","http://www.inaturalist.org/observations/2588219","Reported as Satureja douglasii",53203,"VAS"
"580","Collinsia grandiflora","Douglas ex Lindl.","","large-flowered blue-eyed Mary","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Plantaginaceae","","","Collinsia","native","S4","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2011-05-14","Emma Harrower","https://www.inaturalist.org/observations/78656632","",76409,"VAS"
"581","Collinsia parviflora","Douglas ex Lindl.","","small-flowered blue-eyed Mary","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Plantaginaceae","","","Collinsia","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2013-04-05","Felix Erhard","http://www.inaturalist.org/observations/2628114","",59013,"VAS"
"582","Collomia heterophylla","Hook.","","vari-leaved collomia","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Ericales",NA,NA,"Polemoniaceae","","","Collomia","native","S5","confirmed","observed","1976-07-17","Harvey Janszen","RBCM","V107081",1949555895,"2016-05-03","Andrew Simon","http://www.inaturalist.org/observations/3094626","",52996,"VAS"
"583","Comarum palustre","L.","","marsh cinquefoil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Rosaceae","","","Comarum","native","S5","confirmed","observed","1975-07-24","Angela Wood","RBCM","V097752",NA,"2016-05-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3296338","Reported as Potentilla palustris",62213,"VAS"
"584","Conioselinum gmelinii","(Bray) Steud.","","Pacific hemlock-parsley","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Apiales",NA,NA,"Apiaceae","","","Conioselinum","native","S5","new 2016","observed","","","","",NA,"2016-07-10","Andrew Simon","http://www.inaturalist.org/observations/3652970","",160830,"VAS"
"585","Conium maculatum","L.","","poison-hemlock","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Apiales",NA,NA,"Apiaceae","Apioideae","","Conium","exotic","SNA","new 2019","observed","","","","",NA,"2019-06-15","Ed Andrusiak","https://www.inaturalist.org/observations/27254709","",52998,"VAS"
"586","Consolida ajacis","(L.) Schur","","rocket larkspur","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales",NA,NA,"Ranunculaceae","","","Consolida","exotic","SNA","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","Reported as Consolida ambigua",76430,"VAS"
"587","Convolvulus arvensis","L.","","field bindweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Solanales",NA,NA,"Convolvulaceae","","","Convolvulus","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-08-06","Sarah Tweedale","http://inaturalist.ca/observations/3816774","",53021,"VAS"
"588","Conyza canadensis","(L.) Cronquist","","horseweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Asteroideae","","Conyza","native","S5","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","reported as Conyza canadensis var. glabrata",428399,"VAS"
"589","Corallorhiza maculata var. occidentalis","(Raf.) Raf.","(Lindl.) Ames","western spotted coralroot","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Orchidaceae","Epidendroideae","","Corallorhiza","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2013-05-17","Felix Erhard","http://www.inaturalist.org/observations/2604239","",80615,"VAS"
"590","Corallorhiza maculata var. ozettensis","(Raf.) Raf.","Tischer","Ozette coralroot","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Orchidaceae","Epidendroideae","","Corallorhiza","native","S3","new 2015","observed","","","","",NA,"2015-06-05","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2563709","",452199,"VAS"
"591","Corallorhiza striata var. striata","Lindl.","","striped coralroot","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Orchidaceae","Epidendroideae","","Corallorhiza","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2018-05-24","Andrew Simon & Quirin Hohendorf","https://www.inaturalist.org/observations/12817512","",50708,"VAS"
"592","Cornus nuttallii","Audubon ex Torr. & A. Gray","","western flowering dogwood","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Cornales",NA,NA,"Cornaceae","","","Cornus","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-05-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3295934","",76447,"VAS"
"593","Cornus sericea ssp. occidentalis","L.","(Torr. & A.Gray) Fosberg","red-osier dogwood","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Cornales",NA,NA,"Cornaceae","","","Cornus","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2018-07-22","Andrew Simon","https://www.inaturalist.org/observations/14633044","Cornus stoloniferareported (synonym)",53366,"VAS"
"594","Corylus cornuta ssp. californica","Marshall","(A. DC.) A.E. Murray","beaked hazelnut","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Fagales",NA,NA,"Betulaceae","","","Corylus","native","S5","new 2016","observed","","","","",NA,"2016-07-13","Andrew Simon","http://www.inaturalist.org/observations/3682332","",53374,"VAS"
"595","Cotoneaster horizontalis","Decne.","","rock cotoneaster","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Rosaceae","","","Cotoneaster","exotic","SNA","new 2018","observed","","","","",NA,"2018-06-04","Kevin Toomer","https://www.inaturalist.org/observations/13130562","",53771,"VAS"
"596","Cotoneaster simonsii","Baker","","Himalayan cotoneaster","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Rosaceae","","","Cotoneaster","exotic","SNA","reported","unobserved","1979-07-09","Harvey Janszen","RBCM","V097881",1949546798,"","","","HJ (2001) report of Cotoneaster dielsianusmisapplied to this material (AJ Wright notes these species are difficult to discriminate)",76461,"VAS"
"597","Crassula connata","(Ruiz & Pav.) A. Berger","","Erect Pigmyweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Crassulaceae","","","Crassula","native","S2S3","reported","unobserved","1983-03-27","Harvey Janszen","RBCM","V129552",NA,"","","","",57016,"VAS"
"598","Crataegus douglasii","Lindl.","","black hawthorn","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Rosaceae","","","Crataegus","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-06-28","Andrew Simon","http://www.inaturalist.org/observations/3542848","",76469,"VAS"
