"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Genus","Tribe","Origin","Status","Reporting.Status","iNat.Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"1067","Leiomyza curvinervis","(Zetterstedt, 1838)","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Eremoneura","Opomyzoidea","Asteiidae","","","","","","reported","unobserved","1990-9-23","Geoffrey G.E. Scudder","ENT018-009644","",NA,"","","","",NA,"ART"
"1068","Thalassosmittia marina","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Chironomoidea","Chironomidae","","Thalassosmittia","","","","new 2017","unobserved","2017-05-27","Joel Gibson & Henry Choong","RBCM","ENT017-002264",NA,"","","","",826343,"ART"
"1069","Prosimulium sp.","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Chironomoidea","Simuliidae","","Prosimulium","","","","reported","unobserved","1981-04-19","Richard Cannings","RBCM","ENT991-022321",NA,"","","","",211990,"ART"
"1070","Simulium sp.","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Chironomoidea","Simuliidae","","Simulium","","","","new 2017","unobserved","2017-05-27","Joel Gibson","RBCM","ENT017-002337",NA,"","","","",63165,"ART"
"1071","Aedes aloponotum","Dyar","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Aedes","Aedini","","","reported","unobserved","1981-06-20","Geoffrey G.E. Scudder","SEM","SEM-UBC CUL-0247",NA,"","","","",458895,"ART"
"1072","Aedes fitchii","(Felt & Young)","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Aedes","Aedini","","","reported","unobserved","1981-06-21","Geoffrey G.E. Scudder","SEM","",NA,"","","","",212525,"ART"
"1073","Aedes sierrensis","(Ludlow)","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Aedes","Aedini","","","reported","unobserved","1981-06-21","Geoffrey G.E. Scudder","SEM","SEM-UBC CUL-0493",NA,"","","","",335732,"ART"
"1074","Aedes togoi","Theobald","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Ochlerotatus","Aedini","","","reported","unobserved","1981-06-21","Geoffrey G.E. Scudder","SEM","SEM-UBC CUL-0519",NA,"","","","",774500,"ART"
"1075","Coquillettidia perturbans","","","cattail mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Coquillettidia","Mansoniini","","","new 2019","observed","","","","",NA,"2019-07-15","Dave “Zeuss” Cochrane","https://www.inaturalist.org/observations/28913718","",259061,"ART"
"1076","Culex tarsalis","Coquillett","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Culex","Culicini","","","reported","unobserved","1971-06-15","Geoffrey G.E. Scudder","SEM","SEM-UBC CUL-0125",NA,"","","","",259078,"ART"
"1077","Culiseta incidens","(Thomson)","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Culiseta","","","","reported","unobserved","1983-05-01","Geoffrey G.E. Scudder","SEM","SEM-UBC CUL-0216",NA,"","","","",259109,"ART"
"1078","Ochlerotatus aloponotum","Dyar","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Ochlerotatus","Aedini","","","reported","unobserved","1981-06-21","Geoffrey G.E. Scudder","SEM","SEM-UBC CUL-0247",NA,"","","","",498496,"ART"
"1079","Ochlerotatus campestris","Dyar & Knab","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","Culicinae","Ochlerotatus","Aedini","","","reported","unobserved","1981-06-21","Geoffrey G.E. Scudder","SEM","SEM-UBC CUL-0336",NA,"","","","",294238,"ART"
"1080","Ochlerotatus dorsalis","(Meigen)","","mosquito","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Culicoidea","Culicidae","","Ochlerotatus","","","","reported","unobserved","1990-09-02","Geoffrey G.E. Scudder","SEM","SEM-UBC CUL-0390",NA,"","","","",NA,"ART"
"1081","Rabdophaga rigidae","","","willow beaked-gall midge","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Sciaroidea","Cecidomyiidae","Cecidomyiinae","Rabdophaga","Dasineurini","","","new 2017","observed","","","","",NA,"2017-03-18","Andrew Simon","https://www.inaturalist.org/observations/5392859","",83455,"ART"
"1082","Orfelia sp.","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Sciaroidea","Keroplatidae","Keroplatinae","Orfelia","Orfeliini","","","new 2017","unobserved","2017-05-27","Joel Gibson & Henry Choong","RBCM","ENT017-002280",NA,"","","","",155140,"ART"
"1083","Rymosia sp.","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Sciaroidea","Mycetophilidae","Mycetophilinae","Rymosia","Exechiini","","","new 2017","unobserved","2017-05-27","Joel Gibson","RBCM","ENT017-002369",NA,"","","","",211702,"ART"
"1084","Limonia marmorata","Osten Sacken, 1861","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Tipuloidea","Limoniidae","","Limonia","","","","new 2017","unobserved","2017-05-27","Joel Gibson","RBCM","ENT017-002327",NA,"","","","",NA,"ART"
"1085","Pedicia sp.","","","pedeciid crane fly","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Tipuloidea","Pediciidae","Pediciinae","Pedicia","","","","reported","unobserved","1980-04-04","Geoffrey G.E. Scudder","SEM","SEM-UBC TIP-0078",NA,"","","","",70403,"ART"
"1086","Phoroctenia vittata","(Meigen)","","crane fly","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Tipuloidea","Tipulidae","Ctenophorinae","Phoroctenia","","","","confirmed","observed","1986-05-30","Geoffrey G.E. Scudder","SEM","SEM-UBC TIP-0057",NA,"2017-05-13","Scott Gilmore","https://www.inaturalist.org/observations/6223534","reported as Ctenophora vittata",491863,"ART"
"1087","Tipula californica","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Tipuloidea","Tipulidae","Tipulinae","Tipula","","","","new 2019","observed","","","","",NA,"2019-05-03","Scott Gilmore","https://www.inaturalist.org/observations/24491135","",129352,"ART"
"1088","Tipula oleracea","","","marsh crane fly","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","Tipuloidea","Tipulidae","Tipulinae","Tipula","","","","new 2019","observed","","","","",NA,"2019-05-04","Jason Headley","https://www.inaturalist.org/observations/24700671","",418147,"ART"
"1089","Bibio albipennis","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","","Bibionidae","","Bibio","","","","new 2017","observed","","","","",NA,"2017-05-14","Scott Gilmore","https://www.inaturalist.org/observations/6223675","",126803,"ART"
"1090","Bibio xanthopus","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","Nematocera","","Bibionidae","","Bibio","","","","reported","unobserved","1981-04-18","Richard Cannings","RBCM","ENT991-019142",NA,"","","","",82522,"ART"
"1091","Spilogona magnipunctata","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","","Muscoidea","Muscidae","","","","","","new 2017","unobserved","2017-05-27","Joel Gibson & Henry Choong","RBCM","ENT017-002286",NA,"","","","",NA,"ART"
"1092","Pollenia sp.","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","","Oestroidea","Calliphoridae","Polleniinae","","","","","new 2016","observed","","","","",NA,"2016-03-06","Andrew Simon","http://www.inaturalist.org/observations/2780418","",133825,"ART"
"1093","Xylophagus decorus","Williston","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Diptera","","Xylophagoidea","Xylophagidae","","","","","","reported","unobserved","1980-05-11","Geoffrey G.E. Scudder","SEM","",NA,"","","","",NA,"ART"
"1094","Callibaetis ferrugineus hageni","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Ephemeroptera","","","Baetidae","","Callibaetis","","","","new 2019","observed","","","","",NA,"2019-05-12","Kath Boake Wüthrich","https://www.inaturalist.org/observations/25545418","",234684,"ART"
"1095","Amblysellus grex","(Oman)","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Amblysellus","","native","","reported","unobserved","1986-10-13","Geoffrey G.E. Scudder","CNC","CNC 947616",NA,"","","","",NA,"ART"
"1096","Aphrodes costatus","(Panzer)","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Aphrodes","","exotic","","new 2019","unobserved","2019-08-21","Chris G. Ratzlaff","CGR","",NA,"","","","",NA,"ART"
"1097","Ceratagallia californica","(Baker)","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Ceratagallia","","native","","reported","unobserved","1989-08-19","Geoffrey G.E. Scudder","CNC","CNC 984914",NA,"","","","",NA,"ART"
"1098","Colladonus reductus","(Van Duzee)","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Colladonus","","native","","reported","unobserved","1990-09-30","Geoffrey G.E. Scudder","SEM","SEM-UBC CICA-0093",NA,"","","","",NA,"ART"
"1099","Deltocephalus fuscinervosus","Van Duzee","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Deltocephalus","","native","","reported","unobserved","1986-10-13","Geoffrey G.E. Scudder","SEM","SEM-UBC CICA-0112",NA,"","","","",NA,"ART"
"1100","Deltocephalus vanduzei","Gillette & Baker","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Deltocephalus","","native","","reported","unobserved","1986-10-13","Geoffrey G.E. Scudder","CNC","CNC 754585",NA,"","","","",NA,"ART"
"1101","Deltocephalus vanfus","Kramer","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Deltocephalus","","native","","reported","unobserved","1990-09-01","Geoffrey G.E. Scudder","SEM","SEM-UBC CICA-0117",NA,"","","","",NA,"ART"
"1102","Dikraneura absenta","DeLong & Cvaldwell","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Dikraneura","","native","","reported","unobserved","1989-06-25","Geoffrey G.E. Scudder","CNC","CNC#HEM 406255",NA,"","","","",NA,"ART"
"1103","Dikraneura rufula","Gillette","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Dikraneura","","native","","reported","unobserved","1990-09-01","Geoffrey G.E. Scudder","SEM","SEM-UBC CICA-0121",NA,"","","","",NA,"ART"
"1104","Draeculacephala robinsoni","Hamilton","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Draeculacephala","","native","","new 2019","unobserved","2019-08-20","Chris G. Ratzlaff","CGR","",NA,"","","","",NA,"ART"
"1105","Idiocerus iodes","Hamilton","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Cicadoidea","Cicadellidae","","Idiocerus","","native","","reported","unobserved","1983-05-01","Geoffrey G.E. Scudder","CNC","CNC#HEM 405740",NA,"","","","",NA,"ART"
"1106","Javesella lutulentella","(Muir & Gifford)","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhycna","Fulgoroidea","Delphacidae","","Javesella","","native","","reported","unobserved","1989-06-24","Geoffrey G.E. Scudder","SEM","SEM-UBC DEL-0041",NA,"","","","",NA,"ART"
"1107","Neophilaenus lineatus","","","lined spittle bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Cercopoidea","Aphrophoridae","Aphrophorinae","Neophilaenus","Philaenini","exotic","","new 2016","observed","2019-08-21","Chris G. Ratzlaff","CGR","",NA,"2016-06-23","Andrew Simon","http://www.inaturalist.org/observations/3516407","on thistle~3 mm length",203336,"ART"
"1108","Philaenus spumarius","","","meadow spittlebug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Cercopoidea","Aphrophoridae","Aphrophorinae","Philaenus","Philaenini","exotic","","new 2016","observed","2019-08-20","Chris G. Ratzlaff","CGR","",NA,"2016-06-01","Andrew Simon","http://www.inaturalist.org/observations/3364924","See image with (large) phonebook for scale of this tiny spittle bug. We were mounting pressings when it appeared on the table and I am guessing its original habitat was herbaceous.",56189,"ART"
"1109","Okanagana rimosa","(Say)","","cicada","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Cicadoidea","Cicadidae","Tibicininae","Okanagana","Tibicinini","native","","reported","unobserved","1984-07-01","J. Scudder","SEM","SEM-UBC CIC-0004",NA,"","","","",176579,"ART"
"1110","Synecdoche nemoralis","(Van Duzee)","","planthopper","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Fulgoroidea","Achilidae","Achilinae","Synecdoche","Plectoderini","native","","confirmed","observed","1973-07-09","Geoffrey G.E. Scudder","SEM","SEM-UBC HOM-0050",NA,"2017-05-13","Scott Gilmore","https://www.inaturalist.org/observations/6223432","",498498,"ART"
"1111","Delphacodes consimilis","(Van Duzee, 1897)","","delphacid planthopper","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae","","Delphacodes","","native","","reported","unobserved","1973-07-19","Geoffrey G.E. Scudder","SEM","SEM-UBC DEL-0027",NA,"","","","",NA,"ART"
"1112","Delphacodes lutulentella","Muir & Gifford","","delphacid planthopper","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae","Delphacinae","Delphacodes","Delphacini","native","","reported","unobserved","1989-06-24","Geoffrey G.E. Scudder","SEM","SEM-UBC DEL-0041",NA,"","","","",498435,"ART"
"1113","Liburniella ornata","","","ornate planthopper","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae","Delphacinae","Liburniella","Delphacini","exotic","","new 2019","observed","2019-08-21","Chris G. Ratzlaff","CGR","",NA,"2019-08-21","Chris Ratzlaff","https://www.inaturalist.org/observations/44952769","",326721,"ART"
"1114","Nothodelphax consimilis","(Van Duzee)","","delphacid planthopper","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae","Delphacinae","Nothodelphax","Delphacini","native","","reported","unobserved","1973-07-19","Geoffrey G.E. Scudder","SEM","SEM-UBC DEL-0027",NA,"","","","",500961,"ART"
"1115","Nothodelphax occlusa","(Van Duzee)","","delphacid planthopper","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae","Delphacinae","Nothodelphax","Delphacini","native","","reported","unobserved","1982-05-09","Geoffrey G.E. Scudder","SEM","SEM-UBC DEL-0103",NA,"","","","",498415,"ART"
"1116","Stenocranus felti","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae","Stenocraninae","Stenocranus","","native","","new 2019","observed","2019-08-22","Chris G. Ratzlaff","CGR","",NA,"2019-08-22","Chris Ratzlaff","https://www.inaturalist.org/observations/44952768","",451288,"ART"
"1117","Omolicna sp.","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Fulgoroidea","Derbidae","Derbinae","Omolicna","Cenchreini","native","","reported","unobserved","1981-04-18","Richard Cannings","RBCM","ENT991-148232",NA,"","","","",340042,"ART"
"1118","Anoscopus albiger","(Germar)","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","","Anoscopus","","exotic","","reported","unobserved","1981-08-01","Geoffrey G.E. Scudder","SEM","SEM-UBC CICA-0024",NA,"","","","",213731,"ART"
"1119","Balclutha sp.","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","","Balclutha","","","","new 2018","observed","","","","",NA,"2018-05-19","Scott Gilmore","https://www.inaturalist.org/observations/12872555","",174596,"ART"
"1120","Colladonus arctostaphyli","Downes","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","","Colladonus","","native","","reported","unobserved","1980-09-01","Geoffrey G.E. Scudder","SEM","???",NA,"","","","",787517,"ART"
"1121","Empoasca sp.","","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","","Empoasca","","","","new 2017","observed","","","","",NA,"2017-05-13","Scott Gilmore","https://www.inaturalist.org/observations/6223422","",518476,"ART"
"1122","Platycotis vittata","(Fabricius)","","oak tree hopper","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Auchenorrhyncha","Membracoidea","Membracidae","Membracinae","Platycotis","Hoplophorionini","native","","confirmed","observed","1982-08-25","Geoffrey G.E. Scudder","SEM","SEM-UBC HOM-0030",NA,"2017-05-13","Scott Gilmore","https://www.inaturalist.org/observations/6203555","syn. Platycotis quadrivittata",48679,"ART"
"1123","Aradus fuscomaculatus","Stål","","flat bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Aradoidea","Aradidae","Aradinae","Aradus","","native","","reported","unobserved","1971-05-28","Geoffrey G.E. Scudder","SEM","SEM-UBC HET-6178",NA,"","","","",498352,"ART"
"1124","Aradus heidemanni","Bergroth","","flat bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Aradoidea","Aradidae","Aradinae","Aradus","","native","","reported","unobserved","2019-06-21","Geoffrey G.E. Scudder","Checklist of Heteroptera collected on Galiano Island BC","",NA,"","","","",NA,"ART"
"1125","Anthocoris antevolens","White","","minute pirate bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Cimicoidea","Anthocoridae","Anthocorinae","Anthocoris","Anthocorini","native","","reported","unobserved","1982-08-18","Geoffrey G.E. Scudder","SEM","SEM-UBC ANTH-0080",NA,"","","","",498349,"ART"
"1126","Orius tristicolor","(White)","","minute pirate bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Cimicoidea","Anthocoridae","Anthocorinae","Orius","Oriini","native","","reported","unobserved","1983-08-23","Geoffrey G.E. Scudder","SEM","SEM-UBC ANTH-0658",NA,"","","","",330094,"ART"
"1127","Orius vicinus","Ribaut","","minute pirate bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Cimicoidea","Anthocoridae","Anthocorinae","Orius","Oriini","exotic","","reported","unobserved","1984-07-19","Geoffrey G.E. Scudder","SEM","SEM-UBC ANTH-0506",NA,"","","","",464426,"ART"
"1128","Xylocoris californicus","(Reuter)","","minute pirate bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Cimicoidea","Anthocoridae","Anthocorinae","Xylocoris","Xylocorini","native","","reported","unobserved","1985-04-07","Geoffrey G.E. Scudder","SEM","SEM-UBC ANTH-0968",NA,"","","","",498391,"ART"
"1129","Nabis alternatus","Parshley","","damsel bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Cimicoidea","Nabidae","Nabinae","Nabis","Nabini","native","","reported","unobserved","2019-06-21","Geoffrey G.E. Scudder","Checklist of Heteroptera collected on Galiano Island BC","",NA,"","","","",497193,"ART"
"1130","Nabis roseipennis","Reuter","","damsel bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Cimicoidea","Nabidae","Nabinae","Nabis","Nabini","native","","reported","unobserved","2019-06-21","Geoffrey G.E. Scudder","Checklist of Heteroptera collected on Galiano Island BC","",NA,"","","","",366571,"ART"
"1131","Nabis rufusculus","Reuter","","damsel bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Cimicoidea","Nabidae","Nabinae","Nabis","Nabini","native","","reported","unobserved","2019-06-21","Geoffrey G.E. Scudder","Checklist of Heteroptera collected on Galiano Island BC","",NA,"","","","",453980,"ART"
"1132","Omanonabis lovettii","","","damsel bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Cimicoidea","Nabidae","Nabinae","Omanonabis","Nabini","native","","reported","unobserved","1985","Geoffrey G.E. Scudder","SEM","??",NA,"","","","G. Scudder reports Nabis lovetti Harris on his checklist",498412,"ART"
"1133","Alydus calcaratus","(Linnaeus)","","true bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Coreoidea","Alydidae","Alydinae","Alydus","","native","","confirmed","observed","1970-08-30","Geoffrey G.E. Scudder","SEM","SEM-UBC HET-4199",NA,"2018-08-20","Andrew Simon","https://www.inaturalist.org/observations/21687360","caught in blue vane trap",453774,"ART"
"1134","Alydus eurinus","(Say)","","true bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Coreoidea","Alydidae","Alydinae","Alydus","","native","","reported","unobserved","2019-06-21","Geoffrey G.E. Scudder","Checklist of Heteroptera collected on Galiano Island BC","",NA,"","","","",129146,"ART"
"1135","Megalotomus quinquespinosus","(Say)","","lupine bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Coreoidea","Alydidae","Alydinae","Megalotomus","","native","","reported","unobserved","1983-08-10","J. Scudder","SEM","SEM-UBC HET-4554",NA,"","","","",327623,"ART"
"1136","Tollius curtulus","Stål","","broad-headed bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Coreoidea","Alydidae","Alydinae","Tollius","","native","","reported","unobserved","1970-08-30","Geoffrey G.E. Scudder","SEM","SEM-UBC HET-4612",NA,"","","","",467973,"ART"
"1137","Ceraleptus pacificus","Barber","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Coreoidea","Coreidae","Pseudophloeinae","Ceraleptus","Pseudophloeini","native","","reported","unobserved","2019-06-21","Geoffrey G.E. Scudder","Checklist of Heteroptera collected on Galiano Island BC","",NA,"","","","",533261,"ART"
"1138","Coriomeris insularis","Dolling & Yonke","","","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Coreoidea","Coreidae","Pseudophloeinae","Coriomeris","Pseudophloeini","native","","reported","unobserved","1970-08-30","Geoffrey G.E. Scudder","RBCM","ENT991-133485",NA,"","","","",217596,"ART"
"1139","Leptoglossus occidentalis","Heidemann","","western conifer seed bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Coreoidea","Coreidae","Coreinae","Leptoglossus","Anisoscelini","native","","confirmed","observed","1975-10-25","J. Scudder","SEM","SEM-UBC HET-3658",NA,"2015-07-02","Andrew Simon","http://www.inaturalist.org/observations/1728336","I found this insect moving about on the seeds of dock (Rumex sp)",67771,"ART"
"1140","Stictopleurus punctiventris","(Dallas)","","scentless plant bug","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Coreoidea","Rhopalidae","Rhopalinae","Stictopleurus","Rhopalini","native","","reported","unobserved","2019-06-21","Geoffrey G.E. Scudder","Checklist of Heteroptera collected on Galiano Island BC","",NA,"","","","",454127,"ART"
"1141","Callicorixa vulnerata","(Uhler)","","water boatman","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Corixoidea","Corixidae","Corixinae","Callicorixa","Corixini","native","","reported","unobserved","1972-03-18","Geoffrey G.E. Scudder","SEM","SEM-UBC COR-0892",NA,"","","","",498430,"ART"
"1142","Corisella inscripta","(Uhler)","","water boatman","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Corixoidea","Corixidae","Corixinae","Corisella","Corixini","native","","reported","unobserved","1982-04-09","Geoffrey G.E. Scudder","SEM","SEM-UBC COR-2076",NA,"","","","",498432,"ART"
"1143","Hesperocorixa atopodonta","(Hungerford)","","water boatman","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Corixoidea","Corixidae","Corixinae","Hesperocorixa","Corixini","native","","reported","unobserved","1984-03-05","Geoffrey G.E. Scudder","SEM","SEM-UBC COR-2293",NA,"","","","",221231,"ART"
"1144","Hesperocorixa laevigata","(Uhler)","","water boatman","Animalia","Arthropoda","Hexapoda",NA,"Insecta","Pterygota",NA,"Hemiptera","Heteroptera","Corixoidea","Corixidae","Corixinae","Hesperocorixa","Corixini","native","","reported","unobserved","1982-04-09","Geoffrey G.E. Scudder","SEM","SEM-UBC COR-2546",NA,"","","","",221236,"ART"
