lichen.genera,life.habit,reference.taxa,in.cephalodia,photobiont.domain,photobiont.kingdom,photobiont.phylum,photobiont.class,photobiont.order,photobionts,reference,note
Micarea,lichenized,Micarea nitschkeana,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Yahr et al. (2015),
Micarea,lichenized,Micarea peliocarpa,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Yahr et al. (2015),
Micarea,lichenized,Micarea peliocarpa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris reniformis,"Voytsekhovich et al. (2011). id: LM, culture.",
Micarea,lichenized,Micarea prasina,,Eukaryota,Plantae,Charophyta,Klebsormidiophyceae,Klebsormidiales,Interfilum sp.,"Voytsekhovich et al. (2011). Reported as secondary (less abundant) photobiont within algal layer. id: LM, culture.",
Micarea,lichenized,Micarea prasina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris bilobata,"Voytsekhovich et al. (2011). id: LM, culture.",
Micarea,lichenized,Micarea prasina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris bilobata,Yahr et al. (2015),
Micarea,lichenized,Micarea prasina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris perforata,Darienko et al. (2016),
Micarea,lichenized,Micarea prasina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris subsphaerica,"Voytsekhovich et al. (2011). id: LM, culture.",
Micarea,lichenized,Micarea prasina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Pseudococcomyxa sp.,"Voytsekhovich et al. (2011). id: LM, culture.",
Micarea,lichenized,Micarea prasina (Pilocarpaceae),,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Yahr et al. (2015),
Micarea,lichenized,Micarea subnigrata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris subsphaerica,"Voytsekhovich et al. (2011). id: LM, culture.",
Microcalicium,lichenized,,,,,,,,,,
Microlychnus,lichenized,,,,,,,,,,
Miriquidica,lichenized,Miriquidica atrofulva,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Miriquidica,lichenized,Miriquidica atrofulva,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia suecica,Beck (2002),
Miriquidica,lichenized,Miriquidica garovaglii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Mniaecia,non-lichenized,,,,,,,,,,
Montanelia,lichenized,Montanelia spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola/Trebouxia gigantea group (Clade A),Leavitt et al. (2015),
Montanelia,lichenized,Montanelia spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa/Trebouxia gelatinosa group (Clade I),Leavitt et al. (2015),
Montanelia,lichenized,Montanelia spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/Trebouxia letharii/Trebouxia jamesii group (Clade S),Leavitt et al. (2015),
Moriola,doubtfully lichenized,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Muellerella,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Multiclavula,lichenized,Multiclavula mucida,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris subsphaerica,Masumoto (2020),
Multiclavula,lichenized,Multiclavula petricola,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris parasphaerica ad int.,Reported by H. Masumoto & Sticta Handa in Masumoto (2020).,
Multiclavula,lichenized,Multiclavula vernalis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris parasphaerica ad int.,Reported by H. Masumoto & Sticta Handa in Masumoto (2020).,
Mycobilimbia,lichenized,,,,,,,,,,
Mycoblastus,lichenized,,,,,,,,,,
Mycocalicium,non-lichenized,,,,,,,,,,
Mycoglaena,lichenized,Mycoporum sparsellum,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Mycoporum,non-lichenized,,,,,,,,,,
Myochroidea,lichenized,,,,,,,,,,
Myriolecis,lichenized,,,,,,,,,,
Myxobilimbia,lichenized,,,,,,,,,,
Naetrocymbe,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nanostictis,lichenized,,,,,,,,,,
Nectriopsis,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Neofuscelia,lichenized,Neofuscelia stygiodes,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia incrustata,Beck (2002),
Nephroma,lichenized,Nephroma arcticum,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Lohtander et al. (2003),
Nephroma,lichenized,Nephroma bellum,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Nephroma,lichenized,Nephroma expallidum,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Lohtander et al. (2003),
Nephroma,lichenized,Nephroma helveticum,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Nephroma,lichenized,Nephroma resupinatum,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Paulsrud et al. (2000, 2001). High genetic specificity, also for cephalodia formation, overrules geography.",
Nephroma,lichenized,Nephroma spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Lohtander et al. (2003),
Nephromopsis,lichenized,,,,,,,,,,
Nesolechia,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Niebla,lichenized,,,,,,,,,,
Nodobryoria,lichenized,,,,,,,,,,
Normandina,lichenized,Normandina acroglypta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Normandina,lichenized,Normandina pulchella,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Nannochloris normandinae,Tschermak-Woess (1988a). Pröschold & Darienko (2020) synonymize N. normandinae with Diplosphaera chodatii.,
Normandina,lichenized,Normandina pulchella,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Ochrolechia,lichenized,Ochrolechia frigida,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris sp.,"Engelen et al. (2010, 2016). Maritime Antarctica.",
Ochrolechia,lichenized,Ochrolechia parellula,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris reniformis,"Watanabe et al. (1997); Darienko et al. (2016). Maritime. id: LM, culture.",
Ochrolechia,lichenized,Ochrolechia parellula,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia gelatinosa,Watanabe et al. (1997). Maritime lichens. id: LM,
Ochrolechia,lichenized,Ochrolechia sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola,Voytsekhovich & Beck (2016),
Opegrapha,lichenized,Opegrapha atra,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Ophioparma,lichenized,,,,,,,,,,
Orphniospora,lichenized,,,,,,,,,,
Oxneria,lichenized,,,,,,,,,,
Oxneriaria,lichenized,,,,,,,,,,
Pachnolepia,lichenized,,,,,,,,,,
Pachyphiale,lichenized,,,,,,,,,,
Palicella,lichenized,,,,,,,,,,
Pannaria,lichenized,Pannaria andina,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria araneosa,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria athroophila,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria conoplea,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Pannaria,lichenized,Pannaria conoplea,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria durietzii,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria elixii,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria euphylla,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria farinosa,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria fulvescens,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria isabellina,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria lobulifera,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria mosenii,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria obscura,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria pallida,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria patagonica,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria rubiginella,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria rubiginosa,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria sphinctrina,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Pannaria,lichenized,Pannaria spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Magain & Sérusiaux (2014). Homoiomerous (gelatinous) vs stratified anatomy correlated with Nostoc strain, not fungal family, across Pannariaceae and Collemataceae.",
Pannaria,lichenized,Pannaria tavaresii,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Elvebakk et al. (2008),
Parmelia,lichenized,Parmelia congensis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia higginsiae,Watanabe et al. (1997). Maritime lichens. id: LM,
Parmelia,lichenized,Parmelia mexicana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Watanabe et al. (1997). Maritime lichens. id: LM,
Parmelia,lichenized,Parmelia omphalodes,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp. B,Cao et al. (2015),
Parmelia,lichenized,Parmelia spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa/Trebouxia gelatinosa group (Clade I),Leavitt et al. (2015),
Parmelia,lichenized,Parmelia subramigera,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia gigantea,Watanabe et al. (1997). Maritime lichens. id: LM,
Parmeliella,lichenized,Parmeliella parvula,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rhizonema sp.,Cornejo & Scheidegger (2016); Cornejo et al. (2016). Boreal env. (Newfoundland). Also symbiotic among liverwort Frullania asagrayana.,
Parmeliella,lichenized,Parmeliella spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Magain & Sérusiaux (2014). Homoiomerous (gelatinous) vs stratified anatomy correlated with Nostoc strain, not fungal family, across Pannariaceae and Collemataceae.",
Parmeliopsis,lichenized,,,,,,,,,,
Parmotrema,lichenized,Parmotrema pseudotinctorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia crespoana,Škaloud et al. (2018),
Parmotrema,lichenized,Parmotrema spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola/Trebouxia gigantea group (Clade A),Leavitt et al. (2015),
Parmotrema,lichenized,Parmotrema spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia galapagensis/Trebouxia usneae group (Clade G ),Leavitt et al. (2015),
Parmotrema,lichenized,Parmotrema tinctorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia corticola,"Ohmura et al. (2006, 2019)",
Parvoplaca,lichenized,,,,,,,,,,
Peccania,lichenized,Peccania cerebriformis,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcidiopsidales,Chroococcidiopsis sp.,"Büdel & Henssen (1983); Büdel (1985). id: LM, culture.",
Peccania,lichenized,Peccania spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcidiopsidales ,Gloeocapsa sp.,Numerous LM reports summarized by Tschermak-Woess (1988a). Friedl & Büdel (2008); Brodo et al. (2001). id: LM,
Peltigera,lichenized,Peltigera aphthosa,cephalodia,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Paulsrud et al. (2000, 2001). High genetic specificity, also for cephalodia formation, overrules geography.",
Peltigera,lichenized,Peltigera aphthosa,cephalodia,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera aphthosa,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Lohtander et al. (2003),
Peltigera,lichenized,Peltigera britannica,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Paulsrud et al. (2000, 2001). High genetic specificity, also for cephalodia formation, overrules geography.",
Peltigera,lichenized,Peltigera britannica,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Lohtander et al. (2003),
Peltigera,lichenized,Peltigera canina,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Paulsrud et al. (2000, 2001). High genetic specificity, also for cephalodia formation, overrules geography.",
Peltigera,lichenized,Peltigera canina,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera degenii,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera didactyla,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera horizontalis,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera islandica,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Joneson & O’Brien (2017),
Peltigera,lichenized,Peltigera lepidophora,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera leucophlebia,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Lohtander et al. (2003),
Peltigera,lichenized,Peltigera membranacea,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Paulsrud et al. (2000, 2001). High genetic specificity, also for cephalodia formation, overrules geography.",
Peltigera,lichenized,Peltigera membranacea,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera neopolydactyla,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera ponojensis,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Joneson & O’Brien (2017),
Peltigera,lichenized,Peltigera rufescens,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Peltigera,lichenized,Peltigera variolosa,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,"Coccomyxa solorinae var. croceae, Coccomyxa solorinae var. saccatae and Coccomyxa peltigerae",Malavasi et al. (2016),
Peltigera,lichenized,Peltigera variolosa,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,"Darienko et al. (2015). Photobionts not monophyletic, related to free-living C. subellipsoidea.",
Peltigera,lichenized,Peltigera venosa,cephalodia,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Paulsrud et al. (2000, 2001). High genetic specificity, also for cephalodia formation, overrules geography.",
Peltigera,lichenized,Section Peltigera,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Magain et al. (2018),
Peltigera,lichenized,Section Retifoviatae,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Magain et al. (2018),
Peltula,lichenized,Peltula bolanderi,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcidiopsidales,Chroococcidiopsis sp.,Võ (2016),
Peltula,lichenized,Peltula euploca,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales ,Myxosarcina sp.,Friedl & Büdel (2008),
Peltula,lichenized,Peltula euploca,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcidiopsidales,Chroococcidiopsis sp.,Fewer et al. (2002),
Peltula,lichenized,Peltula spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcidiopsidales,Chroococcidiopsis sp.,Büdel (1999). Unpublished 16S rDNA data of B. Büdel & T. Friedl. cited.,
Pertusaria,lichenized,Pertusaria spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia potteri,"Takeshita et al. (1989). id: LM, culture.",
Phacopsis,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Phaeocalicium,lichenized,,,,,,,,,,
Phaeophyscia,lichenized,Phaeophyscia orbicularis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Beck et al. (1998); Helms et al. (2001).,
Phaeophyscia,lichenized,Phaeophyscia orbicularis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Dahlkild et al. (2001),
Phaeophyscia,lichenized,Phaeophyscia orbicularis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Doering & Piercey-Normore (2009),
Phaeopyxis,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Phaeorrhiza,lichenized,,,,,,,,,,
Phaeosporobolus,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Phlyctis,lichenized,Phlyctis argena,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis splendida,Tschermak-Woess (1995). id: LM.,
Phlyctis,lichenized,Phlyctis argena (Phlyctidaceae),,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis clade 2,Dal Grande et al. (2014b). Dictyochloropsis. clade 2 = Symbiochloris; Škaloud et al. (2016).,
Phylliscum,lichenized,Phylliscum spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcidiopsidales ,Gloeocapsa sp.,Numerous LM reports summarized by Tschermak-Woess (1988a). Friedl & Büdel (2008); Brodo et al. (2001). id: LM,
Phyllopsora,lichenized,,,,,,,,,,
Physcia,lichenized,Physcia adscendens,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Beck et al. (1998); Helms et al. (2001).,
Physcia,lichenized,Physcia aipola,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Helms et al. (2001),
Physcia,lichenized,Physcia caesia,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Dahlkild et al. (2001),
Physcia,lichenized,Physcia caesia,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Doering & Piercey-Normore (2009),
Physcia,lichenized,Physcia semipinnata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia gelatinosa,Helms et al. (2001),
Physcia,lichenized,Physcia stellaris,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Doering & Piercey-Normore (2009),
Physcia,lichenized,Physcia tenella,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Beck et al. (1998); Helms et al. (2001).,
Physcia,lichenized,Physcia tenella,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Dahlkild et al. (2001),
Physcia,lichenized,Physcia tenella,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Doering & Piercey-Normore (2009),
Physciella,lichenized,,,,,,,,,,
Physconia,lichenized,Physconia distorta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,"Trebouxia clade including Trebouxia impressa, Trebouxia flava and Trebouxia potteri",Wornik & Grube (2010),
Physconia,lichenized,Physconia distorta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Dahlkild et al. (2001),
Physconia,lichenized,Physconia grisea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,"Trebouxia clade including Trebouxia impressa, Trebouxia flava and Trebouxia potteri",Wornik & Grube (2010),
Physconia,lichenized,Physconia perisidiosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Helms et al. (2001),
Piccolia,lichenized,,,,,,,,,,
Pilophorus,lichenized,Pilophorus acicularis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris sp.,Nelsen & Gargas (2008),
Pilophorus,lichenized,Pilophorus cf. cereolus,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris sp.,Nelsen & Gargas (2008),
Pilophorus,lichenized,Pilophorus sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris sp.,Nelsen & Gargas (2008). Formal emendation of genus by Škaloud & Peksa (2010) to include Trebouxia subgen. Eleutherococcus Tschermak-Woess.,
Placidiopsis,lichenized,Placidiopsis cartilaginea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Placidium,lichenized,Placidium acarosporoides,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Thüs et al. (2011),
Placidium,lichenized,Placidium arboreum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Thüs et al. (2011),
Placidium,lichenized,Placidium chilense,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Thüs et al. (2011),
Placidium,lichenized,Placidium lachneum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Thüs et al. (2011),
Placidium,lichenized,Placidium lacinulatum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Thüs et al. (2011),
Placidium,lichenized,Placidium pilosellum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia israelensis,Moya et al. (2018),
Placidium,lichenized,Placidium sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia asymmetrica clade,Jung et al. (2019),
Placidium,lichenized,Placidium spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia israelensis,Moya et al. (2018),
Placidium,lichenized,Placidium squamulosum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Voytsekhovich & Beck (2016),
Placidium,lichenized,Placidium squamulosum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Thüs et al. (2011),
Placidium,lichenized,Placidium umbrinum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Thüs et al. (2011),
Placopsis,lichenized,Placopsis antarctica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Deuterostichococcus allas,Beck et al. (2019). Reclassified by Pröschold & Darienko (2020).,
Placopsis,lichenized,Placopsis antarctica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Deuterostichococcus antarctica,Beck et al. (2019). Reclassified by Pröschold & Darienko (2020).,
Placopsis,lichenized,Placopsis contortuplicata,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Wirtz et al. (2003). Maritime Antarctica; two main clades that also include free-living Nostoc.,
Placopsis,lichenized,Placopsis contortuplicata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Deuterostichococcus allas,Beck et al. (2019). Reclassified by Pröschold & Darienko (2020).,
Placopsis,lichenized,Placopsis contortuplicata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Deuterostichococcus antarctica,Beck et al. (2019). Reclassified by Pröschold & Darienko (2020).,
