scientificName,genus,specificEpithet,subspecies,variety
Hypogymnia wilfiana,Hypogymnia,wilfiana,,
Hypotrachna sinuosa,Hypotrachna,sinuosa,,
Hypotrachyna cirrhata,Hypotrachyna,cirrhata,,
Hypotrachyna gowardiana,Hypotrachyna,gowardiana,,
Hypotrachyna revoluta,Hypotrachyna,revoluta,,
Hypotrachyna sinuosa,Hypotrachyna,sinuosa,,
Icmadophila ericetorum,Icmadophila,ericetorum,,
Illosporium carneum,Illosporium,carneum,,
Immersaria carbonoidea,Immersaria,carbonoidea,,
Imshaugia aleurites,Imshaugia,aleurites,,
Ionaspis lacustris,Ionaspis,lacustris,,
Ionaspis lavata,Ionaspis,lavata,,
Ionaspis odora,Ionaspis,odora,,
Ionaspis odora?,Ionaspis,odora?,,
Jamesiella anastomosans,Jamesiella,anastomosans,,
Japewia subaurifera,Japewia,subaurifera,,
Japewia tornoensis,Japewia,tornoensis,,
Japewia tornoënsis,Japewia,tornoënsis,,
Kaernefeltia californica,Kaernefeltia,californica,,
Kaernefeltia merrillii,Kaernefeltia,merrillii,,
Koerberiella wimmeriana,Koerberiella,wimmeriana,,
Kohlmeyera complicatula,Kohlmeyera,complicatula,,
Lasallia papulosa,Lasallia,papulosa,,
Lasallia pensylvanica,Lasallia,pensylvanica,,
Lathagrium fuscovirens,Lathagrium,fuscovirens,,
Lathagrium undulatum,Lathagrium,undulatum,,
Lathagrium undulatum var. granulosum,Lathagrium,undulatum,,granulosum
Lecanactis abietina,Lecanactis,abietina,,
Lecanactis amylacea,Lecanactis,amylacea,,
Lecanactis dilleniana,Lecanactis,dilleniana,,
Lecanactis illecebrosa,Lecanactis,illecebrosa,,
Lecanactis megaspora,Lecanactis,megaspora,,
Lecanactis salicina,Lecanactis,salicina,,
Lecanaria hagenii,Lecanaria,hagenii,,
Lecania aipospila,Lecania,aipospila,,
Lecania cyrtella,Lecania,cyrtella,,
Lecania cyrtellina,Lecania,cyrtellina,,
Lecania dubitans,Lecania,dubitans,,
Lecania dudleyi,Lecania,dudleyi,,
Lecania fuscella,Lecania,fuscella,,
Lecania madida,Lecania,madida,,
Lecania naegelii,Lecania,naegelii,,
Lecania nylanderiana,Lecania,nylanderiana,,
Lecanora achariana,Lecanora,achariana,,
Lecanora actophila,Lecanora,actophila,,
Lecanora albellula,Lecanora,albellula,,
Lecanora albescens,Lecanora,albescens,,
Lecanora allophana,Lecanora,allophana,,
Lecanora allophana f. soralifera,Lecanora,allophana,,
Lecanora anopta,Lecanora,anopta,,
Lecanora areuata,Lecanora,areuata,,
Lecanora argentata,Lecanora,argentata,,
Lecanora argopholis,Lecanora,argopholis,,
Lecanora atra,Lecanora,atra,,
Lecanora atrosulphurea,Lecanora,atrosulphurea,,
Lecanora beringii,Lecanora,beringii,,
Lecanora bicincta,Lecanora,bicincta,,
Lecanora boligera,Lecanora,boligera,,
Lecanora cadubriae,Lecanora,cadubriae,,
Lecanora caesiorubella,Lecanora,caesiorubella,,
Lecanora caesiorubella subsp. saximontana,Lecanora,caesiorubella,saximontana,
Lecanora caesiosora,Lecanora,caesiosora,,
Lecanora campestris,Lecanora,campestris,,
Lecanora candida,Lecanora,candida,,
Lecanora carpinea,Lecanora,carpinea,,
Lecanora castanea,Lecanora,castanea,,
Lecanora cateilea,Lecanora,cateilea,,
Lecanora cenisia,Lecanora,cenisia,,
Lecanora chlarona,Lecanora,chlarona,,
Lecanora chlarotera,Lecanora,chlarotera,,
Lecanora chlorophaeodes,Lecanora,chlorophaeodes,,
Lecanora cinerea,Lecanora,cinerea,,
Lecanora cinereofusca,Lecanora,cinereofusca,,
Lecanora cinereofusca var. cinereofusca,Lecanora,cinereofusca,,cinereofusca
Lecanora circumborealis,Lecanora,circumborealis,,
Lecanora coilocarpa,Lecanora,coilocarpa,,
Lecanora compallens,Lecanora,compallens,,
Lecanora conferta,Lecanora,conferta,,
Lecanora confusa,Lecanora,confusa,,
Lecanora conizaeoides,Lecanora,conizaeoides,,
Lecanora contortuplicata,Lecanora,contortuplicata,,
Lecanora crenulata,Lecanora,crenulata,,
Lecanora cryptoreageas,Lecanora,cryptoreageas,,
Lecanora demissa,Lecanora,demissa,,
Lecanora demosthenesii,Lecanora,demosthenesii,,
Lecanora densa,Lecanora,densa,,
Lecanora diamarta,Lecanora,diamarta,,
Lecanora dispersa,Lecanora,dispersa,,
Lecanora epanora,Lecanora,epanora,,
Lecanora epibryon,Lecanora,epibryon,,
Lecanora expallens,Lecanora,expallens,,
Lecanora farinaria,Lecanora,farinaria,,
Lecanora flavoleprosa,Lecanora,flavoleprosa,,
Lecanora flavopunctata,Lecanora,flavopunctata,,
Lecanora frustulosa,Lecanora,frustulosa,,
Lecanora fuscescens,Lecanora,fuscescens,,
Lecanora fuscescens?,Lecanora,fuscescens?,,
Lecanora garovaglii,Lecanora,garovaglii,,
Lecanora garovaglioi,Lecanora,garovaglioi,,
Lecanora grantii,Lecanora,grantii,,
Lecanora hagenii,Lecanora,hagenii,,
Lecanora helicopis,Lecanora,helicopis,,
Lecanora hybocapa,Lecanora,hybocapa,,
Lecanora hybocarpa,Lecanora,hybocarpa,,
Lecanora hypopta,Lecanora,hypopta,,
Lecanora impudens,Lecanora,impudens,,
Lecanora incusa,Lecanora,incusa,,
Lecanora intricata,Lecanora,intricata,,
Lecanora jamesii,Lecanora,jamesii,,
Lecanora laxa,Lecanora,laxa,,
Lecanora laxula,Lecanora,laxula,,
Lecanora luteovernalis,Lecanora,luteovernalis,,
Lecanora marginalis,Lecanora,marginalis,,
Lecanora marginata,Lecanora,marginata,,
Lecanora mughicola,Lecanora,mughicola,,
Lecanora muralis,Lecanora,muralis,,
Lecanora nigromarginata,Lecanora,nigromarginata,,
Lecanora nordenskioeldii,Lecanora,nordenskioeldii,,
Lecanora opiniconensis,Lecanora,opiniconensis,,
Lecanora orae-frigidae,Lecanora,orae-frigidae,,
Lecanora oraefrigidae,Lecanora,oraefrigidae,,
Lecanora pacifica,Lecanora,pacifica,,
Lecanora palanderi,Lecanora,palanderi,,
Lecanora phaedrophthalma,Lecanora,phaedrophthalma,,
Lecanora phaedrophthalma var. christoi,Lecanora,phaedrophthalma,,christoi
Lecanora phaeostigma,Lecanora,phaeostigma,,
Lecanora pinguis,Lecanora,pinguis,,
Lecanora piniperda,Lecanora,piniperda,,
Lecanora poliophaea,Lecanora,poliophaea,,
Lecanora polytropa,Lecanora,polytropa,,
Lecanora pringlei,Lecanora,pringlei,,
Lecanora pulicaris,Lecanora,pulicaris,,
Lecanora ramulicola,Lecanora,ramulicola,,
Lecanora reagens,Lecanora,reagens,,
Lecanora rugosella,Lecanora,rugosella,,
Lecanora rupicola,Lecanora,rupicola,,
Lecanora salicicola,Lecanora,salicicola,,
Lecanora saligna,Lecanora,saligna,,
Lecanora sambuci,Lecanora,sambuci,,
Lecanora schizochromatica,Lecanora,schizochromatica,,
Lecanora schofieldii,Lecanora,schofieldii,,
Lecanora semitensis,Lecanora,semitensis,,
Lecanora spp.,Lecanora,spp.,,
Lecanora stanislai,Lecanora,stanislai,,
Lecanora stenospora,Lecanora,stenospora,,
Lecanora stenotropa,Lecanora,stenotropa,,
Lecanora straminea,Lecanora,straminea,,
Lecanora strobilina,Lecanora,strobilina,,
Lecanora subdissentiens,Lecanora,subdissentiens,,
Lecanora subfusca,Lecanora,subfusca,,
Lecanora subfusca var. argentata,Lecanora,subfusca,,argentata
Lecanora subfusca var. coilocarpa,Lecanora,subfusca,,coilocarpa
Lecanora subintricata,Lecanora,subintricata,,
Lecanora sublaxa,Lecanora,sublaxa,,
Lecanora subrugosa,Lecanora,subrugosa,,
Lecanora sulphurea,Lecanora,sulphurea,,
Lecanora symmicta,Lecanora,symmicta,,
Lecanora thysanophora,Lecanora,thysanophora,,
Lecanora varia,Lecanora,varia,,
Lecanora verrucigera,Lecanora,verrucigera,,
Lecanora weberi,Lecanora,weberi,,
Lecanora wisconsinensis,Lecanora,wisconsinensis,,
Lecanora xylophila,Lecanora,xylophila,,
Lecanora zosterae,Lecanora,zosterae,,
Lecidea aberrans,Lecidea,aberrans,,
Lecidea albocaerulescens,Lecidea,albocaerulescens,,
Lecidea albofuscescens,Lecidea,albofuscescens,,
Lecidea albohyalina,Lecidea,albohyalina,,
Lecidea alpestris,Lecidea,alpestris,,
Lecidea antiloga,Lecidea,antiloga,,
Lecidea athroocarpa,Lecidea,athroocarpa,,
Lecidea atomaria,Lecidea,atomaria,,
Lecidea atrobrunnea,Lecidea,atrobrunnea,,
Lecidea atrobrunnea subsp. stictica,Lecidea,atrobrunnea,stictica,
Lecidea auriculata,Lecidea,auriculata,,
Lecidea berengeriana,Lecidea,berengeriana,,
Lecidea beringeriana,Lecidea,beringeriana,,
Lecidea betulicola,Lecidea,betulicola,,
Lecidea carnulenta,Lecidea,carnulenta,,
Lecidea cinnabarina,Lecidea,cinnabarina,,
Lecidea coarctata,Lecidea,coarctata,,
Lecidea coriacca,Lecidea,coriacca,,
Lecidea coriacea,Lecidea,coriacea,,
Lecidea cruciaria,Lecidea,cruciaria,,
Lecidea delincta,Lecidea,delincta,,
Lecidea demissa,Lecidea,demissa,,
Lecidea elabens,Lecidea,elabens,,
Lecidea enalla,Lecidea,enalla,,
Lecidea erythrophaea,Lecidea,erythrophaea,,
Lecidea euphorea,Lecidea,euphorea,,
Lecidea friesii,Lecidea,friesii,,
Lecidea fuscatoatra,Lecidea,fuscatoatra,,
Lecidea fuscoatra,Lecidea,fuscoatra,,
Lecidea fuscoatra var. grisella,Lecidea,fuscoatra,,grisella
Lecidea fuscoatrula,Lecidea,fuscoatrula,,
Lecidea globulispora,Lecidea,globulispora,,
Lecidea granulosa,Lecidea,granulosa,,
Lecidea helvola,Lecidea,helvola,,
Lecidea holopolia,Lecidea,holopolia,,
Lecidea hypnorum,Lecidea,hypnorum,,
Lecidea hypnosum,Lecidea,hypnosum,,
Lecidea hypopta,Lecidea,hypopta,,
Lecidea laboriosa,Lecidea,laboriosa,,
Lecidea lactea,Lecidea,lactea,,
Lecidea lapicida,Lecidea,lapicida,,
Lecidea lapicida f. ochracea,Lecidea,lapicida,,
Lecidea lapicida var. lapicida,Lecidea,lapicida,,lapicida
Lecidea latypea,Lecidea,latypea,,
Lecidea leprarioides,Lecidea,leprarioides,,
Lecidea leprosula,Lecidea,leprosula,,
Lecidea leucothallina,Lecidea,leucothallina,,
Lecidea lithophila,Lecidea,lithophila,,
Lecidea lolyphea,Lecidea,lolyphea,,
Lecidea macrocarpa,Lecidea,macrocarpa,,
Lecidea mannii,Lecidea,mannii,,
Lecidea meiocarpa var. tacomensis,Lecidea,meiocarpa,,tacomensis
Lecidea mollis,Lecidea,mollis,,
Lecidea monticola,Lecidea,monticola,,
Lecidea morula,Lecidea,morula,,
Lecidea nigrocruenta,Lecidea,nigrocruenta,,
Lecidea nylanderi,Lecidea,nylanderi,,
Lecidea paddensis,Lecidea,paddensis,,
Lecidea parasema,Lecidea,parasema,,
Lecidea paupercula,Lecidea,paupercula,,
Lecidea phaeops,Lecidea,phaeops,,
Lecidea phylliscina,Lecidea,phylliscina,,
Lecidea picea,Lecidea,picea,,
Lecidea plana,Lecidea,plana,,
Lecidea porphyrospoda,Lecidea,porphyrospoda,,
Lecidea protabacina,Lecidea,protabacina,,
Lecidea pullata,Lecidea,pullata,,
Lecidea ramulosa,Lecidea,ramulosa,,
Lecidea rubrocastanea,Lecidea,rubrocastanea,,
Lecidea rufofusca,Lecidea,rufofusca,,
Lecidea sarcogynoides?,Lecidea,sarcogynoides?,,
Lecidea sulphurea,Lecidea,sulphurea,,
Lecidea templetonii,Lecidea,templetonii,,
Lecidea tesselata,Lecidea,tesselata,,
Lecidea tessellata,Lecidea,tessellata,,
Lecidea turgidula,Lecidea,turgidula,,
Lecidea uliginosa,Lecidea,uliginosa,,
Lecidea umbonata,Lecidea,umbonata,,
Lecidea vacciniicola,Lecidea,vacciniicola,,
Lecidea vernalis,Lecidea,vernalis,,
Lecidella asema,Lecidella,asema,,
Lecidella carpathica,Lecidella,carpathica,,
Lecidella effugiens,Lecidella,effugiens,,
Lecidella elaeochroma,Lecidella,elaeochroma,,
Lecidella elaeochroma f. soradiata,Lecidella,elaeochroma,,
Lecidella eleochroma,Lecidella,eleochroma,,
Lecidella euphorea,Lecidella,euphorea,,
Lecidella lacteola,Lecidella,lacteola,,
Lecidella laureri,Lecidella,laureri,,
Lecidella patavina,Lecidella,patavina,,
Lecidella scabra,Lecidella,scabra,,
Lecidella spitsbergensis,Lecidella,spitsbergensis,,
Lecidella stigmatea,Lecidella,stigmatea,,
Lecidella subincongrua,Lecidella,subincongrua,,
Lecidella wulfenii,Lecidella,wulfenii,,
lecideoid crusts,lecideoid,crusts,,
Lecidoma demissum,Lecidoma,demissum,,
Leciophysma finmarkicum,Leciophysma,finmarkicum,,
Leciophysma furfurascens,Leciophysma,furfurascens,,
Leciophysma saximontana,Leciophysma,saximontana,,
Leioderma sorediatum,Leioderma,sorediatum,,
Lempholemma cladodes,Lempholemma,cladodes,,
Lempholemma intricatum,Lempholemma,intricatum,,
Lempholemma isidiodes,Lempholemma,isidiodes,,
Lempholemma polyanthes,Lempholemma,polyanthes,,
Lempholemma radiatum,Lempholemma,radiatum,,
Lepra albescens,Lepra,albescens,,
Lepra amara,Lepra,amara,,
Lepra borealis,Lepra,borealis,,
Lepra dactylina,Lepra,dactylina,,
Lepra multipuncta,Lepra,multipuncta,,
Lepra multipunctoides,Lepra,multipunctoides,,
Lepra ophthalmiza,Lepra,ophthalmiza,,
Lepraria alpina,Lepraria,alpina,,
Lepraria arctica,Lepraria,arctica,,
Lepraria borealis,Lepraria,borealis,,
Lepraria brodoi,Lepraria,brodoi,,
Lepraria cacuminum,Lepraria,cacuminum,,
Lepraria caesioalba,Lepraria,caesioalba,,
Lepraria candelaris,Lepraria,candelaris,,
Lepraria cf. neglecta,Lepraria,neglecta,,
Lepraria chlorina,Lepraria,chlorina,,
Lepraria crassissima,Lepraria,crassissima,,
Lepraria diffusa,Lepraria,diffusa,,
Lepraria diffusa var. chrysodetoides,Lepraria,diffusa,,chrysodetoides
Lepraria eburnea,Lepraria,eburnea,,
Lepraria elobata,Lepraria,elobata,,
Lepraria finkii,Lepraria,finkii,,
Lepraria incana,Lepraria,incana,,
Lepraria jackii,Lepraria,jackii,,
Lepraria lobificans,Lepraria,lobificans,,
Lepraria membranacea,Lepraria,membranacea,,
Lepraria neglecta,Lepraria,neglecta,,
Lepraria neglecta Race alectorialic acid chemotype,Lepraria,neglecta,,
Lepraria neglecta Race fatty acid chemotype,Lepraria,neglecta,,
Lepraria neglecta Race fumarprotocetraric acid chemotype,Lepraria,neglecta,,
Lepraria neglecta Race porphyrilic acid chemotype,Lepraria,neglecta,,
Lepraria neglecta Race psoromic acid chemotype,Lepraria,neglecta,,
Lepraria neglecta Race stictic acid chemotype,Lepraria,neglecta,,
Lepraria nivalis,Lepraria,nivalis,,
Lepraria pacifica,Lepraria,pacifica,,
Lepraria rigidula,Lepraria,rigidula,,
Lepraria robertsiana,Lepraria,robertsiana,,
Lepraria subalbicans,Lepraria,subalbicans,,
Lepraria torii,Lepraria,torii,,
Lepraria vouauxii,Lepraria,vouauxii,,
Leprocaulon gracilescens,Leprocaulon,gracilescens,,
Leprocaulon subalbicans,Leprocaulon,subalbicans,,
Leproloma diffusum,Leproloma,diffusum,,
Leptochidium albociliatum,Leptochidium,albociliatum,,
Leptogidium contortum,Leptogidium,contortum,,
Leptogidium dendriscum,Leptogidium,dendriscum,,
Leptogium burnetiae,Leptogium,burnetiae,,
Leptogium californicum,Leptogium,californicum,,
Leptogium cellulosum,Leptogium,cellulosum,,
Leptogium cookii,Leptogium,cookii,,
Leptogium corniculatum,Leptogium,corniculatum,,
Leptogium corticola,Leptogium,corticola,,
Leptogium cyanescens,Leptogium,cyanescens,,
Leptogium furfuraceum,Leptogium,furfuraceum,,
Leptogium gelatinosum,Leptogium,gelatinosum,,
Leptogium hirsutum,Leptogium,hirsutum,,
Leptogium imbricatum,Leptogium,imbricatum,,
Leptogium insigne,Leptogium,insigne,,
Leptogium intermedium,Leptogium,intermedium,,
Leptogium lichenoides,Leptogium,lichenoides,,
Leptogium massiliense,Leptogium,massiliense,,
Leptogium minutissimum,Leptogium,minutissimum,,
Leptogium occultatum,Leptogium,occultatum,,
Leptogium palmatum,Leptogium,palmatum,,
Leptogium platynum,Leptogium,platynum,,
Leptogium plicatile,Leptogium,plicatile,,
Leptogium polycarpum,Leptogium,polycarpum,,
Leptogium pseudofurfuraceum,Leptogium,pseudofurfuraceum,,
Leptogium pulvinatum,Leptogium,pulvinatum,,
Leptogium rivale,Leptogium,rivale,,
Leptogium saturninum,Leptogium,saturninum,,
Leptogium saturnium,Leptogium,saturnium,,
Leptogium schraderi,Leptogium,schraderi,,
Leptogium subaridum,Leptogium,subaridum,,
Leptogium subtile,Leptogium,subtile,,
Leptogium sutile,Leptogium,sutile,,
Leptogium tacomae,Leptogium,tacomae,,
Leptogium tennuissimum,Leptogium,tennuissimum,,
Leptogium tenuissimum,Leptogium,tenuissimum,,
Leptogium teretiusculum,Leptogium,teretiusculum,,
Leptogium turgidum,Leptogium,turgidum,,
Leptorhaphis atomaria,Leptorhaphis,atomaria,,
Leptorhaphis epidermidis,Leptorhaphis,epidermidis,,
Letharia californica,Letharia,californica,,
Letharia columbiana,Letharia,columbiana,,
Letharia lupina,Letharia,lupina,,
Letharia vulpina,Letharia,vulpina,,
Letharia vulpina?,Letharia,vulpina?,,
Leucocarpia dictyospora,Leucocarpia,dictyospora,,
Lichenicolous fun,Lichenicolous,fun,,
Lichenicolous fungus,Lichenicolous,fungus,,
Lichenocolous fungus,Lichenocolous,fungus,,
Lichenoconium edgewoodensis,Lichenoconium,edgewoodensis,,
Lichenoconium usneae,Lichenoconium,usneae,,
Lichenomphalia alpina,Lichenomphalia,alpina,,
Lichenomphalia hudsoniana,Lichenomphalia,hudsoniana,,
Lichenomphalia umbellifera,Lichenomphalia,umbellifera,,
Lichenopuccinia poeltii,Lichenopuccinia,poeltii,,
Lichenosticta alcicornaria,Lichenosticta,alcicornaria,,
Lichenostigma rugosum,Lichenostigma,rugosum,,
Lichenothelia metzleri,Lichenothelia,metzleri,,
Lichidium canadense,Lichidium,canadense,,
Lichinella nigritella,Lichinella,nigritella,,
Lichinodium canadense,Lichinodium,canadense,,
Lichinodium sirosiphoideum,Lichinodium,sirosiphoideum,,
Lignoscripta atroalba,Lignoscripta,atroalba,,
Lithographa tesserata,Lithographa,tesserata,,
Llimoniella neglecta,Llimoniella,neglecta,,
Llimoniella pertusariae,Llimoniella,pertusariae,,
Lobaria amplissima,Lobaria,amplissima,,
Lobaria anomala,Lobaria,anomala,,
Lobaria anthraspis,Lobaria,anthraspis,,
Lobaria hallii,Lobaria,hallii,,
Lobaria linita,Lobaria,linita,,
Lobaria linita var. linita,Lobaria,linita,,linita
Lobaria linita var. tenuior,Lobaria,linita,,tenuior
Lobaria linita var. tenuis,Lobaria,linita,,tenuis
Lobaria oregana,Lobaria,oregana,,
Lobaria organa,Lobaria,organa,,
Lobaria pseudopulmonaria,Lobaria,pseudopulmonaria,,
Lobaria pulmonaria,Lobaria,pulmonaria,,
Lobaria retigera,Lobaria,retigera,,
Lobaria scabrata,Lobaria,scabrata,,
Lobaria scorbiculata,Lobaria,scorbiculata,,
Lobaria scrobiculata,Lobaria,scrobiculata,,
Lobaria silvae-veteris,Lobaria,silvae-veteris,,
Lobaria verrucosa,Lobaria,verrucosa,,
Lobarina scrobiculata,Lobarina,scrobiculata,,
Lobothallia alphoplaca,Lobothallia,alphoplaca,,
Lobothallia melanaspis,Lobothallia,melanaspis,,
Lobothallia praeradiosa,Lobothallia,praeradiosa,,
Lopadium coralloideum,Lopadium,coralloideum,,
Lopadium disciforme,Lopadium,disciforme,,
Lopadium fuscoluteum,Lopadium,fuscoluteum,,
Lopadium pezizoideum,Lopadium,pezizoideum,,
Loxospora corallifera,Loxospora,corallifera,,
Loxospora elatina,Loxospora,elatina,,
Loxosporopsis corallifera,Loxosporopsis,corallifera,,
Masonhalea richardsonii,Masonhalea,richardsonii,,
Massalongia carnosa,Massalongia,carnosa,,
Massalongia microphylliza,Massalongia,microphylliza,,
Mastodia tesselata,Mastodia,tesselata,,
Mastodia tessellata,Mastodia,tessellata,,
Megalaria brodoana,Megalaria,brodoana,,
Megalaria brunnescens,Megalaria,brunnescens,,
Megalaria columbiana,Megalaria,columbiana,,
Megalaria pulverea,Megalaria,pulverea,,
Megaspora verrucosa,Megaspora,verrucosa,,
Melanelia agnata,Melanelia,agnata,,
Melanelia commixta,Melanelia,commixta,,
Melanelia disjuncta,Melanelia,disjuncta,,
Melanelia elegantula,Melanelia,elegantula,,
Melanelia exasperatula,Melanelia,exasperatula,,
Melanelia fuliginosa,Melanelia,fuliginosa,,
Melanelia glabratula,Melanelia,glabratula,,
Melanelia hepatizon,Melanelia,hepatizon,,
Melanelia incolorata,Melanelia,incolorata,,
Melanelia infumata,Melanelia,infumata,,
Melanelia multispora,Melanelia,multispora,,
Melanelia panniformis,Melanelia,panniformis,,
Melanelia septentrionalis,Melanelia,septentrionalis,,
Melanelia sorediata,Melanelia,sorediata,,
Melanelia stygia,Melanelia,stygia,,
Melanelia subargentifera,Melanelia,subargentifera,,
Melanelia subaurifera,Melanelia,subaurifera,,
Melanelia subelegantula,Melanelia,subelegantula,,
Melanelia subolivacea,Melanelia,subolivacea,,
Melanelia substygia,Melanelia,substygia,,
Melanelia tominii,Melanelia,tominii,,
Melanelixia fuliginosa,Melanelixia,fuliginosa,,
Melanelixia glabratula,Melanelixia,glabratula,,
Melanelixia glabratula var. laetevirens,Melanelixia,glabratula,,laetevirens
Melanelixia subargentifera,Melanelixia,subargentifera,,
Melanelixia subaurifera,Melanelixia,subaurifera,,
Melanohalea elangantula,Melanohalea,elangantula,,
Melanohalea elegantula,Melanohalea,elegantula,,
Melanohalea exasperata,Melanohalea,exasperata,,
Melanohalea exasperatula,Melanohalea,exasperatula,,
Melanohalea infumata,Melanohalea,infumata,,
Melanohalea multispora,Melanohalea,multispora,,
Melanohalea olivacea,Melanohalea,olivacea,,
Melanohalea olivaceoides,Melanohalea,olivaceoides,,
Melanohalea septentrionalis,Melanohalea,septentrionalis,,
Melanohalea subelegantula,Melanohalea,subelegantula,,
Melanohalea subolivacea,Melanohalea,subolivacea,,
Melanohalea taltan,Melanohalea,taltan,,
Melanohalea trabeculata,Melanohalea,trabeculata,,
Melanomma polita,Melanomma,polita,,
Melanomma pulvis-pyrius,Melanomma,pulvis-pyrius,,
Melanotopelia toensbergii,Melanotopelia,toensbergii,,
Menegazzia subsimilis,Menegazzia,subsimilis,,
Menegazzia terebrata,Menegazzia,terebrata,,
Micarea alabastrites,Micarea,alabastrites,,
Micarea anterior,Micarea,anterior,,
Micarea assimilata,Micarea,assimilata,,
Micarea botryoides,Micarea,botryoides,,
Micarea cinerea,Micarea,cinerea,,
Micarea clavopycnidiata,Micarea,clavopycnidiata,,
Micarea constricta,Micarea,constricta,,
Micarea denigrata,Micarea,denigrata,,
Micarea globulosella,Micarea,globulosella,,
Micarea incrassata,Micarea,incrassata,,
Micarea melaena,Micarea,melaena,,
Micarea micrococca,Micarea,micrococca,,
Micarea misella,Micarea,misella,,
Micarea myriocarpa,Micarea,myriocarpa,,
Micarea peliocarpa,Micarea,peliocarpa,,
Micarea polita,Micarea,polita,,
Micarea prasina,Micarea,prasina,,
Micarea prasinella,Micarea,prasinella,,
Micarea pycnoclaupta,Micarea,pycnoclaupta,,
Micarea silvae-veteris,Micarea,silvae-veteris,,
Micarea submelaena,Micarea,submelaena,,
Micarea sylvicola,Micarea,sylvicola,,
Micarea tenebrosa,Micarea,tenebrosa,,
Micarea turfosa,Micarea,turfosa,,
Micarea viridileprosa,Micarea,viridileprosa,,
Micarea xanthonica,Micarea,xanthonica,,
Micarea xanthoria,Micarea,xanthoria,,
Microcalicium ahlneri,Microcalicium,ahlneri,,
Microcalicium arenarium,Microcalicium,arenarium,,
Microcalicium disseminatum,Microcalicium,disseminatum,,
Microcalicum ahlneri,Microcalicum,ahlneri,,
Microcalicum disseminatum,Microcalicum,disseminatum,,
Microcalicum subtile,Microcalicum,subtile,,
Microlychnus epicorticis,Microlychnus,epicorticis,,
Miriquidica nigroleprosa,Miriquidica,nigroleprosa,,
Miriquidica porphyrospoda,Miriquidica,porphyrospoda,,
Miriquidica praetermissa,Miriquidica,praetermissa,,
Mniaecia nivea,Mniaecia,nivea,,
Montanelia disjuncta,Montanelia,disjuncta,,
Montanelia panniformis,Montanelia,panniformis,,
Montanelia tominii,Montanelia,tominii,,
Moriola crustularis,Moriola,crustularis,,
Muellerella pygmaea,Muellerella,pygmaea,,
Multiclavula vernalis,Multiclavula,vernalis,,
Mycobilimbia berengeriana,Mycobilimbia,berengeriana,,
Mycobilimbia carneoalbida,Mycobilimbia,carneoalbida,,
Mycobilimbia epixanthoides,Mycobilimbia,epixanthoides,,
Mycobilimbia hypnorum,Mycobilimbia,hypnorum,,
Mycobilimbia lobulata,Mycobilimbia,lobulata,,
Mycobilimbia microcarpa,Mycobilimbia,microcarpa,,
Mycobilimbia pilularis,Mycobilimbia,pilularis,,
Mycobilimbia tetramera,Mycobilimbia,tetramera,,
Mycoblastus affinis,Mycoblastus,affinis,,
Mycoblastus alpinus,Mycoblastus,alpinus,,
Mycoblastus caesius,Mycoblastus,caesius,,
Mycoblastus sanguinaria,Mycoblastus,sanguinaria,,
Mycoblastus sanguinarius,Mycoblastus,sanguinarius,,
Mycoblastus sanguinarius form. leprosus,Mycoblastus,sanguinarius,,
Mycoblastus tornoensis,Mycoblastus,tornoensis,,
Mycocalicium albonigrum,Mycocalicium,albonigrum,,
Mycocalicium disseminatum,Mycocalicium,disseminatum,,
Mycocalicium fuscipes,Mycocalicium,fuscipes,,
Mycocalicium subtile,Mycocalicium,subtile,,
Mycocalicum subtile,Mycocalicum,subtile,,
Mycoglaena myricae,Mycoglaena,myricae,,
Mycoporum antecellens,Mycoporum,antecellens,,
Myochroidea leprosula,Myochroidea,leprosula,,
Myochroidea minutula,Myochroidea,minutula,,
Myochroidea porphyrospoda,Myochroidea,porphyrospoda,,
Myochroidea rufofusca,Myochroidea,rufofusca,,
Myriolecis actophila,Myriolecis,actophila,,
Myriolecis behringii,Myriolecis,behringii,,
Myriolecis hagenii,Myriolecis,hagenii,,
Myriolecis straminea,Myriolecis,straminea,,
Myriolecis zosterae,Myriolecis,zosterae,,
Myxobilimbia lobulata,Myxobilimbia,lobulata,,
Myxobilimbia sabuletorum,Myxobilimbia,sabuletorum,,
Naetrocymbe punctiformis,Naetrocymbe,punctiformis,,
Nanostictis christiansenii,Nanostictis,christiansenii,,
Nectria lecanodes,Nectria,lecanodes,,
Nectriopsis lecanodes,Nectriopsis,lecanodes,,
Neofuscelia loxodes,Neofuscelia,loxodes,,
Neofuscelia subhosseana,Neofuscelia,subhosseana,,
Neofuscelia verruculifera,Neofuscelia,verruculifera,,
Nephroma antarcticum,Nephroma,antarcticum,,
Nephroma arcticum,Nephroma,arcticum,,
Nephroma arcticum (morph),Nephroma,arcticum,,
Nephroma articum,Nephroma,articum,,
Nephroma bellum,Nephroma,bellum,,
Nephroma expallidum,Nephroma,expallidum,,
Nephroma hallii,Nephroma,hallii,,
Nephroma helveticum,Nephroma,helveticum,,
Nephroma helveticum subsp. helveticum,Nephroma,helveticum,helveticum,
Nephroma helveticum subsp. heveticum,Nephroma,helveticum,heveticum,
Nephroma helveticum subsp. sipeanum,Nephroma,helveticum,sipeanum,
Nephroma helveticum var. sipeanum,Nephroma,helveticum,,sipeanum
Nephroma isidiosum,Nephroma,isidiosum,,
