"occurrenceID","catalogNumber","scientificName","eventDate","recordedBy","source"
"RBCM:Botany:V066168","V066168","Holcus lanatus L.","1966-07-29T00:00:00","Anthony Harrison","GBIF"
"B8BF840F-24FF-4A78-8E03-56474DB5DB21","V066168","Holcus lanatus","1966-07-29","Anthony Harrison","CPNWH"
"RBCM:Botany:V066354","V066354","Bromus aleutensis Trin. ex Griseb.","1967-06-19T00:00:00","Anthony Harrison","GBIF"
"E0423F94-0585-4EFE-A7CE-C479F497CD12","V066354","Bromus sitchensis var. aleutensis","1967-06-19","Anthony Harrison","CPNWH"
"RBCM:Botany:V077899","V077899","Lepidium virginicum var. pubescens (Greene) C.L.Hitchc.","1974-05-17T00:00:00","T. Brayshaw; David Polster","GBIF"
"BB671C39-D309-43A9-BB2E-40679ED86F19","V077899","Lepidium virginicum ssp. menziesii","1974-05-17","T. Brayshaw, David Polster","CPNWH"
"RBCM:Botany:V082551","V082551","Spergularia rubra (L.) J.Presl & C.Presl","1974-06-18T00:00:00","T. Brayshaw; David Polster","GBIF"
"FB603099-443E-4F96-8C6B-62D176C5CB6F","V082551","Spergularia rubra","1974-06-18","T. Brayshaw, David Polster","CPNWH"
"RBCM:Botany:V082552","V082552","Spergula arvensis L.","1974-06-18T00:00:00","T. Brayshaw; David Polster","GBIF"
"4187C58E-3FC8-446F-8366-B2F1651D86AB","V082552","Spergula arvensis","1974-06-18","T. Brayshaw, David Polster","CPNWH"
"RBCM:Botany:V082553","V082553","Ranunculus cymbalaria Pursh","1974-06-18T00:00:00","T. Brayshaw; David Polster","GBIF"
"71293DB2-3134-4864-8C6A-571D9CD14FBE","V082553","Halerpestes cymbalaria","1974-06-18","T. Brayshaw, David Polster","CPNWH"
"RBCM:Botany:V082554","V082554","Poa pratensis L.","1974-06-18T00:00:00","T. Brayshaw; David Polster","GBIF"
