Taxon,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,PERIOD,Richness
Cotoneaster horizontalis,new 2018,observed,2018-06-04,Kevin Toomer,2018,709
Tanacetum parthenium,new 2018,observed,2018-06-24,Sarah Tweedale,2018,709
Sedum acre,new 2018,observed,2018-07-01,Andrew Simon,2018,709
Polygonum spergulariiforme,new 2018,observed,2018-07-05,Andrew Simon & Kevin Toomer,2018,709
Solanum physalifolium,new 2018,observed,2018-07-11,Andrew Simon,2018,709
Echinops sphaerocephalus,new 2018,observed,2018-07-14,Andrew Simon,2018,709
Scirpus cyperinus,new 2018,observed,2018-07-20,Andrew Simon,2018,709
Utricularia gibba,new 2018,observed,2018-08-11,Andrew Simon,2018,709
Oenothera biennis,new 2018,observed,2018-08-17,Andrew Simon,2018,709
Solanum nigrum,new 2018,observed,2018-08-31,Adam Huggins,2018,709
Calluna vulgaris,new 2018,observed,2018-09-02,Kevin Toomer,2018,709
Amaranthus retroflexus,new 2018,observed,2018-09-10,Christopher Heffley,2018,709
Scorzoneroides autumnalis,new 2018,observed,2018-10-13,Andrew Simon,2018,709
Crocus vernus,new 2019,observed,2019-03-16,grrrace,2019,725
Cymbalaria muralis,new 2019,observed,2019-04-17,Larissa Marie,2019,725
Tiarella trifoliata var. laciniata,new 2019,observed,2019-04-27,Justine Apostolopoulos,2019,725
Centranthus ruber,new 2019,observed,2019-05-04,Kristian Sigvardsen,2019,725
Euphorbia myrsinites,new 2019,observed,2019-05-04,Aimee Pelletier,2019,725
Myriophyllum sp.,new 2019,observed,2019-05-04,Andrew Simon,2019,725
Narcissus poeticus,new 2019,observed,2019-05-04,Katie Kushneryk,2019,725
Prunus emarginata var. mollis,new 2019,observed,2019-05-05,John D. Reynolds,2019,725
Antirrhinum majus,new 2019,observed,2019-05-29,Larissa Marie,2019,725
Cerastium tomentosum,new 2019,observed,2019-06-02,Andrew Simon,2019,725
Clematis vitalba,new 2019,observed,2019-07-10,Adam Huggins,2019,725
Panicum capillare,new 2019,observed,2019-08-11,Andrew Simon,2019,725
Setaria viridis,new 2019,observed,2019-08-11,Andrew Simon,2019,725
Tussilago farfara,new 2019,observed,2019-08-19,Caitlin Robinson,2019,725
Lythrum salicaria,new 2019,observed,2019-08-22,pblaeser,2019,725
Hypericum androsaemum,new 2019,observed,2019-08-27,scuddlebutt,2019,725
Crocus × stellaris,new 2020,observed,2020-02-08,ssilverman,2020,739
Teesdalia nudicaulis,new 2020,observed,2020-04-19,Lauren Magner & Andrew Simon,2020,739
Vicia tetrasperma,new 2020,observed,2020-04-24,Andrew Simon,2020,739
Origanum vulgare,new 2020,observed,2020-04-26,Kristian Sigvardsen,2020,739
Valerianella locusta,new 2020,observed,2020-04-30,Adam Huggins,2020,739
Oxalis corniculata,new 2020,observed,2020-05-19,Andrew Simon,2020,739
Potentilla recta,new 2020,observed,2020-06-22,Christopher Heffley,2020,739
Juncus hesperius,new 2020,observed,2020-07-13,Andrew Simon,2020,739
Picea sitchensis,new 2020,observed,2020-07-13,Andrew Simon,2020,739
Clematis ligusticifolia,new 2020,observed,2020-07-20,Sylvie Hawkes,2020,739
Arctium lappa,new 2020,observed,2020-08-10,Sylvie Hawkes,2020,739
Impatiens capensis,new 2020,observed,2020-09-05,Sylvie Hawkes,2020,739
Ligustrum vulgare,new 2020,observed,2020-09-17,maplerice,2020,739
Symphyotrichum novi-belgii,new 2020,observed,2020-09-17,Adam Huggins,2020,739
Boechera sp.,new 2021,observed,2021-05-01,Andrew Simon,2021,747
Festuca trachyphylla,new 2021,observed,2021-06-14,Eric Hagen,2021,747
Pterospora andromedea,new 2021,observed,2021-06-16,Audrey Irvine-Broque,2021,747
Platanthera ephemerantha,new 2021,observed,2021-06-25,Caitlin Robinson & Andrew Simon,2021,747
Agrostis stolonifera,new 2021,observed,2021-07-01,Andrew Simon,2021,747
Geranium × oxonianum,new 2021,observed,2021-07-01,Andrew Simon,2021,747
Urtica gracilis,new 2021,observed,2021-07-01,Andrew Simon,2021,747
Sempervivum tectorum,new 2021,observed,2021-10-22,Alejandro Huereca Delgado,2021,747
Corallorhiza mertensiana,new 2022,observed,2022-06-07,Jenny Sterling & Andrew Simon,2022,797
Bromus racemosus,new 2022,observed,2022-06-12,Andrew Simon & Frank Lomer,2022,797
Bromus secalinus,new 2022,observed,2022-06-12,Andrew Simon & Frank Lomer,2022,797
Castilleja miniata var. dixonii,new 2022,observed,2022-06-12,Barbara Rennie,2022,797
Cotoneaster franchetii,new 2022,observed,2022-06-12,Andrew Simon,2022,797
Iris × hybrida,new 2022,observed,2022-06-12,Andrew Simon & Frank Lomer,2022,797
Poa palustris,new 2022,observed,2022-06-12,Andrew Simon & Frank Lomer,2022,797
Trisetum canescens,new 2022,observed,2022-06-12,Andrew Simon & Frank Lomer,2022,797
Veronica peregrina var. xalapensis,new 2022,observed,2022-06-12,Andrew Simon,2022,797
Carex scoparia,new 2022,observed,2022-06-13,Adam Huggins,2022,797
Epilobium leptophyllum,new 2022,observed,2022-06-14,Andrew Simon & Frank Lomer,2022,797
Hedera hibernica,new 2022,observed,2022-06-24,Andrew Simon,2022,797
Lamium galeobdolon ssp. argentatum,new 2022,observed,2022-07-10,Kevin Toomer,2022,797
Nymphoides peltata,new 2022,observed,2022-07-30,Adam Huggins,2022,797
Sambucus cerulea,new 2022,observed,2022-08-08,Adam Huggins,2022,797
Echinochloa crus-galli,new 2022,observed,2022-08-29,Adam Huggins,2022,797
Carex pallescens,new 2018,observed,2022-06-08,Frank Lomer,2022,797
Juncus occidentalis,new 2022,unobserved,2022-06-08,Frank Lomer,2022,797
Juncus pylaei,new 2022,observed,2022-06-08,Frank Lomer,2022,797
Trifolium glomeratum,new 2020,observed,2022-06-08,Frank Lomer,2022,797
Veronica peregrina var. peregrina,confirmed,observed,2022-06-08,Frank Lomer,2022,797
Allium vineale,new 2019,observed,2022-06-09,Frank Lomer,2022,797
Carex sylvatica,new 2022,observed,2022-06-09,Frank Lomer,2022,797
Conium maculatum,new 2019,observed,2022-06-09,Frank Lomer,2022,797
Psilocarphus tenellus,new 2022,observed,2022-06-09,Frank Lomer,2022,797
Bromus commutatus,new 2017,observed,2022-06-10,Frank Lomer,2022,797
Danthonia decumbens,new 2022,observed,2022-06-10,Frank Lomer,2022,797
Epilobium halleanum,new 2022,unobserved,2022-06-10,Frank Lomer,2022,797
Moenchia erecta,new 2020,observed,2022-06-10,Frank Lomer,2022,797
Petrosedum rupestre,reported,unobserved,2022-06-10,Frank Lomer,2022,797
Ranunculus parviflorus,new 2022,unobserved,2022-06-10,Frank Lomer,2022,797
Silene gallica,new 2022,unobserved,2022-06-10,Frank Lomer,2022,797
Sisyrinchium idahoense var. idahoense,confirmed,observed,2022-06-10,Frank Lomer,2022,797
Festuca rubra ssp. rubra,new 2022,observed,2022-06-11,Frank Lomer,2022,797
Soliva sessilis,new 2019,observed,2022-06-11,Frank Lomer,2022,797
Agrostis pallens,confirmed,observed,2022-06-12,Frank Lomer,2022,797
Lysimachia minima,new 2020,observed,2022-06-12,Frank Lomer,2022,797
Rhinanthus minor,reported,unobserved,2022-06-12,Frank Lomer,2022,797
Cotoneaster coriaceus,new 2022,observed,2022-06-13,Frank Lomer,2022,797
Empetrum nigrum,new 2016,observed,2022-06-13,Frank Lomer,2022,797
Glyceria elata,confirmed,observed,2022-06-13,Frank Lomer,2022,797
Medicago arabica,new 2022,unobserved,2022-06-13,Frank Lomer,2022,797
Melica harfordii,confirmed,observed,2022-06-13,Frank Lomer,2022,797
Silene antirrhina,confirmed,observed,2022-06-13,Frank Lomer,2022,797
Torilis arvensis,confirmed,observed,2022-06-13,Frank Lomer,2022,797
Avena fatua,new 2022,unobserved,2022-06-14,Frank Lomer,2022,797
Trifolium striatum,new 2022,observed,2022-06-14,Frank Lomer,2022,797
Ajuga reptans,new 2013,observed,2022-06-15,Frank Lomer,2022,797
Carex garberi,new 2022,unobserved,2022-06-15,Frank Lomer,2022,797
Veronica persica,confirmed,observed,2022-06-15,Frank Lomer,2022,797
