"scientificName","source_file","report_group"
"Pyropia nereocystis","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Pyropia perforata","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Rhodochorton purpureum","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Rhodymenia californica","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Saccharina latissima","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Sarcodiotheca furcata","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Sarcodiotheca gaudichaudii","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Sargassum muticum","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Savoiea robusta","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Scagelia pylaisaei","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Schizymenia pacifica","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Scytosiphon lomentaria","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Smithora naiadum","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Sparlingia pertusa","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Stenogramma interruptum","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Sundstroemia setigera","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Symphyocladiella dendroidea","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Symphyocladiella rosea","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
"Ulva californica","Howe_Sound_marine_algae_and_protozoa_reviewed.csv","MARINE ALGAE"
