"Order","Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"butterflies and moths (Lepidoptera)","Apamea indocilis","Ignorant Apamea Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Apamea sordens","Bordered Apamea Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Apamea unanimis","Small Clouded Brindle","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Apamea vultuosa","Airy Apamea Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Aphomia sociella","Bee Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Aplocera plagiata","Treble Bar","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Apotomis capreana","Sallow Apotomis Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Archiearis infans","Infant Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Archips argyrospila","Fruit-tree Leafroller Moth","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Archips podana","Large Fruit-tree Tortrix","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Archips rosana","Rose Tortrix Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Argynnis atlantis","Atlantis Fritillary","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Argynnis hydaspe","Hydaspe Fritillary","","","",""
"butterflies and moths (Lepidoptera)","Argynnis hydaspe minor","","S5 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Argynnis hydaspe rhodope","Rhodope Fritillary","S4 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Argynnis mormonia opis","Opis Fritillary","S5 (2021)","Yellow","",""
"butterflies and moths (Lepidoptera)","Argyresthia goedartella","Bronze Alder Moth","S4? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Argyresthia pruniella","Cherry Fruit Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Argyrotaenia dorsalana","","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Argyrotaenia provana","","S3? (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Arta epicoenalis","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Asaphocrita aphidiella","","S3S5 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Aseptis binotata","Rusty Shoulder Knot Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Autographa ampla","Large Looper Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Autographa californica","Alfalfa Looper","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Autographa corusca","Caramel Looper","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Autographa metallica","Shanded Gold Spot","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Batia lunaris","Lesser Tawny Crescent","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Battaristis concinnusella","Music-loving Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Behrensia conchiformis","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Bellura obliqua","Cattail Borer Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Besma quercivoraria","Oak Besma Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Biston betularia","Peppered Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Blastobasis glandulella","Acorn Moth","","","",""
"butterflies and moths (Lepidoptera)","Bleptina caradrinalis","Bent-winged Owlet","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Boloria chariclea","Arctic Fritillary","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Boloria epithore","Pacific Fritillary","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Brymblia quadrimaculella","","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Cabera erythemaria","Yellow-dusted Cream Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Caenurgina erechtea","Forage Looper Moth","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Callizzia amorata","Gray Scoopwing","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Callophrys augustinus","Brown Elfin","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Callophrys eryphon sheltonensis","","S2 (2023)","Red","",""
"butterflies and moths (Lepidoptera)","Callophrys gryneus plicataria","Cedar Hairstreak","S4 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Callophrys johnsoni","Johnson’s Hairstreak","S2? (2020)","Red","Special Concern (2022)",""
"butterflies and moths (Lepidoptera)","Cameraria gaultheriella","gaultheria leafminer moth","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Campaea perlata","Pale Beauty","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Caradrina montana","Civil Rustic Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Caradrina morpheus","Mottled Rustic","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Carcina quercana","Oak Lantern","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Caripeta aequaliaria","Western Conifer Looper","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Caripeta divisata","Gray Spruce Looper Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Catocala semirelicta","Semirelict Underwing Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Catocala sp.","Underwing Moths","","","",""
"butterflies and moths (Lepidoptera)","Catoptria latiradiellus","Two-banded Catoptria Moth","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Catoptria oregonicus","Western Catoptria","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Celastrina echo","Echo Azure","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Celastrina ladon","Spring Azure","","","",""
"butterflies and moths (Lepidoptera)","Celypha cespitana","Celypha Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Ceranemota fasciata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Ceranemota improvisa","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Cerastis enigmatica","Enigmatic Dart","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Ceratodalia gueneata","Guenée's Carpet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Cercyonis pegala incana","","S2? (2021)","Red","",""
"butterflies and moths (Lepidoptera)","Chionodes lictor","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Chionodes mediofuscella","Black-smudged Chionodes Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Chlorosea banksaria","Bank's Emerald Moth","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Choreutis pariana","Apple Leaf Skeletonizer Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Choristoneura occidentalis","Western Spruce Budworm Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Choristoneura rosaceana","Oblique-banded Leafroller Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Chrysoclista linneella","Linden Bark Borer Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Chrysoteuchia topiarius","Topiary Grass-veneer","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Chytolita morbidalis","Morbid Owlet","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Cisseps fulvicollis","Yellow-collared Scape Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Cladara limitaria","Mottled Gray Carpet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Clemensia umbrata","Little Shaded Lichen Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Clepsis consimilana","Privet Tortrix","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Clepsis peritana","Garden Tortrix","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Clostera albosigma","Sigmoid Prominent","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Clostera apicalis","Apical Prominent","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Coleophora glaucicolella","grey rush case-bearer","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Coleotechnites atrupictella","Spruce Micromoth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Colias eurytheme","Orange Sulphur","S5B (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Colias nastes","Labrador Sulphur","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Colias occidentalis","Western Sulphur","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Colias philodice eriphyle","Western Clouded Sulphur","S5 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Coptodisca arbutiella","","S2S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Cosmia praeacuta","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Cosmopterix fernaldella","Fernald's Cosmopterix Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Costaconvexa centrostrigaria","Bent-lined Carpet","S2S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Crambus bidens","Forked Grass-veneer","S2S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Crambus leachellus","Leach's Grass-veneer","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Crambus pascuella","Inlaid Grass-veneer","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Crambus perlella","Yellow Satin Veneer","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Crambus praefectellus","Common Grass-veneer","S3? (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Cucullia florea","Gray Hooded Owlet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Cyclophora pendulinaria","Sweetfern Geometer Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Cycnia tenera","Delicate Cycnia Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Dahlica triquetrella","Narrow Lichen Case-bearer","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Danaus plexippus","Monarch","S1?B (2020)","Red","Endangered (2016)","S1: Endangered (2023)"
"butterflies and moths (Lepidoptera)","Dargida procinctus","Girdler Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Dasychira grisefacta","Grizzled Tussock Moth","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Dasypyga alternosquamella","","S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Dasypyga sp.","","","","",""
"butterflies and moths (Lepidoptera)","Decantha stonda","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Deilephila elpenor","Elephant Hawkmoth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Desmia funeralis","Grape Leaffolder Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Diarsia esurialis","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Diarsia rosaria","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Digrammia neptaria","Dark-bordered Granite","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Dioryctria abietivorella","Evergreen Coneworm Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Dioryctria banksiella","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Dioryctria reniculelloides","Spruce Coneworm Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Dioryctria sp.","Conifer Coneworm Moths","","","",""
"butterflies and moths (Lepidoptera)","Ditula angustiorana","Red-barred Tortrix","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Drepana arcuata","Arched Hooktip Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Drepanulatrix monicaria","","S2S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Dysstroma citrata","Dark Marbled Carpet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Dysstroma sobria","10-spotted Rhododendron Moth","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eana argentana","Silver Shade","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Ecliptopera silaceata","Small Phoenix","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Ectropis crepuscularia","Small Engrailed","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Egira crucialis","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Egira hiemalis","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Egira perlubens","Brown Woodling","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Egira rubrica","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Egira simplex","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Elophila icciusalis","Pondside Crambid Moth","S3? (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Emmelina monodactyla","Morning-glory Plume Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Endrosis sarcitrella","White-shouldered House Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Ennomos alniaria","Canary-shouldered Thorn","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Ennomos magnaria","Maple Spanworm Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Epargyreus clarus californicus","Pacific Silver-spotted Skipper","S1 (2023)","Red","",""
"butterflies and moths (Lepidoptera)","Ephestiodes erythrella","","S3S5 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Ephestiodes gilvescentella","Dusky Raisin Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Epinotia albangulana","","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Epinotia hopkinsana","","S2S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Epinotia johnsonana","","S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Epinotia lomonana","","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Epinotia radicana","Red-striped Needleworm Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Epinotia subviridis","","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Epirrhoe alternata","Common Carpet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Epirrita autumnata","Autumnal Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Erannis vancouverensis","Vancouver Looper","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Erebia vidleri","Vidler's Alpine","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eremobina claudens","Dark-winged Quaker","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eriocrania semipurpurella","Purplish Birch-miner Moth","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Erynnis icelus","Dreamy Duskywing","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Erynnis persius","Persius Duskywing","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eucalantica polita","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Euchlaena johnsonaria","Johnson's Euchlaena Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Euchlaena tigrinaria","Mottled Euchlaena Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Euchloe ausonides ssp. mayi","May's Large Marble","S5 (2021)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eudonia commortalis","","S4? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eudonia echo","","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eudonia rectilinea","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eudonia spenceri","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eulia ministrana","Ferruginous Eulia Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eulithis destinata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eulithis propulsata","Currant Eulithis Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eulithis xylina","Northwestern Phoenix Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eulogia ochrifrontella","Broad-banded Eulogia Moth","S3S5 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Euphydryas anicia","Anicia Checkerspot","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Euphydryas chalcedona","Variable Checkerspot","","","",""
"butterflies and moths (Lepidoptera)","Euphydryas colon paradoxa","","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Euphydryas editha beani","Bean's Checkerspot","S5 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Euphyes vestris","Dun Skipper","S2S3 (2020)","Blue","Threatened (2013)","S1: Threatened (2003)"
"butterflies and moths (Lepidoptera)","Euphyia intermediata","American Sharp-angled Carpet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupithecia annulata","Larch Pug Moth","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupithecia cretaceata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupithecia graefii","Graef’s Pug","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupithecia johnstoni","","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupithecia maestosa","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupithecia miserulata","Common Eupithecia Moth","","","",""
"butterflies and moths (Lepidoptera)","Eupithecia olivacea","","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Eupithecia ravocostaliata","Tawny Eupithecia Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupithecia rotundopuncta","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupithecia unicolor","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Euplexia benesimilis","American Angle Shades","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eupsilia tristigmata","Three-spotted Sallow","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eurois astricta","Great Brown Dart","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Eurois occulta","Great Brocade","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Euthyatira pudens","Dogwood Thyatirid Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Euthyatira semicircularis","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Euxoa auxiliaris","Army Cutworm Moth","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Euxoa vetusta","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Euzophera semifuneralis","American Plum Borer Moth","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Evergestis funalis","","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Falcaria bilineata","Two-lined Hooktip","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Feralia comstocki","Comstock's Sallow","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Feralia deceptiva","Deceptive Sallow","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Fishia illocata","Wandering Brocade Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Fumibotys fumalis","Mint Root Borer Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Furcula scolopendrina","Zigzag Furcula Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Gabriola dyari","Dyar's Looper Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Galleria mellonella","Greater Wax Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Gazoryctra confusus","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Gazoryctra mathewi","Mathew's Ghost Moth","S2S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Gesneria centuriella","Smoky Gesneria","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Gillmeria pallidactyla","Yarrow Plume Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Glaucopsyche lygdamus","Silvery Blue","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Graphiphora augur","Soothsayer Dart","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Habrosyne scripta","Lettered Habrosyne Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hada sutrina","Sutrina Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hedya nubiferana","Green Budworm Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Hedya ochroleucana","Off-white Hedya Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Helcystogramma badia","","S4? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Heliothis phloxiphaga","Darker-spotted Straw Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hellinsia homodactylus","Plain Plume Moth","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Hellinsia stramineus","","","","",""
"butterflies and moths (Lepidoptera)","Helotropha reniformis","Kidney-spotted Rustic Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hemaris thetis","Rocky Mountain Clearwing","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Hemithea aestivaria","Common Emerald","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Henricus fuscodorsana","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Herpetogramma aquilonalis","","","","",""
"butterflies and moths (Lepidoptera)","Herpetogramma pertextalis","Bold-feathered Grass Moth","","","",""
"butterflies and moths (Lepidoptera)","Herpetogramma thestealis","Zigzag Herpetogramma Moth","S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Hesperia colorado oregonia","Oregon Branded Skipper","S2 (2021)","Red","Endangered (2013)","S1: Endangered (2023)"
"butterflies and moths (Lepidoptera)","Hesperumia latipennis","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hesperumia sulphuraria","Sulphur Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hofmannophila pseudospretella","Brown House Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Holcocera chalcofrontella","Sumac Micromoth","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Homorthodes communis","Alder Quaker","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Homorthodes fractura","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Homorthodes hanhami","","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hyalophora euryalus","Ceanothus Silk Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Hydriomena albifasciata","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hydriomena californiata","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hydriomena irata","Furious Carpet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hydriomena manzanita","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hydriomena marinata","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hydriomena speciosata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hyles gallii","Bedstraw Hawkmoth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Hyles lineata","White-lined Sphinx","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Hypena bijugalis","Dimorphic Snout","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hypena californica","California Cloverworm Moth","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hypena decorata","","S3 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hypena humuli","Hop Vine Snout","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hyphantria cunea","Fall Webworm Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Hyppa contrasta","Summer Hyppa Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Hyppa sp.","","","","",""
"butterflies and moths (Lepidoptera)","Hypsopygia costalis","Clover Hayworm Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Ianassa pallida","Pale Prominent","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Icaricia icarioides","Boisduval's Blue","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Idaea demissaria","Red-bordered Wave","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Idaea dimidiata","Single-dotted Wave","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Idia americalis","American Idia Moth","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Iridopsis emasculatum","Tarnished Gray","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Lacanobia nevadae","Nevada Arches Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lacanobia radix","Garden Arches Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lacanobia subjuncta","Speckled Cutworm Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lacinipolia cuneata","Cuneate Arches Moth","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lacinipolia patalis","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lacinipolia strigicollis","Collared Arches Moth","S4S5 (2020)","Not Reviewed","",""
