scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Bucephala islandica,Gmelin,Barrow's Goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Bucephala,islandica,,,,accepted,6994,Bucephala islandica,Bucephala islandica,permanent,
Buteo jamaicensis,Gmelin,Red-tailed Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Buteoninae,,Buteo,jamaicensis,,,,accepted,5212,Buteo jamaicensis,Buteo jamaicensis,permanent,
Buteo lagopus,Pontoppidan,Rough-legged Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Buteoninae,,Buteo,lagopus,,,,accepted,5200,Buteo lagopus,Buteo lagopus,winter,
Buteo platypterus,,Broad-winged Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Buteoninae,,Buteo,platypterus,,,,accepted,5227,Buteo platypterus,Buteo platypterus,passage migrant (rare),
Buteo regalis,Gray,Ferruginous Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Buteoninae,,Buteo,regalis,,,,accepted,5181,Buteo regalis,Buteo regalis,accidental,
Buteo swainsoni,Bonaparte,Swainson's Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Buteoninae,,Buteo,swainsoni,,,,accepted,5196,Buteo swainsoni,Buteo swainsoni,accidental,
Butorides virescens,L.,Green Heron,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,,Ardeidae,Ardeinae,,Butorides,virescens,,,,accepted,5020,Butorides virescens,Butorides virescens,breeding,
Calcarius lapponicus,L.,Lapland Longspur,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Calcariidae,,,Calcarius,lapponicus,,,,accepted,116840,Calcarius lapponicus,Calcarius lapponicus,passage migrant,
Calcarius pictus,Swainson,Smith's Longspur,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Calcariidae,,,Calcarius,pictus,,,,accepted,116841,Calcarius pictus,Calcarius pictus,accidental,
Calidris alba,Pallas,Sanderling,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,alba,,,,accepted,3849,Calidris alba,Calidris alba,winter,
Calidris alpina,L.,Dunlin,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,alpina,,,,accepted,3857,Calidris alpina,Calidris alpina,winter,
Calidris bairdii,Coues,Baird's Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,bairdii,,,,accepted,3851,Calidris bairdii,Calidris bairdii,passage migrant,
Calidris canutus,L.,Red Knot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,canutus,,,,accepted,3845,Calidris canutus,Calidris canutus,passage migrant (rare),
Calidris himantopus,,Stilt Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,himantopus,,,,accepted,3850,Calidris himantopus,Calidris himantopus,passage migrant (rare),
Calidris mauri,Cabanis,Western Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,mauri,,,,accepted,3855,Calidris mauri,Calidris mauri,passage migrant,
Calidris melanotos,Vieillot,Pectoral Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,melanotos,,,,accepted,3865,Calidris melanotos,Calidris melanotos,passage migrant,
Calidris minutilla,Vieillot,Least Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,minutilla,,,,accepted,3864,Calidris minutilla,Calidris minutilla,passage migrant,
Calidris ptilocnemis,Coues,Rock Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,ptilocnemis,,,,accepted,3839,Calidris ptilocnemis,Calidris ptilocnemis,winter,
Calidris pusilla,L.,Semipalmated Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,pusilla,,,,accepted,3862,Calidris pusilla,Calidris pusilla,passage migrant,
Calidris virgata,Gmelin,Surfbird,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,virgata,,,,accepted,339592,Calidris virgata,Calidris virgata,winter,
Callipepla californica,Shaw,California Quail,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Odontophoridae,,,Callipepla,californica,,,,accepted,1409,Callipepla californica,Callipepla californica,introduced,
Calypte anna,Lesson,Anna's Hummingbird,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,,Trochilidae,Trochilinae,Mellisugini,Calypte,anna,,,,accepted,6317,Calypte anna,Calypte anna,permanent,
Calypte costae,Bourcier,Costa's Hummingbird,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,,Trochilidae,Trochilinae,Mellisugini,Calypte,costae,,,,accepted,6316,Calypte costae,Calypte costae,accidental,
Cardellina canadensis,L.,Canada Warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Cardellina,canadensis,,,,accepted,145275,Cardellina canadensis,Cardellina canadensis,accidental,
Cardellina pusilla,Wilson,Wilson's Warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Cardellina,pusilla,,,,accepted,145276,Cardellina pusilla,Cardellina pusilla,breeding,
Cathartes aura,L.,Turkey Vulture,Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,,Cathartidae,,,Cathartes,aura,,,,accepted,4756,Cathartes aura,Cathartes aura,breeding,
Catharus fuscescens,Stephens,Veery,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Catharus,fuscescens,,,,accepted,12901,Catharus fuscescens,Catharus fuscescens,breeding (rare)?,
Catharus guttatus,Pallas,Hermit Thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Catharus,guttatus,,,,accepted,12890,Catharus guttatus,Catharus guttatus,permanent,
Catharus ustulatus,Nuttall,Swainson's Thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Catharus,ustulatus,,,,accepted,12878,Catharus ustulatus,Catharus ustulatus,breeding,
Cepphus columba,Pallas,Pigeon Guillemot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Alcidae,,,Cepphus,columba,,,,accepted,4415,Cepphus columba,Cepphus columba,permanent,
Cerorhinca monocerata,Pallas,Rhinoceros Auklet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Alcidae,,,Cerorhinca,monocerata,,,,accepted,4553,Cerorhinca monocerata,Cerorhinca monocerata,winter,
Certhia americana,Bonaparte,Brown Creeper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Certhiidae,,,Certhia,americana,,,,accepted,7458,Certhia americana,Certhia americana,permanent,
Chaetura vauxi,Townsend,Vaux's Swift,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,,Apodidae,,,Chaetura,vauxi,,,,accepted,6557,Chaetura vauxi,Chaetura vauxi,breeding,
Charadrius semipalmatus,Bonaparte,Semipalmated Plover,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Charadriidae,,,Charadrius,semipalmatus,,,,accepted,4817,Charadrius semipalmatus,Charadrius semipalmatus,passage migrant,
Charadrius vociferus,L.,Killdeer,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Charadriidae,,,Charadrius,vociferus,,,,accepted,4793,Charadrius vociferus,Charadrius vociferus,permanent,
Chondestes grammacus,Say,Lark Sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Chondestes,grammacus,,,,accepted,10479,Chondestes grammacus,Chondestes grammacus,accidental,
Chordeiles minor,J..R. Forster,Common Nighthawk,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,,Caprimulgidae,,,Chordeiles,minor,,,,accepted,19577,Chordeiles minor,Chordeiles minor,breeding,
Chroicocephalus philadelphia,Ord.,Bonaparte's Gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Laridae,Larinae,,Chroicocephalus,philadelphia,,,,accepted,144502,Chroicocephalus philadelphia,Chroicocephalus philadelphia,passage migrant,
Cinclus mexicanus,Swainson,American Dipper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Cinclidae,,,Cinclus,mexicanus,,,,accepted,7643,Cinclus mexicanus,Cinclus mexicanus,permanent,
Circus cyaneus,,Hen Harrier,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Accipitrinae,,Circus,cyaneus,,,,accepted,559064,Circus cyaneus,Circus cyaneus,permanent,
