Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Stereocaulon sasakii,Zahlbr.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,sasakii,,,,,,,reported,unobserved,1962-08-17,"W.B. Schofield, F. Boas",UBC,19567,,,,,,231709,LIC
Stereocaulon spathuliferum,Vain.,,chalk foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,spathuliferum,,,,native,S4 (2019),,reported,unobserved,1969-07-11,"Ohlsson, Karl E",MSC,573,,,,,,179816,LIC
Stereocaulon tomentosum,Fr.,,eyed foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,tomentosum,,,,native,S5 (2018),,reported,unobserved,1960-12-14,W.B. Schofield,WIS,12858,,,,,,179804,LIC
Stereocaulon vesuvianum,Pers.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,vesuvianum,,,,,,,reported,unobserved,1962-08-11,A.C. Archer,UBC,s.n.,,,,,,231714,LIC
Sticta limbata,(Sm.) Ach.,,silver-lined moon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Sticta,limbata,,,,native,S5 (2019),,reported,unobserved,1952-01-12,Adam F. Szczawinski,WTU,NA,,,,,,117888,LIC
Stigonema sp.,NA,,,Bacteria,Cyanobacteria,,,,,,Stigonematales,,,Stigonemataceae,,,Stigonema,NA,,,,,,,reported,unobserved,1991-12-29,W.B. Schofield,UBC,96767,,,,,,635994,LIC
Thamnolia vermicularis,(Sw.) Ach. ex Schaerer,,universal whiteworm,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Icmadophilaceae,,,Thamnolia,vermicularis,,,,native,S5 (2018),,confirmed,observed,1958-09-05,Adam F. Szczawinski,UBC,g4,,2020-08-16,judithofsquamish,https://www.inaturalist.org/observations/56905460,,1040929,LIC
Thelotrema lepadinum,(Ach.) Ach.,,none found,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,,Thelotrema,lepadinum,,,,native,S5 (2020),,confirmed,observed,1952-12-10,Adam F. Szczawinski,UBC,s.n.,,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18013155,,129667,LIC
Tholurna dissimilis,(Norman) Norman,,arboreal bottle-collection,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Tholurna,dissimilis,,,,native,S5 (2020),,reported,unobserved,1963-09-23,A. Archer,COLO,s.n.,,,,,,232575,LIC
Tingiopsidium isidiatum,(Degel.) E. Dahl,,blind olivette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Koerberiaceae,,,Tingiopsidium,isidiatum,,,,,,,reported,unobserved,1969-07-11,"Ohlsson, Karl E",MSC,593,,,,,reported as Vestergrenopsis isidiata,1045659,LIC
Trapelia corticola,Coppins & P. James,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Trapeliales,,,Trapeliaceae,,,Trapelia,corticola,,,,,,,reported,unobserved,2009-05-11,W. R. Buck,NY,54731,,,,,,232787,LIC
Trapeliopsis granulosa,(Hoffm.) Lumbsch,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Trapeliales,,,Trapeliaceae,,,Trapeliopsis,granulosa,,,,,,,reported,unobserved,1960-09-06,Peterson,UBC,BP53,,,,,,180430,LIC
Trapeliopsis pseudogranulosa,Coppins & P. James,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Trapeliales,,,Trapeliaceae,,,Trapeliopsis,pseudogranulosa,,,,,,,reported,unobserved,1974-06-19,C. Beil,UBC,537,,,,,,232795,LIC
Trapeliopsis viridescens,(Schrader) Coppins & P. James,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Trapeliales,,,Trapeliaceae,,,Trapeliopsis,viridescens,,,,,,,reported,unobserved,2009-05-11,W. R. Buck,NY,54766,,,,,,232797,LIC
Tuckermanopsis chlorophylla,(Willd.) Hale,,silver-lined wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Tuckermanopsis,chlorophylla,,,,native,S5 (2018),,reported,unobserved,1916-06,J. Macoun,UBC,434 a,,,,,,1019557,LIC
Tuckermanopsis orbata,(Nyl.) M.J. Lai,,shape-shifting wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Tuckermanopsis,orbata,,,,native,S5 (2018),,reported,unobserved,1958-12-28,?,UBC,s.n.,,,,,,813868,LIC
Tuckermanopsis platyphylla,(Tuck.) Gyeln,,broad wrinkle lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Tuckermanopsis,platyphylla,,,,native,S5 (2018),,confirmed,observed,1968-12-01,G. F. Otto,LSU,2323,,2020-03-24,gwenlh,https://www.inaturalist.org/observations/40855241,,1019558,LIC
Tuckermanopsis subalpina,Imshaug,,huckleberry icelandmoss,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Tuckermanopsis,subalpina,,,,native,S5 (2018),,reported,unobserved,1981-08-05,Ingvar K�rnefelt,LD,NA,,,,,,1019562,LIC
Umbilicaria angulata,Tuck.,,starred rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,angulata,,,,native,S4S5 (2019),,reported,unobserved,1964-10-16,W.B. Schofield,UBC,26072,,,,,,182517,LIC
Umbilicaria cylindrica,(L.) Delise ex Duby,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,cylindrica,,,,,,,reported,unobserved,1961-07-15,A.C. Archer,UBC,s.n.,,,,,,233242,LIC
Umbilicaria deusta,(L.) Baumg.,,peppered rock tripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,deusta,,,,native,S5 (2019),,confirmed,observed,1962-08-15,A.C. Archer,UBC,s.n.,,2020-01-04,rambryum,https://www.inaturalist.org/observations/37290167,,182503,LIC
Umbilicaria hyperborea,(Ach.) Hoffm.,,blistered rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,hyperborea,,,,native,S5 (2018),,reported,unobserved,1961-08-25,A.C. Archer,UBC,s.n.,,,,,,125052,LIC
Umbilicaria phaea,Tuck.,,emery rocktripe lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,phaea,,,,native,S5 (2019),,confirmed,observed,1978-02-11,B. Ryan,WTU,3402,,2018-09-04,r_r_r_,https://www.inaturalist.org/observations/16514860,,125055,LIC
Umbilicaria polyphylla,(L.) Baumg.,,petalled rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,polyphylla,,,,native,S5 (2019),,reported,unobserved,1962-10-07,W.B. Schofield,UBC,20205,,,,,,125058,LIC
Umbilicaria polyrrhiza,(L.) Fr.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,polyrrhiza,,,,,,,reported,unobserved,1952-12-10,"Adam F. Szczawinski, G. Reid",UBC,s.n.,,,,,,936572,LIC
Umbilicaria proboscidea,(L.) Schrad.,,greater salted rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,proboscidea,,,,native,S5 (2019),,reported,unobserved,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,,,,,,,233252,LIC
Umbilicaria torrefacta,(G. Weber) Ach,,perforated rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,torrefacta,,,,native,S5 (2018),,reported,unobserved,1961-07-15,A.C. Archer,UBC,s.n.,,,,,,233255,LIC
