Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Phylum_std,status_std,historical_year,observed_year,new_year_std,contribution_year,Observer_std,Collector_std,iNat_link,iNat_ID,Historical_metadata,Phylum_label
Citharichthys stigmaeus,"Jordan & Gilbert, 1882",,speckled sanddab,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Paralichthyidae,,,Citharichthys,stigmaeus,NA,,NA,native,SNR,,confirmed,observed,1993-05-09,Andy Lamb,PMLS,NA,NA,2016-07-05,Karolle Wall,iNat:4014940,,47526,FIS,NA,confirmed,Citharichthys stigmaeus,Chordata,confirmed,1993,2016,NA,2016,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/4014940,4014940, (PMLS),Chordates (Chordata)
Lepidopsetta bilineata,"(Ayres, 1855)",,rock sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Lepidopsetta,bilineata,NA,,NA,native,SNR,,confirmed,observed,1985-12-07,Andy Lamb,PMLS,NA,NA,2022-06-05,"Dave ""Zeuss"" Cochrane",iNat:120454720,,183018,FIS,NA,confirmed,Lepidopsetta bilineata,Chordata,confirmed,1985,2022,NA,2022,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/120454720,120454720, (PMLS),Chordates (Chordata)
Lyopsetta exilis,"(Jordan & Gilbert, 1880)",,slender sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Lyopsetta,exilis,NA,,NA,native,SNR,,confirmed,observed,2008-05-24,Jackson W.F. Chu,Chu (2010),NA,NA,2007-10-23,Jackson W.F. Chu,iNat:59908556,,104926,FIS,NA,confirmed,Lyopsetta exilis,Chordata,confirmed,2008,2007,NA,2007,Jackson W.F. Chu,Jackson W.F. Chu,https://www.inaturalist.org/observations/59908556,59908556, (Chu (2010)),Chordates (Chordata)
Parophrys vetulus,"Girard, 1854",,English sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Parophrys,vetulus,NA,,NA,native,SNR,,reported,unobserved,1982-06-09,J. M. Ellis,CMN,CMNFI 1985-0088.1,NA,NA,NA,NA,,117545,FIS,NA,reported,Parophrys vetulus,Chordata,reported,1982,NA,NA,NA,NA,J. M. Ellis,NA,NA," (CMN, CMNFI 1985-0088.1)",Chordates (Chordata)
Platichthys stellatus,"(Pallas, 1787)",,starry flounder,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Platichthys,stellatus,NA,,NA,native,SNR,,confirmed,observed,1982-06-09,J. M. Ellis,CMN,CMNFI 1985-0088.2,NA,2020-08-02,pacificwhitesideddolphin,iNat:55397670,,83170,FIS,NA,confirmed,Platichthys stellatus,Chordata,confirmed,1982,2020,NA,2020,pacificwhitesideddolphin,J. M. Ellis,https://www.inaturalist.org/observations/55397670,55397670," (CMN, CMNFI 1985-0088.2)",Chordates (Chordata)
Pleuronichthys coenosus,"Girard, 1854",,C-O sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Pleuronichthys,coenosus,NA,,NA,native,SNR,,confirmed,observed,1994-02-27,Andy Lamb,PMLS,NA,NA,2013-06-22,Karolle Wall,iNat:4015105,,228393,FIS,NA,confirmed,Pleuronichthys coenosus,Chordata,confirmed,1994,2013,NA,2013,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/4015105,4015105, (PMLS),Chordates (Chordata)
Oncorhynchus clarkii,"(Richardson, 1836)",,cutthroat trout,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,clarkii,NA,,NA,native,SNR,,reported,unobserved,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",NA,NA,NA,NA,NA,,68075,FIS,NA,reported,Oncorhynchus clarkii,Chordata,reported,2000,NA,NA,NA,NA,Keith Erickson,NA,NA," (1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC)",Chordates (Chordata)
Oncorhynchus gorbuscha,"(Walbaum, 1792)",,pink salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,gorbuscha,NA,,NA,native,SNR,,new 2022,observed,NA,NA,NA,NA,NA,2022-05-28,Andrew Simon,iNat:119177597,,107570,FIS,2022,new,Oncorhynchus gorbuscha,Chordata,new,NA,2022,2022,2022,Andrew Simon,NA,https://www.inaturalist.org/observations/119177597,119177597,,Chordates (Chordata)
Oncorhynchus keta,"(Walbaum, 1792)",,chum salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,keta,NA,,NA,native,SNR,,reported,unobserved,2013-05-17,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,107572,FIS,NA,reported,Oncorhynchus keta,Chordata,reported,2013,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Oncorhynchus kisutch,"(Walbaum, 1792)",,coho salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,kisutch,NA,,NA,native,SNR,,confirmed,observed,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",NA,NA,2017-05-29,Karolle Wall,iNat:7647282,,53692,FIS,NA,confirmed,Oncorhynchus kisutch,Chordata,confirmed,2000,2017,NA,2017,Karolle Wall,Keith Erickson,https://www.inaturalist.org/observations/7647282,7647282," (1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC)",Chordates (Chordata)
Oncorhynchus tshawytscha,"(Walbaum, 1792)",,chinook salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,tshawytscha,NA,,NA,native,SNR,,new 2017,observed,NA,NA,NA,NA,NA,2017-02-12,Christina Robinson,iNat:5101395,,54191,FIS,2017,new,Oncorhynchus tshawytscha,Chordata,new,NA,2017,2017,2017,Christina Robinson,NA,https://www.inaturalist.org/observations/5101395,5101395,,Chordates (Chordata)
Agonopsis vulsa,"(Jordan & Gilbert, 1880)",,northern spearnose poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Agoninae,,Agonopsis,vulsa,NA,,NA,native,SNR,,confirmed,observed,1995-02-25,Charlie Gibbs,PMLS,NA,NA,2008-05-22,Jackson W.F. Chu,iNat:116447577,,180027,FIS,NA,confirmed,Agonopsis vulsa,Chordata,confirmed,1995,2008,NA,2008,Jackson W.F. Chu,Charlie Gibbs,https://www.inaturalist.org/observations/116447577,116447577, (PMLS),Chordates (Chordata)
Odontopyxis trispinosa,"Lockington, 1880",,pygmy poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Bathyagoninae,,Odontopyxis,trispinosa,NA,,NA,native,SNR,,confirmed,observed,2006-06-30,Andy Lamb,PMLS,NA,NA,2017-07-25,Karolle Wall,iNat:7238958,,226210,FIS,NA,confirmed,Odontopyxis trispinosa,Chordata,confirmed,2006,2017,NA,2017,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/7238958,7238958, (PMLS),Chordates (Chordata)
Podothecus accipenserinus,"(Tilesius, 1813)",,sturgeon poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Agoninae,,Podothecus,accipenserinus,NA,,NA,native,SNR,,confirmed,observed,1995-02-23,Charlie Gibbs,PMLS,NA,NA,2023-09-03,"Dave ""Zeuss"" Cochrane",iNat:181672660,,228455,FIS,NA,confirmed,Podothecus accipenserinus,Chordata,confirmed,1995,2023,NA,2023,"Dave ""Zeuss"" Cochrane",Charlie Gibbs,https://www.inaturalist.org/observations/181672660,181672660, (PMLS),Chordates (Chordata)
Artedius fenestralis,"Jordan & Gilbert, 1883",,padded sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,fenestralis,NA,,NA,native,SNR,,confirmed,observed,1968-08-02,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2976334,,117527,FIS,NA,confirmed,Artedius fenestralis,Chordata,confirmed,1968,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2976334,2976334, (PMLS),Chordates (Chordata)
Artedius harringtoni,"(Starks, 1896)",,scalyhead sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,harringtoni,NA,,NA,native,SNR,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2015-01-01,Peter Luckham,iNat:2797281,,117528,FIS,NA,confirmed,Artedius harringtoni,Chordata,confirmed,1969,2015,NA,2015,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2797281,2797281, (PMLS),Chordates (Chordata)
Artedius lateralis,"(Girard, 1854)",,smoothhead sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,lateralis,NA,,NA,native,SNR,,confirmed,observed,1985-12-08,Charlie Gibbs,PMLS,NA,NA,2020-08-13,Andrew Simon,iNat:56373896,,117529,FIS,NA,confirmed,Artedius lateralis,Chordata,confirmed,1985,2020,NA,2020,Andrew Simon,Charlie Gibbs,https://www.inaturalist.org/observations/56373896,56373896, (PMLS),Chordates (Chordata)
Asemichthys taylori,"Gilbert, 1912",,spinynose sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Asemichthys,taylori,NA,,NA,native,SNR,,confirmed,observed,1973-09-20,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2975888,,172639,FIS,NA,confirmed,Asemichthys taylori,Chordata,confirmed,1973,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2975888,2975888, (PMLS),Chordates (Chordata)
Chitonotus pugetensis,"(Steindachner, 1876)",,roughback sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Chitonotus,pugetensis,NA,,NA,native,SNR,,reported,unobserved,1985-12-07,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,216746,FIS,NA,reported,Chitonotus pugetensis,Chordata,reported,1985,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Enophrys bison,"(Girard, 1854)",,buffalo sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Enophrys,bison,NA,,NA,native,SNR,,confirmed,observed,1981-05-31,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2976525,,117536,FIS,NA,confirmed,Enophrys bison,Chordata,confirmed,1981,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2976525,2976525, (PMLS),Chordates (Chordata)
Hemilepidotus hemilepidotus,"(Tilesius, 1811)",,red Irish lord,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Hemilepidotus,hemilepidotus,NA,,NA,native,SNR,,confirmed,observed,1985-07-29,Andy Lamb,PMLS,NA,NA,2008-11-09,Neil McDaniel,iNat:182377978,,221165,FIS,NA,confirmed,Hemilepidotus hemilepidotus,Chordata,confirmed,1985,2008,NA,2008,Neil McDaniel,Andy Lamb,https://www.inaturalist.org/observations/182377978,182377978, (PMLS),Chordates (Chordata)
Icelinus tenuis,"Gilbert, 1890",,spotfin sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Icelinus,tenuis,NA,,NA,native,SNR,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,222146,FIS,NA,reported,Icelinus tenuis,Chordata,reported,1971,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Jordania zonope,"Starks, 1895",,longfin sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Jordania,zonope,NA,,NA,native,SNR,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2976049,,222465,FIS,NA,confirmed,Jordania zonope,Chordata,confirmed,1969,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2976049,2976049, (PMLS),Chordates (Chordata)
Leptocottus armatus,"Girard, 1854",,Pacific staghorn sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Leptocottus,armatus,NA,,NA,native,SNR,,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.3,NA,2022-05-28,Andrew Simon,iNat:119177606,,49163,FIS,NA,confirmed,Leptocottus armatus,Chordata,confirmed,1982,2022,NA,2022,Andrew Simon,K.D. Genereux,https://www.inaturalist.org/observations/119177606,119177606," (CMN, CMNFI 1985-0087.3)",Chordates (Chordata)
Myoxocephalus polyacanthocephalus,"(Pallas, 1814)",,great sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Myoxocephalus,polyacanthocephalus,NA,,NA,native,SNR,,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.4,NA,2018-08-10,Karolle Wall,iNat:15702534,,47640,FIS,NA,confirmed,Myoxocephalus polyacanthocephalus,Chordata,confirmed,1982,2018,NA,2018,Karolle Wall,K.D. Genereux,https://www.inaturalist.org/observations/15702534,15702534," (CMN, CMNFI 1985-0087.4)",Chordates (Chordata)
Scorpaenichthys marmoratus,"(Ayres, 1854)",,cabezon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Scorpaenichthys,marmoratus,NA,,NA,native,SNR,,confirmed,observed,1973-09-20,Andy Lamb,PMLS,NA,NA,2023-08-05,Quinn Galbraith-Robertson,iNat:177077126,,47638,FIS,NA,confirmed,Scorpaenichthys marmoratus,Chordata,confirmed,1973,2023,NA,2023,Quinn Galbraith-Robertson,Andy Lamb,https://www.inaturalist.org/observations/177077126,177077126, (PMLS),Chordates (Chordata)
Synchirus gilli,"Bean, 1890",,manacled sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Synchirus,gilli,NA,,NA,native,SNR,,reported,unobserved,1996-09-28,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,232130,FIS,NA,reported,Synchirus gilli,Chordata,reported,1996,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Triglops macellus,"(Bean, 1884)",,roughspine sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Triglops,macellus,NA,,NA,native,SNR,,reported,unobserved,2013-10-20,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,232944,FIS,NA,reported,Triglops macellus,Chordata,reported,2013,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Nautichthys oculofasciatus,"(Girard, 1858)",,sailfin sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hemitripteridae,,,Nautichthys,oculofasciatus,NA,,NA,native,SNR,,confirmed,observed,1995-02-24,Andy Lamb,PMLS,NA,NA,2015-04-15,Karolle Wall,iNat:3706257,,183019,FIS,NA,confirmed,Nautichthys oculofasciatus,Chordata,confirmed,1995,2015,NA,2015,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/3706257,3706257, (PMLS),Chordates (Chordata)
Hexagrammos decagrammus,"(Pallas, 1810)",,kelp greenling,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,,Hexagrammos,decagrammus,NA,,NA,native,SNR,,confirmed,observed,1982-06-08,C. E. Kasserra,CMN,CMNFI 1985-0086.4,NA,2017-07-07,Karolle Wall,iNat:6967042,,68596,FIS,NA,confirmed,Hexagrammos decagrammus,Chordata,confirmed,1982,2017,NA,2017,Karolle Wall,C. E. Kasserra,https://www.inaturalist.org/observations/6967042,6967042," (CMN, CMNFI 1985-0086.4)",Chordates (Chordata)
Hexagrammos stelleri,"Tilesius, 1810",,whitespotted greenling,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,,Hexagrammos,stelleri,NA,,NA,native,SNR,,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.2,NA,2016-07-05,Karolle Wall,iNat:4015063,,186849,FIS,NA,confirmed,Hexagrammos stelleri,Chordata,confirmed,1982,2016,NA,2016,Karolle Wall,K.D. Genereux,https://www.inaturalist.org/observations/4015063,4015063," (CMN, CMNFI 1985-0087.2)",Chordates (Chordata)
Ophiodon elongatus,"Girard, 1854",,lingcod,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Ophiodontinae,,Ophiodon,elongatus,NA,,NA,native,SNR,,confirmed,observed,1968-08-02,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2976120,,52539,FIS,NA,confirmed,Ophiodon elongatus,Chordata,confirmed,1968,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2976120,2976120, (PMLS),Chordates (Chordata)
Oxylebius pictus,"Gill, 1862",,painted greenling,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Oxylebiinae,,Oxylebius,pictus,NA,,NA,native,SNR,,confirmed,observed,1971-08-21,Andy Lamb,PMLS,NA,NA,2019-05-05,Emily Adamczyk,iNat:24797825,,48452,FIS,NA,confirmed,Oxylebius pictus,Chordata,confirmed,1971,2019,NA,2019,Emily Adamczyk,Andy Lamb,https://www.inaturalist.org/observations/24797825,24797825, (PMLS),Chordates (Chordata)
Liparis dennyi,"Jordan & Starks, 1895",,marbled snailfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,,Liparis,dennyi,NA,,NA,native,SNR,,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,NA,NA,NA,NA,NA,,180028,FIS,NA,reported,Liparis dennyi,Chordata,reported,1995,NA,NA,NA,NA,Charlie Gibbs,NA,NA, (PMLS),Chordates (Chordata)
Liparis pulchellus,"Ayres, 1855",,showy snailfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,,Liparis,pulchellus,NA,,NA,native,SNR,,confirmed,observed,1995-02-23,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2976683,,223899,FIS,NA,confirmed,Liparis pulchellus,Chordata,confirmed,1995,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2976683,2976683, (PMLS),Chordates (Chordata)
Rhamphocottus richardsonii,"Günther, 1874",,grunt sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Rhamphocottidae,,,Rhamphocottus,richardsonii,NA,,NA,native,SNR,,confirmed,observed,1981-05-31,Andy Lamb,PMLS,NA,NA,2010-07-14,Karolle Wall,iNat:4052031,,51881,FIS,NA,confirmed,Rhamphocottus richardsonii,Chordata,confirmed,1981,2010,NA,2010,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/4052031,4052031, (PMLS),Chordates (Chordata)
Sebastes auriculatus,"Girard, 1854",,brown rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,auriculatus,NA,,NA,native,SNR,,reported,unobserved,1973-09-20,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,117541,FIS,NA,reported,Sebastes auriculatus,Chordata,reported,1973,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Sebastes caurinus,"Richardson, 1844",,copper rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,caurinus,NA,,NA,native,SNR,,confirmed,observed,1968-08-02,Andy Lamb,PMLS,NA,NA,2016-05-06,Karolle Wall,iNat:3707593,,68597,FIS,NA,confirmed,Sebastes caurinus,Chordata,confirmed,1968,2016,NA,2016,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/3707593,3707593, (PMLS),Chordates (Chordata)
Sebastes diploproa,"(Gilbert, 1890)",,splitnose rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,diploproa,NA,,NA,native,SNR,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,64448,FIS,NA,reported,Sebastes diploproa,Chordata,reported,1971,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Sebastes elongatus,"Ayres, 1859",,greenstriped rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,elongatus,NA,,NA,native,SNR,,confirmed,observed,2008-05-22,Jackson W.F. Chu,Chu (2010),NA,NA,2008-05-22,Jackson W.F. Chu,iNat:116334865,,230755,FIS,NA,confirmed,Sebastes elongatus,Chordata,confirmed,2008,2008,NA,2008,Jackson W.F. Chu,Jackson W.F. Chu,https://www.inaturalist.org/observations/116334865,116334865, (Chu (2010)),Chordates (Chordata)
Sebastes emphaeus,"(Starks, 1911)",,Puget Sound rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,emphaeus,NA,,NA,native,SNR,,confirmed,observed,1993-08-16,Andy Lamb,PMLS,NA,NA,2015-05-16,Peter Luckham,iNat:2854781,,64468,FIS,NA,confirmed,Sebastes emphaeus,Chordata,confirmed,1993,2015,NA,2015,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2854781,2854781, (PMLS),Chordates (Chordata)
Sebastes flavidus,"(Ayres, 1862)",,yellowtail rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,flavidus,NA,,NA,native,SNR,,confirmed,observed,1971-08-21,Andy Lamb,PMLS,NA,NA,2022-05-28,Andrew Simon,iNat:119177618,,64477,FIS,NA,confirmed,Sebastes flavidus,Chordata,confirmed,1971,2022,NA,2022,Andrew Simon,Andy Lamb,https://www.inaturalist.org/observations/119177618,119177618, (PMLS),Chordates (Chordata)
Sebastes maliger,"(Jordan & Gilbert, 1880)",,quillback rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,maliger,NA,,NA,native,SNR,,confirmed,observed,1982-06-08,C. E. Kasserra,CMN,CMNFI 1985-0086.2,NA,2008-05-22,Jackson W.F. Chu,iNat:116447563,,63386,FIS,NA,confirmed,Sebastes maliger,Chordata,confirmed,1982,2008,NA,2008,Jackson W.F. Chu,C. E. Kasserra,https://www.inaturalist.org/observations/116447563,116447563," (CMN, CMNFI 1985-0086.2)",Chordates (Chordata)
Sebastes melanops,"Girard, 1856",,black rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,melanops,NA,,NA,native,SNR,,reported,unobserved,1993-08-16,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,47760,FIS,NA,reported,Sebastes melanops,Chordata,reported,1993,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Sebastes nigrocinctus,"Ayres, 1859",,tiger rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,nigrocinctus,NA,,NA,native,SNR,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,230757,FIS,NA,reported,Sebastes nigrocinctus,Chordata,reported,1971,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Sebastes proriger,"(Jordan & Gilbert, 1880)",,redstripe rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,proriger,NA,,NA,native,SNR,,confirmed,observed,2008-05-22,Jackson W.F. Chu,Chu (2010),NA,NA,2008-05-22,Jackson W.F. Chu,iNat:116447573,,64457,FIS,NA,confirmed,Sebastes proriger,Chordata,confirmed,2008,2008,NA,2008,Jackson W.F. Chu,Jackson W.F. Chu,https://www.inaturalist.org/observations/116447573,116447573, (Chu (2010)),Chordates (Chordata)
Sebastes ruberrimus,"(Cramer, 1895)",,yellow-eye rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,ruberrimus,NA,,NA,native,SNR,,confirmed,observed,1982-06-08,C. E. Kasserra,CMN,CMNFI 1985-0086.3,NA,2008-05-24,Jackson W.F. Chu,iNat:116493788,,63695,FIS,NA,confirmed,Sebastes ruberrimus,Chordata,confirmed,1982,2008,NA,2008,Jackson W.F. Chu,C. E. Kasserra,https://www.inaturalist.org/observations/116493788,116493788," (CMN, CMNFI 1985-0086.3)",Chordates (Chordata)
Syngnathus leptorhynchus,"Girard, 1854",,kelp pipefish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Syngnathiformes,,,Syngnathidae,Syngnathinae,,Syngnathus,californiensis,NA,,NA,native,SNR,,confirmed,observed,1985-12-07,Andy Lamb,PMLS,NA,NA,2016-07-03,Paz Touchburn,iNat:3612908,reported Syngnathus leptorhynchus,117570,FIS,NA,confirmed,Syngnathus leptorhynchus,Chordata,confirmed,1985,2016,NA,2016,Paz Touchburn,Andy Lamb,https://www.inaturalist.org/observations/3612908,3612908, (PMLS),Chordates (Chordata)
Anthopleura artemisia,"(Pickering in Dana, 1846)",,burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Anthopleura,artemisia,NA,,NA,native,unlisted,,confirmed,observed,1996-09-29,Charlie Gibbs,PMLS,NA,NA,2009-07-16,Karolle Wall,iNat:97205560,,51658,CNI,NA,confirmed,Anthopleura artemisia,Cnidaria,confirmed,1996,2009,NA,2009,Karolle Wall,Charlie Gibbs,https://www.inaturalist.org/observations/97205560,97205560, (PMLS),"Jellyfish, corals & anemones (Cnidaria)"
