Intended disposition,institutionCode,catalogNumber,scientificName,occurrenceRemarks,habitat,locality,Lat,Long,eventDate,recordedBy,identifiedBy,Date identified,Notes,Image,Checked morphology,,,,,PCR Primer,Date,Result,PCR Primer,Date,Result,PCR Primer,Date,Result,PCR Primer,Date,Result
UBC,SCL,17903,Scytosiphon lomentaria,,drift,N end Retreat Cove,,,2023-05-28,S.C. Lindstrom,S.C. Lindstrom,2023-05-28,,,"We continue to identify this species as S. lomentaria although it cannot be distinguished morphologically from S. shibazakiorum, a species recently recognized to also occur in BC.",,,,,,,,,,,,,,,,
UBC,SCL,17876,Sparlingia pertusa,,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,silica gel voucher,Scan,Yes,,,,,,,,,,,,,,,,
,,,Sparlingia pertusa,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,,,,,,,,,,,,,,,,,
UBC,SCL,17881,Symphyocladiella gracilis,,11.2 m @ 10:45,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,Scan,Keys to S. gracilis but could be S. rosea,,,,,,,,,,,,,,,,
,,,Symphyocladiella gracilis,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,,,,,,,,,,,,,,,,,
UBC,SCL,17902,Ulva australis,,high intertidal barnacles on sandstone,N end Retreat Cove,,,2023-05-28,S.C. Lindstrom,Hakai sequencing,2023-10-16,silica gel voucher,Scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17862,Ulva expansa,,"bedrock,",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-09-09,"Bags 026, 027; originally ID'd as Ulvaria obscrua var. blyttii; 2 sheets",,Clearly distromatic!  Description in Lindstrom et al. 2021 accords with this specimen.,,,,,,,,,,,,,,,,
UBC,SCL,17900,Ulva intestinalis,,"high intertidal seepage area, on cobble/pebble",N end Retreat Cove,,,2023-05-28,S.C. Lindstrom,Hakai sequencing,2023-10-16,silica gel voucher,Scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17863,Ulva linza,,"bedrock, 5.0 m @ 15:08",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 034,,Yes,,,,,,,,,,,,,,,,
,,,Ulvaria obscura var. blyttii,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,This may be Ulva expansa!,,,,,,,,,,,,,,,,
UBC,SCL,17905,Wildemania cuneiformis,,drift,N end Retreat Cove,,,2023-05-28,S.C. Lindstrom,S.C. Lindstrom,2023-05-28,fragment,,OK,,,,,,,,,,,,,,,,
