"","Family","Full.Species","Infra.taxa","Habitat","Islands","Island.Size..min..max.","Typical.Cover","Date.First.Seen","Date.Last.Seen","Notes","iNat_taxon","iNat_Family"
"389","Cyperaceae","Schoenoplectus tabernaemontani (C.C. Gmel.) Palla","","Wetland",3,NA,NA,NA,NA,NA,"Schoenoplectus tabernaemontani","Cyperaceae"
"390","Cyperaceae","Scirpus atrocinctus Fernald","","Wetland",1,NA,NA,NA,NA,NA,"Scirpus atrocinctus","Cyperaceae"
"391","Cyperaceae","Scirpus cyperinus (L.) Kunth*","","Wetland",1,NA,NA,NA,NA,NA,"Scirpus cyperinus","Cyperaceae"
"392","Cyperaceae","Scirpus microcarpus J. Presl & C. Presl","","Wetland",5,NA,NA,NA,NA,NA,"Scirpus microcarpus","Cyperaceae"
"393","Cystopteridaceae","Cystopteris fragilis (L.) Bernh.","","Forest",7,NA,NA,NA,NA,NA,"Cystopteris fragilis","Cystopteridaceae"
"394","Dennstaedtiaceae","Pteridium aquilinum (L.) Kuhn","var. pubescens","Forest",30,NA,NA,NA,NA,NA,"Pteridium aquilinum","Dennstaedtiaceae"
"395","Dipsacaceae","Dipsacus fullonum L.*","","Open",5,NA,NA,NA,NA,NA,"Dipsacus fullonum","Caprifoliaceae"
"396","Droseraceae","Drosera rotundifolia L.","","Wetland",3,NA,NA,NA,NA,NA,"Drosera rotundifolia","Droseraceae"
"397","Dryopteridaceae","Dryopteris arguta (Kaulf.) Maxon","","Forest",1,NA,NA,NA,NA,NA,"Dryopteris arguta","Dryopteridaceae"
"398","Dryopteridaceae","Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy","","Forest",14,NA,NA,NA,NA,NA,"Dryopteris expansa","Dryopteridaceae"
"399","Dryopteridaceae","Polystichum munitum (Kaulf.) C. Presl","","Forest",50,NA,NA,NA,NA,NA,"Polystichum munitum","Dryopteridaceae"
"400","Elaeagnaceae","Elaeagnus umbellata Thunb.*","","Open",1,NA,NA,NA,NA,NA,"Elaeagnus umbellata","Elaeagnaceae"
"401","Elaeagnaceae","Shepherdia canadensis (L.) Nutt.","","Forest",21,NA,NA,NA,NA,NA,"Shepherdia canadensis","Elaeagnaceae"
"402","Equisetaceae","Equisetum arvense L.","","Open",13,NA,NA,NA,NA,NA,"Equisetum arvense","Equisetaceae"
"403","Equisetaceae","Equisetum ferrissii Clute","","Open",1,NA,NA,NA,NA,NA,"Equisetum × ferrissii","Equisetaceae"
"404","Equisetaceae","Equisetum fluviatile L.","","Wetland",3,NA,NA,NA,NA,NA,"Equisetum fluviatile","Equisetaceae"
"405","Equisetaceae","Equisetum hyemale L.","ssp. affine","Wetland",9,NA,NA,NA,NA,NA,"Equisetum hyemale","Equisetaceae"
"406","Equisetaceae","Equisetum palustre L.","","Wetland",5,NA,NA,NA,NA,NA,"Equisetum palustre","Equisetaceae"
"407","Equisetaceae","Equisetum telmateia Ehrh.","ssp. braunii","Wetland",13,NA,NA,NA,NA,NA,"Equisetum telmateia","Equisetaceae"
"408","Ericaceae","Allotropa virgata Torr. & A. Gray","","Forest",2,NA,NA,NA,NA,NA,"Allotropa virgata","Ericaceae"
"409","Ericaceae","Arbutus menziesii Pursh","","Forest",62,NA,NA,NA,NA,NA,"Arbutus menziesii","Ericaceae"
"410","Ericaceae","Arctostaphylos columbiana Piper","","Open",2,NA,NA,NA,NA,NA,"Arctostaphylos columbiana","Ericaceae"
"411","Ericaceae","Arctostaphylos media Greene","","Open",1,NA,NA,NA,NA,NA,"Arctostaphylos × media","Ericaceae"
"412","Ericaceae","Arctostaphylos uva-ursi (L.) Spreng.","","Open",7,NA,NA,NA,NA,NA,"Arctostaphylos uva-ursi","Ericaceae"
"413","Ericaceae","Chimaphila menziesii (R. Br.) Spreng.","","Forest",3,NA,NA,NA,NA,NA,"Chimaphila menziesii","Ericaceae"
"414","Ericaceae","Chimaphila umbellata (L.) W.P.C. Barton","ssp. umellata","Forest",4,NA,NA,NA,NA,NA,"Chimaphila umbellata","Ericaceae"
"415","Ericaceae","Gaultheria shallon Pursh","","Forest",37,NA,NA,NA,NA,NA,"Gaultheria shallon","Ericaceae"
"416","Ericaceae","Kalmia microphylla (Hook.) A. Heller","var. occidentalis","Wetland",3,NA,NA,NA,NA,NA,"Kalmia microphylla","Ericaceae"
"417","Ericaceae","Moneses uniflora (L.) A. Gray","","Forest",1,NA,NA,NA,NA,NA,"Moneses uniflora","Ericaceae"
"418","Ericaceae","Monotropa hypopitys L.","","Forest",2,NA,NA,NA,NA,NA,"Monotropa hypopitys","Ericaceae"
"419","Ericaceae","Monotropa uniflora L.","","Forest",13,NA,NA,NA,NA,NA,"Monotropa uniflora","Ericaceae"
"420","Ericaceae","Orthilia secunda (L.) House","","Forest",2,NA,NA,NA,NA,NA,"Orthilia secunda","Ericaceae"
"421","Ericaceae","Pterospora andromedea Nutt.","","Forest",2,NA,NA,NA,NA,NA,"Pterospora andromedea","Ericaceae"
"422","Ericaceae","Pyrola aphylla Sm.","","Forest",1,NA,NA,NA,NA,NA,"Pyrola aphylla","Ericaceae"
"423","Ericaceae","Pyrola asarifolia Michx.","ssp. asarifolia, ssp. bracteata","Forest",4,NA,NA,NA,NA,NA,"Pyrola asarifolia","Ericaceae"
"424","Ericaceae","Pyrola chlorantha Sw.","","Forest",2,NA,NA,NA,NA,NA,"Pyrola chlorantha","Ericaceae"
"425","Ericaceae","Pyrola dentata Sm.","","Forest",1,NA,NA,NA,NA,NA,"Pyrola dentata","Ericaceae"
"426","Ericaceae","Pyrola minor L.","","Forest",1,NA,NA,NA,NA,NA,"Pyrola minor","Ericaceae"
"427","Ericaceae","Pyrola picta Sm.","","Forest",3,NA,NA,NA,NA,NA,"Pyrola picta","Ericaceae"
"428","Ericaceae","Rhododendron columbianum (Piper) Harmaja","","Forest",1,NA,NA,NA,NA,NA,"Rhododendron columbianum","Ericaceae"
"429","Ericaceae","Rhododendron groenlandicum (Oeder) Kron & Judd","","Forest",5,NA,NA,NA,NA,NA,"Rhododendron groenlandicum","Ericaceae"
"430","Ericaceae","Rhododendron macrophyllum D. Don ex G. Don","","Forest",1,NA,NA,NA,NA,NA,"Rhododendron macrophyllum","Ericaceae"
"431","Ericaceae","Vaccinium cespitosum Michx.","","Forest",1,NA,NA,NA,NA,NA,"Vaccinium cespitosum","Ericaceae"
"432","Ericaceae","Vaccinium ovatum Pursh","","Forest",4,NA,NA,NA,NA,NA,"Vaccinium ovatum","Ericaceae"
"433","Ericaceae","Vaccinium oxycoccos L.","","Forest",2,NA,NA,NA,NA,NA,"Vaccinium oxycoccos","Ericaceae"
"434","Ericaceae","Vaccinium parvifolium Sm.","","Forest",21,NA,NA,NA,NA,NA,"Vaccinium parvifolium","Ericaceae"
"435","Ericaceae","Vaccinium uliginosum L.","","Forest",1,NA,NA,NA,NA,NA,"Vaccinium uliginosum","Ericaceae"
"436","Euphorbiaceae","Euphorbia characias L.*","","Open",1,NA,NA,NA,NA,NA,"Euphorbia characias","Euphorbiaceae"
"437","Euphorbiaceae","Euphorbia cyparissias L.*","","Open",4,NA,NA,NA,NA,NA,"Euphorbia cyparissias","Euphorbiaceae"
"438","Euphorbiaceae","Euphorbia elongata Poir.*","","Open",1,NA,NA,NA,NA,NA,"",""
"439","Euphorbiaceae","Euphorbia myrsinites L.*","","Open",1,NA,NA,NA,NA,NA,"Euphorbia myrsinites","Euphorbiaceae"
"440","Euphorbiaceae","Euphorbia peplus L.*","","Open",3,NA,NA,NA,NA,NA,"Euphorbia peplus","Euphorbiaceae"
"441","Fabaceae","Acmispon americanus (Nutt.) Rydb.","var. americanus","Open",4,NA,NA,NA,NA,NA,"Acmispon americanus","Fabaceae"
"442","Fabaceae","Acmispon denticulatus (Drew) Sokoloff","","Open",10,NA,NA,NA,NA,NA,"Acmispon denticulatus","Fabaceae"
"443","Fabaceae","Acmispon parviflorus (Benth.) D.D. Sokoloff","","Open",17,NA,NA,NA,NA,NA,"Acmispon parviflorus","Fabaceae"
"444","Fabaceae","Cytisus scoparius (L.) Link*","","Open",8,NA,NA,NA,NA,NA,"Cytisus scoparius","Fabaceae"
"445","Fabaceae","Laburnum anagyroidis Medik.*","","Forest",1,NA,NA,NA,NA,NA,"",""
"446","Fabaceae","Lathyrus aphaca L.*","","Open",1,NA,NA,NA,NA,NA,"Lathyrus aphaca","Fabaceae"
"447","Fabaceae","Lathyrus japonicus Willd.","","Shoreline",57,NA,NA,NA,NA,NA,"Lathyrus japonicus","Fabaceae"
"448","Fabaceae","Lathyrus latifolius L.*","","Open",4,NA,NA,NA,NA,NA,"Lathyrus latifolius","Fabaceae"
"449","Fabaceae","Lathyrus littoralis (Nutt.) Endl. ex Walp.","","Shoreline",1,NA,NA,NA,NA,NA,"Lathyrus littoralis","Fabaceae"
"450","Fabaceae","Lathyrus nevadensis S. Watson","var. nevadensis","Forest",47,NA,NA,NA,NA,NA,"Lathyrus nevadensis","Fabaceae"
"451","Fabaceae","Lathyrus palustris L.","","Shoreline",5,NA,NA,NA,NA,NA,"Lathyrus palustris","Fabaceae"
"452","Fabaceae","Lathyrus sylvestris L.*","","Open",1,NA,NA,NA,NA,NA,"Lathyrus sylvestris","Fabaceae"
"453","Fabaceae","Lotus corniculatus L.*","","Open",8,NA,NA,NA,NA,NA,"Lotus corniculatus","Fabaceae"
"454","Fabaceae","Lotus tenuis Waldst. & Kit. ex Willd.*","","Open",2,NA,NA,NA,NA,NA,"Lotus tenuis","Fabaceae"
"455","Fabaceae","Lupinus arboreus Sims*","","Open",4,NA,NA,NA,NA,NA,"Lupinus arboreus","Fabaceae"
"456","Fabaceae","Lupinus bicolor Lindl.","","Open",15,NA,NA,NA,NA,NA,"Lupinus bicolor","Fabaceae"
"457","Fabaceae","Lupinus latifolius Lindl. ex J. Agardh","var. latifolius","Open",2,NA,NA,NA,NA,NA,"Lupinus latifolius","Fabaceae"
"458","Fabaceae","Lupinus littoralis Douglas","var. littoralis","Open",2,NA,NA,NA,NA,NA,"Lupinus littoralis","Fabaceae"
"459","Fabaceae","Lupinus microcarpus Sims","var. microcarpus","Open",7,NA,NA,NA,NA,NA,"Lupinus microcarpus","Fabaceae"
"460","Fabaceae","Lupinus pachylobus Greene","","Open",1,NA,NA,NA,NA,NA,"Lupinus pachylobus","Fabaceae"
"461","Fabaceae","Lupinus rivularis Douglas ex Lindl.","","Open",1,NA,NA,NA,NA,NA,"Lupinus rivularis","Fabaceae"
"462","Fabaceae","Medicago arabica (L.) Huds.*","","Open",1,NA,NA,NA,NA,NA,"Medicago arabica","Fabaceae"
"463","Fabaceae","Medicago lupulina L.*","","Open",7,NA,NA,NA,NA,NA,"Medicago lupulina","Fabaceae"
"464","Fabaceae","Medicago sativa L.*","","Open",2,NA,NA,NA,NA,NA,"Medicago sativa","Fabaceae"
"465","Fabaceae","Melilotus albus Medik.*","","Open",2,NA,NA,NA,NA,NA,"Melilotus albus","Fabaceae"
"466","Fabaceae","Melilotus officinalis (L.) Lam.*","","Open",2,NA,NA,NA,NA,NA,"Melilotus officinalis","Fabaceae"
"467","Fabaceae","Oxytropis campestris (L.) DC.","var. spicata","Shoreline",3,NA,NA,NA,NA,NA,"Oxytropis campestris","Fabaceae"
"468","Fabaceae","Pisum sativum L.*","","Open",1,NA,NA,NA,NA,NA,"Pisum sativum","Fabaceae"
"469","Fabaceae","Rupertia physodes (Douglas ex Hook.) J.W. Grimes","","Open",2,NA,NA,NA,NA,NA,"Rupertia physodes","Fabaceae"
"470","Fabaceae","Trifolium arvense L.*","","Open",2,NA,NA,NA,NA,NA,"Trifolium arvense","Fabaceae"
"471","Fabaceae","Trifolium campestre Schreb.*","","Open",8,NA,NA,NA,NA,NA,"Trifolium campestre","Fabaceae"
"472","Fabaceae","Trifolium depauperatum Desv.","","Open",1,NA,NA,NA,NA,NA,"Trifolium depauperatum","Fabaceae"
"473","Fabaceae","Trifolium dichotomum Hook. & Arn.","","Open",8,NA,NA,NA,NA,NA,"Trifolium dichotomum","Fabaceae"
"474","Fabaceae","Trifolium dubium Sibth.*","","Open",50,NA,NA,NA,NA,NA,"Trifolium dubium","Fabaceae"
"475","Fabaceae","Trifolium fragiferum L.*","","Open",1,NA,NA,NA,NA,NA,"Trifolium fragiferum","Fabaceae"
"476","Fabaceae","Trifolium hybridum L.*","","Open",1,NA,NA,NA,NA,NA,"Trifolium hybridum","Fabaceae"
"477","Fabaceae","Trifolium incarnatum L.*","","Open",2,NA,NA,NA,NA,NA,"Trifolium incarnatum","Fabaceae"
"478","Fabaceae","Trifolium microcephalum Pursh","","Open",58,NA,NA,NA,NA,NA,"Trifolium microcephalum","Fabaceae"
"479","Fabaceae","Trifolium microdon Hook. & Arn.","","Open",53,NA,NA,NA,NA,NA,"Trifolium microdon","Fabaceae"
"480","Fabaceae","Trifolium oliganthum Steud.","","Open",43,NA,NA,NA,NA,NA,"Trifolium oliganthum","Fabaceae"
"481","Fabaceae","Trifolium pratense L.*","","Open",14,NA,NA,NA,NA,NA,"Trifolium pratense","Fabaceae"
"482","Fabaceae","Trifolium repens L.*","","Open",17,NA,NA,NA,NA,NA,"Trifolium repens","Fabaceae"
"483","Fabaceae","Trifolium retusum L.*","","Open",1,NA,NA,NA,NA,NA,"Trifolium retusum","Fabaceae"
"484","Fabaceae","Trifolium striatum L.*","","Open",1,NA,NA,NA,NA,NA,"Trifolium striatum","Fabaceae"
"485","Fabaceae","Trifolium subterraneum L.*","","Open",17,NA,NA,NA,NA,NA,"Trifolium subterraneum","Fabaceae"
"486","Fabaceae","Trifolium suffocatum L.*","","Open",2,NA,NA,NA,NA,NA,"Trifolium suffocatum","Fabaceae"
"487","Fabaceae","Trifolium variegatum Nutt.","","Open",40,NA,NA,NA,NA,NA,"Trifolium variegatum","Fabaceae"
"488","Fabaceae","Trifolium willdenovii Spreng.","","Open",87,NA,NA,NA,NA,NA,"Trifolium willdenovii","Fabaceae"
"489","Fabaceae","Trifolium wormskioldii Lehm.","","Open",2,NA,NA,NA,NA,NA,"Trifolium wormskioldii","Fabaceae"
"490","Fabaceae","Ulex europaeus L.*","","Open",1,NA,NA,NA,NA,NA,"Ulex europaeus","Fabaceae"
"491","Fabaceae","Vicia americana Muhl. ex Willd.","var. americana","Forest",76,NA,NA,NA,NA,NA,"Vicia americana","Fabaceae"
"492","Fabaceae","Vicia cracca L.*","","Open",2,NA,NA,NA,NA,NA,"Vicia cracca","Fabaceae"
"493","Fabaceae","Vicia hirsuta (L.) Gray*","","Open",57,NA,NA,NA,NA,NA,"Vicia hirsuta","Fabaceae"
"494","Fabaceae","Vicia lathyroides L.*","","Open",1,NA,NA,NA,NA,NA,"Vicia lathyroides","Fabaceae"
"495","Fabaceae","Vicia nigricans Hook. & Arn.","var. gigantea","Forest",32,NA,NA,NA,NA,NA,"Vicia nigricans","Fabaceae"
"496","Fabaceae","Vicia sativa L.*","var. angustifolia, var. sativa","Open",71,NA,NA,NA,NA,NA,"Vicia sativa","Fabaceae"
"497","Fabaceae","Vicia tetrasperma (L.) Schreb.*","","Open",1,NA,NA,NA,NA,NA,"Vicia tetrasperma","Fabaceae"
"498","Fabaceae","Vicia villosa Roth*","var. glabrescens","Open",4,NA,NA,NA,NA,NA,"Vicia villosa","Fabaceae"
"499","Fagaceae","Quercus garryana Douglas ex Hook.","var. garryana","Open",38,NA,NA,NA,NA,NA,"Quercus garryana","Fagaceae"
"500","Gentianaceae","Centaurium erythraea Rafn*","","Open",5,NA,NA,NA,NA,NA,"Centaurium erythraea","Gentianaceae"
"501","Gentianaceae","Centaurium pulchellum (Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis*","","Open",1,NA,NA,NA,NA,NA,"Centaurium pulchellum","Gentianaceae"
"502","Gentianaceae","Gentianella amarella (L.) Börner","ssp. acuta","Wetland",3,NA,NA,NA,NA,NA,"Gentianella amarella","Gentianaceae"
"503","Geraniaceae","Erodium cicutarium (L.) L\\\'Hér. ex Aiton*","ssp. cicutarium","Open",26,NA,NA,NA,NA,NA,"Erodium cicutarium","Geraniaceae"
"504","Geraniaceae","Geranium bicknellii Britton","","Forest",1,NA,NA,NA,NA,NA,"Geranium bicknellii","Geraniaceae"
"505","Geraniaceae","Geranium carolinianum L.","","Forest",5,NA,NA,NA,NA,NA,"Geranium carolinianum","Geraniaceae"
"506","Geraniaceae","Geranium dissectum L.*","","Open",23,NA,NA,NA,NA,NA,"Geranium dissectum","Geraniaceae"
"507","Geraniaceae","Geranium lucidum L.*","","Open",2,NA,NA,NA,NA,NA,"Geranium lucidum","Geraniaceae"
"508","Geraniaceae","Geranium molle L.*","","Open",99,NA,NA,NA,NA,NA,"Geranium molle","Geraniaceae"
"509","Geraniaceae","Geranium pusillum L.*","","Open",2,NA,NA,NA,NA,NA,"Geranium pusillum","Geraniaceae"
"510","Geraniaceae","Geranium robertianum L.*","","Forest",6,NA,NA,NA,NA,NA,"Geranium robertianum","Geraniaceae"
"511","Grossulariaceae","Ribes divaricatum Douglas","var. divaricatum","Forest",63,NA,NA,NA,NA,NA,"Ribes divaricatum","Grossulariaceae"
"512","Grossulariaceae","Ribes lacustre (Pers.) Poir.","","Forest",10,NA,NA,NA,NA,NA,"Ribes lacustre","Grossulariaceae"
"513","Grossulariaceae","Ribes sanguineum Pursh","var. sanguineum","Forest",54,NA,NA,NA,NA,NA,"Ribes sanguineum","Grossulariaceae"
"514","Haloragaceae","Myriophyllum sibiricum Kom.","","Wetland",4,NA,NA,NA,NA,NA,"Myriophyllum sibiricum","Haloragaceae"
"515","Haloragaceae","Myriophyllum verticillatum L.","","Wetland",3,NA,NA,NA,NA,NA,"Myriophyllum verticillatum","Haloragaceae"
"516","Hydrangeaceae","Philadelphus lewisii Pursh","","Forest",7,NA,NA,NA,NA,NA,"Philadelphus lewisii","Hydrangeaceae"
"517","Hydrocharitaceae","Egeria densa Planch.*","","Wetland",1,NA,NA,NA,NA,NA,"Egeria densa","Hydrocharitaceae"
"518","Hydrocharitaceae","Elodea canadensis Michx.","","Wetland",3,NA,NA,NA,NA,NA,"Elodea canadensis","Hydrocharitaceae"
"519","Hydrocharitaceae","Najas canadensis Michx.","","Wetland",1,NA,NA,NA,NA,NA,"Najas canadensis","Hydrocharitaceae"
"520","Hydrocharitaceae","Najas flexilis (Willd.) Rostk. & W.L.E. Schmidt","","Wetland",3,NA,NA,NA,NA,NA,"Najas flexilis","Hydrocharitaceae"
"521","Hydrophyllaceae","Nemophila parviflora Douglas ex Benth.","var. parviflora, var. austiniae","Forest",14,NA,NA,NA,NA,NA,"Nemophila parviflora","Boraginaceae"
"522","Hydrophyllaceae","Nemophila pedunculata Douglas ex Benth.","","Forest",1,NA,NA,NA,NA,NA,"Nemophila pedunculata","Boraginaceae"
"523","Hydrophyllaceae","Phacelia linearis (Pursh) Holz.","","Open",1,NA,NA,NA,NA,NA,"Phacelia linearis","Boraginaceae"
"524","Hypericaceae","Hypericum anagalloides Cham. & Schltdl.","","Wetland",3,NA,NA,NA,NA,NA,"Hypericum anagalloides","Hypericaceae"
"525","Hypericaceae","Hypericum calycinum L.*","","Open",1,NA,NA,NA,NA,NA,"Hypericum calycinum","Hypericaceae"
"526","Hypericaceae","Hypericum perforatum L.*","","Open",7,NA,NA,NA,NA,NA,"Hypericum perforatum","Hypericaceae"
"527","Hypericaceae","Hypericum scouleri Hook.","","Wetland",2,NA,NA,NA,NA,NA,"Hypericum scouleri","Hypericaceae"
"528","Iridaceae","Crocus stellaris Haw.*","","Open",1,NA,NA,NA,NA,NA,"Crocus × stellaris","Iridaceae"
"529","Iridaceae","Iris foetidissima L.*","","Open",2,NA,NA,NA,NA,NA,"Iris foetidissima","Iridaceae"
"530","Iridaceae","Iris germanica L.*","","Open",7,NA,NA,NA,NA,NA,"Iris × germanica","Iridaceae"
"531","Iridaceae","Iris pseudacorus L.*","","Wetland",6,NA,NA,NA,NA,NA,"Iris pseudacorus","Iridaceae"
"532","Iridaceae","Olsynium douglasii (A. Dietr.) E.P. Bicknell","var. douglasii","Open",6,NA,NA,NA,NA,NA,"Olsynium douglasii","Iridaceae"
"533","Iridaceae","Sisyrinchium californicum (Ker Gawl.) W.T.Aiton","","Open",1,NA,NA,NA,NA,NA,"Sisyrinchium californicum","Iridaceae"
"534","Iridaceae","Sisyrinchium idahoense E.P. Bicknell","var. macounii, var. segetum","Open",8,NA,NA,NA,NA,NA,"Sisyrinchium idahoense","Iridaceae"
"535","Isoetaceae","Isoetes nuttallii A. Br.","","Wetland",1,NA,NA,NA,NA,NA,"Isoetes nuttallii","Isoetaceae"
"536","Isoetaceae","Isoetes occidentalis L.F. Hend.","","Wetland",1,NA,NA,NA,NA,NA,"Isoetes occidentalis","Isoetaceae"
"537","Juncaceae","Juncus acuminatus Michx.","","Wetland",4,NA,NA,NA,NA,NA,"Juncus acuminatus","Juncaceae"
"538","Juncaceae","Juncus alpinoarticulatus Chaix","","Wetland",1,NA,NA,NA,NA,NA,"Juncus alpinoarticulatus","Juncaceae"
"539","Juncaceae","Juncus articulatus L.","ssp. articulata","Wetland",4,NA,NA,NA,NA,NA,"Juncus articulatus","Juncaceae"
"540","Juncaceae","Juncus balticus Willd.","ssp. ater","Shoreline",19,NA,NA,NA,NA,NA,"Juncus balticus","Juncaceae"
"541","Juncaceae","Juncus bolanderi Engelm.","","Shoreline",1,NA,NA,NA,NA,NA,"Juncus bolanderi","Juncaceae"
"542","Juncaceae","Juncus breweri Engelm.","","Shoreline",2,NA,NA,NA,NA,NA,"Juncus breweri","Juncaceae"
"543","Juncaceae","Juncus bufonius L.","var. bufonius","Shoreline",23,NA,NA,NA,NA,NA,"Juncus bufonius","Juncaceae"
"544","Juncaceae","Juncus effusus L.","ssp. pacificus, ssp. effusus","Shoreline",13,NA,NA,NA,NA,NA,"Juncus effusus","Juncaceae"
"545","Juncaceae","Juncus ensifolius Wikstr.","","Wetland",7,NA,NA,NA,NA,NA,"Juncus ensifolius","Juncaceae"
"546","Juncaceae","Juncus gerardi Loisel.","ssp. gerardi","Shoreline",3,NA,NA,NA,NA,NA,"Juncus gerardi","Juncaceae"
"547","Juncaceae","Juncus hesperius (Piper) Lint","","Wetland",8,NA,NA,NA,NA,NA,"Juncus hesperius","Juncaceae"
"548","Juncaceae","Juncus occidentalis (Coville) Wiegand","","Wetland",2,NA,NA,NA,NA,NA,"Juncus occidentalis","Juncaceae"
"549","Juncaceae","Juncus tenuis Willd.","","Wetland",3,NA,NA,NA,NA,NA,"Juncus tenuis","Juncaceae"
"550","Juncaceae","Luzula comosa E. Mey.","var. laxa","Open",24,NA,NA,NA,NA,NA,"Luzula comosa","Juncaceae"
"551","Juncaceae","Luzula macrantha (S. Watson) Zika & B.L. Wilson","","Open",10,NA,NA,NA,NA,NA,"Luzula macrantha","Juncaceae"
"552","Juncaceae","Luzula multiflora (Ehrh.) Lej.","","Open",2,NA,NA,NA,NA,NA,"Luzula multiflora","Juncaceae"
"553","Juncaceae","Luzula parviflora (Ehrh.) Desv.","","Forest",2,NA,NA,NA,NA,NA,"Luzula parviflora","Juncaceae"
"554","Juncaceae","Luzula subsessilis (S. Watson) Buchenau","","Open",58,NA,NA,NA,NA,NA,"Luzula subsessilis","Juncaceae"
"555","Juncaginaceae","Triglochin concinna J.B. Davy","","Wetland",1,NA,NA,NA,NA,NA,"Triglochin concinna","Juncaginaceae"
"556","Juncaginaceae","Triglochin maritima L.","","Wetland",10,NA,NA,NA,NA,NA,"Triglochin maritima","Juncaginaceae"
"557","Lamiaceae","Ajuga reptans L.*","","Forest",4,NA,NA,NA,NA,NA,"Ajuga reptans","Lamiaceae"
"558","Lamiaceae","Clinopodium douglasii (Benth.) Kuntze","","Forest",34,NA,NA,NA,NA,NA,"Clinopodium douglasii","Lamiaceae"
"559","Lamiaceae","Glechoma hederacea L.*","","Forest",2,NA,NA,NA,NA,NA,"Glechoma hederacea","Lamiaceae"
"560","Lamiaceae","Lamiastrum galeobdolon (L.) Ehrend. & Polatschek*","ssp. argentatum","Forest",3,NA,NA,NA,NA,NA,"Lamium galeobdolon","Lamiaceae"
"561","Lamiaceae","Lamium amplexicaule L.*","","Open",5,NA,NA,NA,NA,NA,"Lamium amplexicaule","Lamiaceae"
"562","Lamiaceae","Lamium hybridum Vill.*","","Open",1,NA,NA,NA,NA,NA,"Lamium hybridum","Lamiaceae"
"563","Lamiaceae","Lamium purpureum L.*","","Open",14,NA,NA,NA,NA,NA,"Lamium purpureum","Lamiaceae"
"564","Lamiaceae","Lycopus americanus Muhl. ex W.P.C. Bartr.","","Wetland",1,NA,NA,NA,NA,NA,"Lycopus americanus","Lamiaceae"
"565","Lamiaceae","Lycopus europaeus L.*","","Wetland",2,NA,NA,NA,NA,NA,"Lycopus europaeus","Lamiaceae"
"566","Lamiaceae","Lycopus uniflorus Michx.","","Wetland",5,NA,NA,NA,NA,NA,"Lycopus uniflorus","Lamiaceae"
"567","Lamiaceae","Marrubium vulgare L.*","","Open",7,NA,NA,NA,NA,NA,"Marrubium vulgare","Lamiaceae"
"568","Lamiaceae","Melissa officinalis L.*","","Open",1,NA,NA,NA,NA,NA,"Melissa officinalis","Lamiaceae"
"569","Lamiaceae","Mentha canadensis L.","","Wetland",5,NA,NA,NA,NA,NA,"Mentha canadensis","Lamiaceae"
"570","Lamiaceae","Mentha piperita L.*","","Open",1,NA,NA,NA,NA,NA,"Mentha × piperita","Lamiaceae"
"571","Lamiaceae","Mentha pulegium L.*","","Open",1,NA,NA,NA,NA,NA,"Mentha pulegium","Lamiaceae"
"572","Lamiaceae","Mentha rotundifolia (L.) Huds.*","","Open",1,NA,NA,NA,NA,NA,"Mentha × rotundifolia","Lamiaceae"
"573","Lamiaceae","Nepeta cataria L.*","","Open",2,NA,NA,NA,NA,NA,"Nepeta cataria","Lamiaceae"
"574","Lamiaceae","Prunella vulgaris L.","var. lanceolata, var. vulgaris","Open",11,NA,NA,NA,NA,NA,"Prunella vulgaris","Lamiaceae"
"575","Lamiaceae","Satureja douglasii (Benth.) Kuntze","","Forest",36,NA,NA,NA,NA,NA,"Clinopodium douglasii","Lamiaceae"
"576","Lamiaceae","Scutellaria galericulata L.","","Wetland",2,NA,NA,NA,NA,NA,"Scutellaria galericulata","Lamiaceae"
"577","Lamiaceae","Stachys cooleyae A. Heller","","Forest",5,NA,NA,NA,NA,NA,"Stachys chamissonis cooleyae","Lamiaceae"
"578","Lamiaceae","Stachys mexicana Benth.","","Forest",1,NA,NA,NA,NA,NA,"Stachys mexicana","Lamiaceae"
"579","Lamiaceae","Thymus pulegioides L.*","","Open",1,NA,NA,NA,NA,NA,"Thymus pulegioides","Lamiaceae"
"580","Lentibulariaceae","Utricularia gibba L.","","Wetland",1,NA,NA,NA,NA,NA,"Utricularia gibba","Lentibulariaceae"
"581","Lentibulariaceae","Utricularia minor L.","","Wetland",1,NA,NA,NA,NA,NA,"Utricularia minor","Lentibulariaceae"
"582","Lentibulariaceae","Utricularia vulgaris L.","ssp. macrohiza","Wetland",4,NA,NA,NA,NA,NA,"Utricularia vulgaris","Lentibulariaceae"
"583","Liliaceae","Erythronium oregonum Applegate","ssp. oregonum","Forest",32,NA,NA,NA,NA,NA,"Erythronium oregonum","Liliaceae"
"584","Liliaceae","Fritillaria affinis (Schult. & Schult. f.) Sealy","","Open",86,NA,NA,NA,NA,NA,"Fritillaria affinis","Liliaceae"
"585","Liliaceae","Lilium columbianum Leichtlin","","Forest",19,NA,NA,NA,NA,NA,"Lilium columbianum","Liliaceae"
"586","Liliaceae","Prosartes hookeri Torr.","","Forest",1,NA,NA,NA,NA,NA,"Prosartes hookeri","Liliaceae"
"587","Liliaceae","Tulipa sp. L.*","","Open",1,NA,NA,NA,NA,NA,"Tulipa","Liliaceae"
