"","Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"139","Piranga ludoviciana","(Wilson, 1811)",NA,"western tanager","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Cardinalidae","",NA,"Piranga","ludoviciana",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2013-07-07","Dan MacNeal","iNat:18609823","",9919,"BIR"
"140","Podiceps auritus","(Linnaeus, 1758)",NA,"horned grebe","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Podicipediformes",NA,NA,"Podicipedidae","",NA,"Podiceps","auritus",NA,"",NA,"native","S4B, SNRN (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2014-01-04","Michael Hoebel","iNat:4046939","",4209,"BIR"
"141","Podiceps grisegena","(Boddaert, 1783)",NA,"red-necked grebe","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Podicipediformes",NA,NA,"Podicipedidae","",NA,"Podiceps","grisegena",NA,"",NA,"native","S5?B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2022-09-02","Liam Steele","iNat:135679353","",4224,"BIR"
"142","Podiceps nigricollis","Brehm, 1831",NA,"eared grebe","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Podicipediformes",NA,NA,"Podicipedidae","",NA,"Podiceps","nigricollis",NA,"",NA,"native","S3B (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"143","Podilymbus podiceps","(Linnaeus, 1758)",NA,"pied-billed grebe","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Podicipediformes",NA,NA,"Podicipedidae","",NA,"Podilymbus","podiceps",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2020-07-04","blakedanis","iNat:51983215","",4246,"BIR"
"144","Poecile rufescens","(Townsend, 1837)",NA,"chestnut-backed chickadee","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Paridae","",NA,"Poecile","rufescens",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2011-07-25","lesfreck","iNat:86518608","",144820,"BIR"
"145","Progne subis","(Linnaeus, 1758)",NA,"purple martin","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Hirundinidae","",NA,"Progne","subis",NA,"",NA,"native","S3B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-06-21","Peter Taylor","iNat:103195944","",11867,"BIR"
"146","Psaltriparus minimus","(Townsend, 1837)",NA,"bushtit","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Aegithalidae","",NA,"Psaltriparus","minimus",NA,"",NA,"native","S4B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2013-04-14","Michael Hoebel","iNat:4046836","",7266,"BIR"
"147","Rallus limicola","Vieillot, 1819",NA,"Virginia rail","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gruiformes",NA,NA,"Rallidae","",NA,"Rallus","limicola",NA,"",NA,"native","S4S5 (2015)",NA,"new 2016","observed","","","","",NA,"2016-09-07","Romayne Galager","iNat:4112274","",243,"BIR"
"148","Regulus satrapa","(Lichtenstein, 1823)",NA,"golden-crowned kinglet","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Regulidae","",NA,"Regulus","satrapa",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2009-07-26","Cameron Deckert","iNat:19139375","",117100,"BIR"
"149","Selasphorus rufus","(Gmelin, 1788)",NA,"rufous hummingbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Caprimulgiformes",NA,NA,"Trochilidae","",NA,"Selasphorus","rufus",NA,"",NA,"native","S4S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2003-07-30","Shera Street","iNat:2635133","",6363,"BIR"
"150","Setophaga coronata auduboni","(Townsend, 1837)",NA,"Audubon's warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Parulidae","",NA,"Setophaga","coronata",NA,"auduboni",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-03-26","Sarah Tweedale","iNat:2928685","",126562,"BIR"
"151","Setophaga coronata coronata","(Linnaeus, 1766)",NA,"myrtle warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Parulidae","",NA,"Setophaga","coronata",NA,"coronata",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2011-05-01","Michael Hoebel","iNat:19562466","",132704,"BIR"
"152","Setophaga nigrescens","(Townsend, 1837)",NA,"black-throated gray warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Parulidae","",NA,"Setophaga","nigrescens",NA,"",NA,"native","S4S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2014-05-10","Michael Hoebel","iNat:4046971","",145254,"BIR"
"153","Setophaga petechia","(Linnaeus, 1766)",NA,"yellow warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Parulidae","",NA,"Setophaga","petechia",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2023-05-28","Zeke Gilmore","iNat:165237907","",145238,"BIR"
"154","Setophaga townsendi","(Townsend, 1837)",NA,"Townsend's warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Parulidae","",NA,"Setophaga","townsendi",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2014-04-21","Michael Hoebel","iNat:19548141","",145255,"BIR"
"155","Sialia currucoides","(Bechstein, 1798)",NA,"mountain bluebird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Turdidae","",NA,"Sialia","currucoides",NA,"",NA,"native","S4S5B (2015)",NA,"new 2023","observed","","","","",NA,"2023-04-26","Kevin Toomer","iNat:156826200","",12936,"BIR"
"156","Sitta canadensis","Linnaeus, 1766",NA,"red-breasted nuthatch","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Sittidae","",NA,"Sitta","canadensis",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-02-23","Andrew Simon","iNat:2711391","",14823,"BIR"
"157","Sphyrapicus nuchalis","Baird, 1858",NA,"red-naped sapsucker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,"Picidae","",NA,"Sphyrapicus","nuchalis",NA,"",NA,"native","S5B (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"158","Sphyrapicus ruber","(Gmelin, 1788)",NA,"red-breasted sapsucker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,"Picidae","",NA,"Sphyrapicus","ruber",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-06-19","Bridgit Spencer","iNat:2677221","",18464,"BIR"
"159","Spinus pinus","(Wilson, 1810)",NA,"pine siskin","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Fringillidae","",NA,"Spinus","pinus",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2010-02-28","Michael Hoebel","iNat:18908805","",145304,"BIR"
"160","Spinus tristis","(Linnaeus, 1758)",NA,"American goldfinch","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Fringillidae","",NA,"Spinus","tristis",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-07-23","Andrew Simon","iNat:3781422","",145310,"BIR"
"161","Spizella passerina","(Bechstein, 1798)",NA,"chipping sparrow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Passerellidae","",NA,"Spizella","passerina",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-04-23","Lauren Magner","iNat:3040843","",9135,"BIR"
"162","Stelgidopteryx serripennis","(Audubon, 1838)",NA,"northern rough-winged swallow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Hirundinidae","",NA,"Stelgidopteryx","serripennis",NA,"",NA,"native","S4S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2011-05-10","Michael Hoebel","iNat:4046993","",11970,"BIR"
"163","Sterna hirundo","Linnaeus, 1758",NA,"common tern","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Laridae","Sterninae",NA,"Sterna","hirundo",NA,"",NA,"native","SUM (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"164","Streptopelia decaocto","(Frivaldszky, 1838)",NA,"Eurasian collared dove","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Columbiformes",NA,NA,"Columbidae","",NA,"Streptopelia","decaocto",NA,"",NA,"exotic","unlisted",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2018-05-20","Sarah Tweedale","iNat:12652453","",2969,"BIR"
"165","Strix varia","Barton, 1799",NA,"barred owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,"Strigidae","",NA,"Strix","varia",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2010-07-07","Karolle Wall","iNat:13132927","",19893,"BIR"
"166","Sturnella neglecta","Audubon, 1844",NA,"western meadowlark","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Icteridae","",NA,"Sturnella","neglecta",NA,"",NA,"native","SXB (2010)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2022-11-06","lornasdr","iNat:141331288","",9535,"BIR"
"167","Sturnus vulgaris","Linnaeus, 1758",NA,"European starling","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Sturnidae","",NA,"Sturnus","vulgaris",NA,"",NA,"exotic","unlisted",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2008-05-10","Michael Hoebel","iNat:19548204","",14850,"BIR"
"168","Synthliboramphus antiquus","(Gmelin, 1789)",NA,"ancient murrelet","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Alcidae","",NA,"Synthliboramphus","antiquus",NA,"",NA,"native","S2S3B,S4N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2019-10-26","W. Cartwright","iNat:35634215","",4561,"BIR"
"169","Tachycineta bicolor","(Vieillot, 1808)",NA,"tree swallow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Hirundinidae","",NA,"Tachycineta","bicolor",NA,"",NA,"native","S4S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-06-03","Adam Huggins","iNat:3386978","",11935,"BIR"
"170","Tachycineta thalassina","(Swainson, 1827)",NA,"violet-green swallow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Hirundinidae","",NA,"Tachycineta","thalassina",NA,"",NA,"native","S4S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-07-26","Andrew Simon","iNat:3766312","",11931,"BIR"
"171","Thryomanes bewickii","P.L. Sclater, 1862",NA,"Bewick’s wren","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Troglodytidae","",NA,"Thryomanes","bewickii",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-05-10","Michael Hoebel","iNat:19548265","",7576,"BIR"
"172","Tringa flavipes","(Gmelin, 1789)",NA,"lesser yellowlegs","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Scolopacidae","",NA,"Tringa","flavipes",NA,"",NA,"native","S4S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-09-05","Sarah Tweedale","iNat:4041686","",3893,"BIR"
"173","Tringa melanoleuca","(Gmelin, 1789)",NA,"greater yellowlegs","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Scolopacidae","",NA,"Tringa","melanoleuca",NA,"",NA,"native","S5B, SUN (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"174","Troglodytes aedon","(Vieillot, 1809)",NA,"house wren","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Troglodytidae","",NA,"Troglodytes","aedon",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-04-23","Andrew Simon","iNat:3030504","",7562,"BIR"
"175","Troglodytes pacificus","Baird, 1864",NA,"Pacific wren","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Troglodytidae","",NA,"Troglodytes","pacificus",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2010-10-21","Michael Hoebel","iNat:4046875","",144882,"BIR"
"176","Turdus migratorius","Linnaeus, 1766",NA,"American robin","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Turdidae","",NA,"Turdus","migratorius",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-02-22","Andrew Simon","iNat:2566293","",12727,"BIR"
"177","Tyrannus melancholicus","(Vieillot, 1819)",NA,"tropical kingbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Tyrannidae","",NA,"Tyrannus","melancholicus",NA,"",NA,"accidental","unlisted",NA,"new 2019","unobserved","2019-11-20","Carl Estabrook","eBird","",NA,"","","","accidental",NA,"BIR"
"178","Tyto alba","(Scopoli, 1769)",NA,"barn owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,"Tytonidae","",NA,"Tyto","alba",NA,"",NA,"native","S2? (2015)",NA,"new 2017","observed","","","","",NA,"2017-02-25","Sarah Tweedale","iNat:5180293","",NA,"BIR"
"179","Uria aalge","(Pontoppidan, 1763)",NA,"common murre","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Alcidae","",NA,"Uria","aalge",NA,"",NA,"native","S2B,S3S4N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-11-28","bobmcd’","iNat:2437278","",4519,"BIR"
"180","Urile pelagicus","Pallas, 1811",NA,"pelagic cormorant","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Suliformes",NA,NA,"Phalacrocoracidae","",NA,"Urile","pelagicus",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-12-20","Andrew Simon","iNat:2562745","",1289605,"BIR"
"181","Urile penicillatus","(Brandt, 1837)",NA,"Brandt's cormorant","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Suliformes",NA,NA,"Phalacrocoracidae","",NA,"Urile","penicillatus",NA,"",NA,"native","S1B,S4N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2012-05-03","Michael Hoebel","iNat:4046927","",1289607,"BIR"
"182","Vireo cassinii","Xantus de Vesey, 1858",NA,"Cassin's vireo","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Vireonidae","",NA,"Vireo","cassinii",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-05-18","Michael Hoebel","iNat:4054050","",17382,"BIR"
"183","Vireo gilvus","(Vieillot, 1808)",NA,"warbling vireo","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Vireonidae","",NA,"Vireo","gilvus",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-07-02","Lauren Magner & Andrew Simon","iNat:2561814","",17394,"BIR"
"184","Vireo huttoni","Cassin, 1851",NA,"Hutton’s vireo","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Vireonidae","",NA,"Vireo","huttoni",NA,"",NA,"native","S4 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2019-02-22","Andrew Simon","iNat:20571106","",17375,"BIR"
"185","Xanthocephalus xanthocephalus","(Bonaparte, 1826)",NA,"yellow-headed blackbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Icteridae","",NA,"Xanthocephalus","xanthocephalus",NA,"",NA,"native","S4B (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"186","Zenaida macroura","(Linnaeus, 1758)",NA,"mourning dove","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Columbiformes",NA,NA,"Columbidae","",NA,"Zenaida","macroura",NA,"",NA,"native","S4?B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2011-05-30","Michael Hoebel","iNat:4046898","",3454,"BIR"
"187","Zonotrichia albicollis","(Gmelin, 1789)",NA,"white-throated sparrow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Passerellidae","",NA,"Zonotrichia","albicollis",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2019-10-13","Michael Hoebel","iNat:34332372","",9184,"BIR"
"188","Zonotrichia atricapilla","(Gmelin, 1789)",NA,"golden-crowned sparrow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Passerellidae","",NA,"Zonotrichia","atricapilla",NA,"",NA,"native","S5?B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-06-27","Sarah Tweedale","iNat:4041637","",9185,"BIR"
"189","Zonotrichia leucophrys","(Forster, 1772)",NA,"white-crowned sparrow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Passerellidae","",NA,"Zonotrichia","leucophrys",NA,"",NA,"native","S5 (2011)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2015-06-19","Peter Taylor","iNat:103172276","",9176,"BIR"
"190","Zonotrichia querula","(Nuttall, 1840)",NA,"Harris's sparrow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Passerellidae","",NA,"Zonotrichia","querula",NA,"",NA,"native","SUM (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2019-12-27","Chad Diakow","iNat:37144595","listed as regularly occurring but “rare for this area” on the southern Vancouver Island checklist",NA,"BIR"
